pathway_id,pathway,time,shock,climate_pressure,infrastructure_pressure,exposure,recovery_capacity,trust,support_strength,abandonment_risk,justice_adjusted_resilience
AP001,Preparedness without material support,0,0.04077,0.19019,0.20815,0.68465,0.41956,0.49015,0.39631,0.64953,0.26329
AP001,Preparedness without material support,1,0.05392,0.20148,0.21678,0.65002,0.45847,0.48133,0.40459,0.6099,0.28499
AP001,Preparedness without material support,2,0.04288,0.20672,0.22058,0.6157,0.49792,0.47453,0.41325,0.56418,0.30848
AP001,Preparedness without material support,3,0.04925,0.21631,0.22785,0.58199,0.53706,0.46905,0.42198,0.52332,0.33111
AP001,Preparedness without material support,4,0.05343,0.22536,0.23469,0.54884,0.57599,0.46495,0.43083,0.48237,0.35394
AP001,Preparedness without material support,5,0.05586,0.23396,0.24117,0.51624,0.61479,0.46231,0.43983,0.44138,0.37699
AP001,Preparedness without material support,6,0.04906,0.24027,0.24581,0.48402,0.65394,0.4615,0.44913,0.39816,0.40094
AP001,Preparedness without material support,7,0.04997,0.24849,0.25199,0.45232,0.69304,0.46223,0.4586,0.35722,0.4247
AP001,Preparedness without material support,8,0.04038,0.2541,0.25608,0.42097,0.73262,0.46491,0.46842,0.31364,0.44951
AP001,Preparedness without material support,9,0.04865,0.26416,0.26373,0.39025,0.77179,0.46884,0.47829,0.27512,0.47339
AP001,Preparedness without material support,10,0.32,0.34,0.324,0.36437,0.79739,0.46294,0.48373,0.31164,0.47549
AP001,Preparedness without material support,11,0.05705,0.28226,0.27741,0.33478,0.83614,0.4691,0.49377,0.20628,0.51296
AP001,Preparedness without material support,12,0.05094,0.28873,0.28219,0.30559,0.87519,0.47707,0.50409,0.16524,0.53801
AP001,Preparedness without material support,13,0.05511,0.29778,0.28902,0.27698,0.91404,0.48643,0.51454,0.12721,0.56262
AP001,Preparedness without material support,14,0.04868,0.30417,0.29374,0.24876,0.9532,0.49761,0.52528,0.08664,0.58818
AP001,Preparedness without material support,15,0.04352,0.31088,0.2987,0.22095,0.99263,0.51057,0.5363,0.04653,0.61408
AP001,Preparedness without material support,16,0.05702,0.32225,0.3074,0.19386,1.0,0.52329,0.53959,0.01952,0.62769
AP001,Preparedness without material support,17,0.0564,0.3301,0.31328,0.16727,1.0,0.53604,0.54112,0.0,0.63757
AP001,Preparedness without material support,18,0.04752,0.33588,0.3175,0.14103,1.0,0.54913,0.5427,0.0,0.64358
AP001,Preparedness without material support,19,0.04191,0.34248,0.32238,0.1152,1.0,0.56246,0.54429,0.0,0.64959
AP001,Preparedness without material support,20,0.05025,0.35256,0.33005,0.09,1.0,0.57545,0.54585,0.0,0.65545
AP001,Preparedness without material support,21,0.04992,0.36048,0.33598,0.0653,1.0,0.58845,0.54741,0.0,0.66126
AP001,Preparedness without material support,22,0.36,0.446,0.404,0.04606,1.0,0.58905,0.54749,0.0,0.6637
AP001,Preparedness without material support,23,0.05194,0.37699,0.34839,0.02239,1.0,0.60197,0.54904,0.0,0.66936
AP001,Preparedness without material support,24,0.05013,0.38453,0.35403,0.0,1.0,0.61497,0.5506,0.0,0.67489
AP001,Preparedness without material support,25,0.0515,0.39288,0.3603,0.0,1.0,0.62791,0.55215,0.0,0.67771
AP001,Preparedness without material support,26,0.04754,0.39988,0.36551,0.0,1.0,0.64101,0.55372,0.0,0.68057
AP001,Preparedness without material support,27,0.04098,0.40624,0.3702,0.0,1.0,0.65437,0.55532,0.0,0.68349
AP001,Preparedness without material support,28,0.04122,0.41431,0.37624,0.0,1.0,0.66772,0.55693,0.0,0.68641
AP001,Preparedness without material support,29,0.05884,0.42671,0.38577,0.0,1.0,0.68036,0.55844,0.0,0.68917
AP001,Preparedness without material support,30,0.05678,0.4342,0.39136,0.0,1.0,0.69309,0.55997,0.0,0.69195
AP001,Preparedness without material support,31,0.04592,0.43948,0.39518,0.0,1.0,0.70626,0.56155,0.0,0.69482
AP001,Preparedness without material support,32,0.05778,0.45044,0.40356,0.0,1.0,0.71895,0.56307,0.0,0.69759
AP001,Preparedness without material support,33,0.05045,0.45661,0.40809,0.0,1.0,0.73193,0.56463,0.0,0.70043
AP001,Preparedness without material support,34,0.04206,0.46252,0.41241,0.0,1.0,0.74525,0.56623,0.0,0.70334
AP001,Preparedness without material support,35,0.05711,0.47428,0.42142,0.0,1.0,0.75796,0.56776,0.0,0.70611
AP001,Preparedness without material support,36,0.38,0.563,0.492,0.0,1.0,0.75776,0.56773,0.0,0.70607
AP001,Preparedness without material support,37,0.05866,0.49066,0.43373,0.0,1.0,0.77041,0.56925,0.0,0.70883
AP001,Preparedness without material support,38,0.05359,0.4974,0.43872,0.0,1.0,0.78327,0.57079,0.0,0.71164
AP001,Preparedness without material support,39,0.04188,0.50247,0.44238,0.0,1.0,0.7966,0.57239,0.0,0.71455
AP001,Preparedness without material support,40,0.05245,0.51311,0.45049,0.0,1.0,0.8095,0.57394,0.0,0.71737
AP001,Preparedness without material support,41,0.05574,0.52193,0.45715,0.0,1.0,0.82227,0.57547,0.0,0.72016
AP001,Preparedness without material support,42,0.05798,0.53049,0.4636,0.0,1.0,0.83495,0.57699,0.0,0.72293
AP001,Preparedness without material support,43,0.04663,0.53566,0.46733,0.0,1.0,0.84808,0.57857,0.0,0.7258
AP001,Preparedness without material support,44,0.05058,0.54464,0.47412,0.0,1.0,0.86106,0.58013,0.0,0.72863
AP001,Preparedness without material support,45,0.05402,0.55351,0.4808,0.0,1.0,0.8739,0.58167,0.0,0.73144
AP001,Preparedness without material support,46,0.04334,0.55883,0.48467,0.0,1.0,0.88717,0.58326,0.0,0.73433
AP001,Preparedness without material support,47,0.05697,0.57024,0.49339,0.0,1.0,0.89989,0.58479,0.0,0.73711
AP001,Preparedness without material support,48,0.05562,0.5779,0.49912,0.0,1.0,0.91266,0.58632,0.0,0.7399
AP001,Preparedness without material support,49,0.041,0.58225,0.5022,0.0,1.0,0.92602,0.58792,0.0,0.74282
AP001,Preparedness without material support,50,0.4,0.68,0.58,0.0,1.0,0.92502,0.5878,0.0,0.7426
AP001,Preparedness without material support,51,0.04736,0.59984,0.51547,0.0,1.0,0.93813,0.58938,0.0,0.74546
AP001,Preparedness without material support,52,0.04372,0.60693,0.52074,0.0,1.0,0.95138,0.59097,0.0,0.74836
AP001,Preparedness without material support,53,0.05209,0.61702,0.52842,0.0,1.0,0.9643,0.59252,0.0,0.75118
AP001,Preparedness without material support,54,0.05938,0.62685,0.53588,0.0,1.0,0.97692,0.59403,0.0,0.75394
AP001,Preparedness without material support,55,0.05104,0.63276,0.54021,0.0,1.0,0.98988,0.59559,0.0,0.75677
AP001,Preparedness without material support,56,0.04227,0.63857,0.54445,0.0,1.0,1.0,0.5968,0.0,0.75898
AP001,Preparedness without material support,57,0.0499,0.64847,0.55198,0.0,1.0,1.0,0.5968,0.0,0.75898
