pathway_id,pathway,system_domain,resilience,ecological_integrity,social_inclusion,economic_sufficiency,governance_capacity,adaptive_capacity,resource_pressure,implementation_burden,critical_function,viability_value,boundary_adjusted_viability,scenario,rank
SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,8.4,9,8.2,7.9,8,8.7,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification,7.645,7.645,Adaptation-first,1
SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,8.7,8.4,8.1,8.2,8.1,8.6,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods,7.571,7.539000000000001,Adaptation-first,2
SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,8.3,7.9,8.8,8.1,8.3,8.5,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards,7.497,7.381,Adaptation-first,3
SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,8.6,7.8,9,8,8.2,8.3,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure,7.467,7.359,Adaptation-first,4
SR002,Circular Regional Production System,circular economy and material resilience,8.1,8.8,7.9,8.4,7.9,8.2,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation,7.395,7.359,Adaptation-first,5
SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,8.5,8.2,7.8,8,7.8,8.4,4,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency,7.356,7.268,Adaptation-first,6
SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,8.4,9,8.2,7.9,8,8.7,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification,7.680999999999999,7.680999999999999,Balanced,1
SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,8.7,8.4,8.1,8.2,8.1,8.6,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods,7.638000000000001,7.606000000000001,Balanced,2
SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,8.6,7.8,9,8,8.2,8.3,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure,7.601,7.493,Balanced,3
SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,8.3,7.9,8.8,8.1,8.3,8.5,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards,7.5760000000000005,7.460000000000001,Balanced,4
SR002,Circular Regional Production System,circular economy and material resilience,8.1,8.8,7.9,8.4,7.9,8.2,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation,7.516,7.48,Balanced,5
SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,8.5,8.2,7.8,8,7.8,8.4,4,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency,7.414,7.326,Balanced,6
SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,8.4,9,8.2,7.9,8,8.7,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification,6.387999999999999,6.387999999999999,Constraint-sensitive,1
SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,8.7,8.4,8.1,8.2,8.1,8.6,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods,6.295,6.263000000000001,Constraint-sensitive,2
SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,8.6,7.8,9,8,8.2,8.3,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure,6.237,6.1290000000000004,Constraint-sensitive,3
SR002,Circular Regional Production System,circular economy and material resilience,8.1,8.8,7.9,8.4,7.9,8.2,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation,6.216,6.180000000000001,Constraint-sensitive,4
SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,8.3,7.9,8.8,8.1,8.3,8.5,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards,6.203000000000002,6.087000000000002,Constraint-sensitive,5
SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,8.5,8.2,7.8,8,7.8,8.4,4,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency,6.0859999999999985,5.9979999999999984,Constraint-sensitive,6
SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,8.4,9,8.2,7.9,8,8.7,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification,7.961,7.961,Ecology-first,1
SR002,Circular Regional Production System,circular economy and material resilience,8.1,8.8,7.9,8.4,7.9,8.2,3.7,3.3,reduces material throughput waste dependency and supply-chain fragility through repair reuse remanufacturing and local value creation,7.782000000000001,7.746000000000001,Ecology-first,2
SR004,Climate-Resilient Food and Water Strategy,food water and watershed resilience,8.7,8.4,8.1,8.2,8.1,8.6,3.9,3.4,protects food security water access soil health watersheds agricultural adaptation and rural livelihoods,7.772000000000001,7.740000000000001,Ecology-first,3
SR003,Inclusive Urban Resilience Transition,urban adaptation and social inclusion,8.3,7.9,8.8,8.1,8.3,8.5,4.2,3.6,links housing transit heat adaptation stormwater public space affordability and anti-displacement safeguards,7.599,7.4830000000000005,Ecology-first,4
SR006,Public Health Housing and Heat Resilience Compact,health housing and climate justice,8.6,7.8,9,8,8.2,8.3,4.1,3.1,protects health housing cooling affordability care networks energy security and heat-resilience infrastructure,7.593,7.485,Ecology-first,5
SR001,Distributed Renewable Infrastructure,energy infrastructure and climate mitigation,8.5,8.2,7.8,8,7.8,8.4,4,3.5,decarbonizes essential energy systems while improving service continuity and reducing fossil-fuel dependency,7.555,7.467,Ecology-first,6
SR005,Ecosystem Restoration and Livelihood Diversification,social-ecological restoration,8.4,9,8.2,7.9,8,8.7,3.5,3.2,restores wetlands forests soils biodiversity and ecological buffers while supporting livelihood diversification,7.706999999999999,7.706999999999999,Governance-first,1
