simulation_id,pathway_id,pathway,rank,viability_value,winner
0,SR004,Climate-Resilient Food and Water Strategy,1,7.73485,Climate-Resilient Food and Water Strategy
0,SR002,Circular Regional Production System,2,7.71943,Climate-Resilient Food and Water Strategy
0,SR006,Public Health Housing and Heat Resilience Compact,3,7.70523,Climate-Resilient Food and Water Strategy
0,SR003,Inclusive Urban Resilience Transition,4,7.64686,Climate-Resilient Food and Water Strategy
0,SR001,Distributed Renewable Infrastructure,5,7.27884,Climate-Resilient Food and Water Strategy
0,SR005,Ecosystem Restoration and Livelihood Diversification,6,7.25958,Climate-Resilient Food and Water Strategy
1,SR002,Circular Regional Production System,1,8.01467,Circular Regional Production System
1,SR006,Public Health Housing and Heat Resilience Compact,2,7.73129,Circular Regional Production System
1,SR003,Inclusive Urban Resilience Transition,3,7.55297,Circular Regional Production System
1,SR004,Climate-Resilient Food and Water Strategy,4,7.54068,Circular Regional Production System
1,SR001,Distributed Renewable Infrastructure,5,7.492,Circular Regional Production System
1,SR005,Ecosystem Restoration and Livelihood Diversification,6,7.26653,Circular Regional Production System
2,SR001,Distributed Renewable Infrastructure,1,7.87092,Distributed Renewable Infrastructure
2,SR006,Public Health Housing and Heat Resilience Compact,2,7.69357,Distributed Renewable Infrastructure
2,SR003,Inclusive Urban Resilience Transition,3,7.68667,Distributed Renewable Infrastructure
2,SR005,Ecosystem Restoration and Livelihood Diversification,4,7.67547,Distributed Renewable Infrastructure
2,SR002,Circular Regional Production System,5,7.63878,Distributed Renewable Infrastructure
2,SR004,Climate-Resilient Food and Water Strategy,6,7.45793,Distributed Renewable Infrastructure
3,SR003,Inclusive Urban Resilience Transition,1,7.95744,Inclusive Urban Resilience Transition
3,SR006,Public Health Housing and Heat Resilience Compact,2,7.70971,Inclusive Urban Resilience Transition
3,SR004,Climate-Resilient Food and Water Strategy,3,7.65921,Inclusive Urban Resilience Transition
3,SR005,Ecosystem Restoration and Livelihood Diversification,4,7.62479,Inclusive Urban Resilience Transition
3,SR002,Circular Regional Production System,5,7.56564,Inclusive Urban Resilience Transition
3,SR001,Distributed Renewable Infrastructure,6,7.25871,Inclusive Urban Resilience Transition
4,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.96327,Ecosystem Restoration and Livelihood Diversification
4,SR002,Circular Regional Production System,2,7.6573,Ecosystem Restoration and Livelihood Diversification
4,SR004,Climate-Resilient Food and Water Strategy,3,7.6533,Ecosystem Restoration and Livelihood Diversification
4,SR003,Inclusive Urban Resilience Transition,4,7.55949,Ecosystem Restoration and Livelihood Diversification
4,SR006,Public Health Housing and Heat Resilience Compact,5,7.4705,Ecosystem Restoration and Livelihood Diversification
4,SR001,Distributed Renewable Infrastructure,6,7.44478,Ecosystem Restoration and Livelihood Diversification
5,SR003,Inclusive Urban Resilience Transition,1,7.85269,Inclusive Urban Resilience Transition
5,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.54809,Inclusive Urban Resilience Transition
5,SR002,Circular Regional Production System,3,7.50837,Inclusive Urban Resilience Transition
5,SR001,Distributed Renewable Infrastructure,4,7.26574,Inclusive Urban Resilience Transition
5,SR006,Public Health Housing and Heat Resilience Compact,5,7.25026,Inclusive Urban Resilience Transition
5,SR004,Climate-Resilient Food and Water Strategy,6,7.19406,Inclusive Urban Resilience Transition
6,SR002,Circular Regional Production System,1,7.78534,Circular Regional Production System
6,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.74059,Circular Regional Production System
6,SR003,Inclusive Urban Resilience Transition,3,7.61481,Circular Regional Production System
6,SR004,Climate-Resilient Food and Water Strategy,4,7.47003,Circular Regional Production System
6,SR001,Distributed Renewable Infrastructure,5,7.46384,Circular Regional Production System
6,SR006,Public Health Housing and Heat Resilience Compact,6,7.39601,Circular Regional Production System
7,SR003,Inclusive Urban Resilience Transition,1,7.67593,Inclusive Urban Resilience Transition
7,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.61127,Inclusive Urban Resilience Transition
7,SR001,Distributed Renewable Infrastructure,3,7.50981,Inclusive Urban Resilience Transition
7,SR002,Circular Regional Production System,4,7.5039,Inclusive Urban Resilience Transition
7,SR006,Public Health Housing and Heat Resilience Compact,5,7.45964,Inclusive Urban Resilience Transition
7,SR004,Climate-Resilient Food and Water Strategy,6,7.36274,Inclusive Urban Resilience Transition
8,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.72933,Ecosystem Restoration and Livelihood Diversification
8,SR002,Circular Regional Production System,2,7.65099,Ecosystem Restoration and Livelihood Diversification
8,SR001,Distributed Renewable Infrastructure,3,7.57236,Ecosystem Restoration and Livelihood Diversification
8,SR004,Climate-Resilient Food and Water Strategy,4,7.35462,Ecosystem Restoration and Livelihood Diversification
8,SR006,Public Health Housing and Heat Resilience Compact,5,7.3289,Ecosystem Restoration and Livelihood Diversification
8,SR003,Inclusive Urban Resilience Transition,6,7.28761,Ecosystem Restoration and Livelihood Diversification
9,SR001,Distributed Renewable Infrastructure,1,7.94323,Distributed Renewable Infrastructure
9,SR005,Ecosystem Restoration and Livelihood Diversification,2,7.73277,Distributed Renewable Infrastructure
9,SR004,Climate-Resilient Food and Water Strategy,3,7.51377,Distributed Renewable Infrastructure
9,SR003,Inclusive Urban Resilience Transition,4,7.50177,Distributed Renewable Infrastructure
9,SR006,Public Health Housing and Heat Resilience Compact,5,7.28643,Distributed Renewable Infrastructure
9,SR002,Circular Regional Production System,6,6.81483,Distributed Renewable Infrastructure
10,SR004,Climate-Resilient Food and Water Strategy,1,8.04601,Climate-Resilient Food and Water Strategy
10,SR003,Inclusive Urban Resilience Transition,2,7.503,Climate-Resilient Food and Water Strategy
10,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.43799,Climate-Resilient Food and Water Strategy
10,SR001,Distributed Renewable Infrastructure,4,7.40347,Climate-Resilient Food and Water Strategy
10,SR002,Circular Regional Production System,5,7.39913,Climate-Resilient Food and Water Strategy
10,SR006,Public Health Housing and Heat Resilience Compact,6,7.26725,Climate-Resilient Food and Water Strategy
11,SR004,Climate-Resilient Food and Water Strategy,1,8.23593,Climate-Resilient Food and Water Strategy
11,SR003,Inclusive Urban Resilience Transition,2,7.71333,Climate-Resilient Food and Water Strategy
11,SR001,Distributed Renewable Infrastructure,3,7.62572,Climate-Resilient Food and Water Strategy
11,SR002,Circular Regional Production System,4,7.54275,Climate-Resilient Food and Water Strategy
11,SR005,Ecosystem Restoration and Livelihood Diversification,5,7.42849,Climate-Resilient Food and Water Strategy
11,SR006,Public Health Housing and Heat Resilience Compact,6,6.93877,Climate-Resilient Food and Water Strategy
12,SR003,Inclusive Urban Resilience Transition,1,7.68886,Inclusive Urban Resilience Transition
12,SR004,Climate-Resilient Food and Water Strategy,2,7.59462,Inclusive Urban Resilience Transition
12,SR005,Ecosystem Restoration and Livelihood Diversification,3,7.58253,Inclusive Urban Resilience Transition
12,SR006,Public Health Housing and Heat Resilience Compact,4,7.45632,Inclusive Urban Resilience Transition
12,SR002,Circular Regional Production System,5,7.41798,Inclusive Urban Resilience Transition
12,SR001,Distributed Renewable Infrastructure,6,7.33141,Inclusive Urban Resilience Transition
13,SR005,Ecosystem Restoration and Livelihood Diversification,1,7.84152,Ecosystem Restoration and Livelihood Diversification
13,SR002,Circular Regional Production System,2,7.67274,Ecosystem Restoration and Livelihood Diversification
13,SR004,Climate-Resilient Food and Water Strategy,3,7.63467,Ecosystem Restoration and Livelihood Diversification
13,SR003,Inclusive Urban Resilience Transition,4,7.61164,Ecosystem Restoration and Livelihood Diversification
