 time,development_quality,stress_load,response_capacity,resource_pressure,equity_adjusted_quality
1, 0.72471, 0.16327, 0.34580, 0.77941, 0.75475
2, 0.68941, 0.16349, 0.34580, 0.77885, 0.71798
3, 0.65408, 0.16372, 0.34580, 0.77831, 0.68119
4, 0.61873, 0.16394, 0.34580, 0.77779, 0.64437
5, 0.58335, 0.16417, 0.34580, 0.77730, 0.60753
6, 0.54795, 0.16440, 0.34580, 0.77682, 0.57066
7, 0.51251, 0.16464, 0.34580, 0.77637, 0.53375
8, 0.47704, 0.16487, 0.34580, 0.77595, 0.49681
9, 0.44153, 0.16511, 0.34580, 0.77554, 0.45983
10, 0.40598, 0.16534, 0.34580, 0.77516, 0.42281
11, 0.37039, 0.16558, 0.34580, 0.77480, 0.38574
12, 0.10139, 0.81438, 0.34580, 0.78824, 0.08572
13, 0.06411, 0.16717, 0.34580, 0.78792, 0.06677
14, 0.02679, 0.16741, 0.34580, 0.78763, 0.02790
15, 0.00000, 0.16766, 0.34580, 0.78736, 0.00000
16, 0.00000, 0.16791, 0.34580, 0.78711, 0.00000
17, 0.00000, 0.16816, 0.34580, 0.78689, 0.00000
18, 0.00000, 0.16841, 0.34580, 0.78668, 0.00000
19, 0.00000, 0.16866, 0.34580, 0.78650, 0.00000
20, 0.00000, 0.16892, 0.34580, 0.78634, 0.00000
21, 0.00000, 0.16918, 0.34580, 0.78621, 0.00000
22, 0.00000, 0.16944, 0.34580, 0.78610, 0.00000
23, 0.00000, 0.16970, 0.34580, 0.78601, 0.00000
24, 0.00000, 0.16996, 0.34580, 0.78594, 0.00000
25, 0.00000, 0.17023, 0.34580, 0.78589, 0.00000
26, 0.00000, 0.17049, 0.34580, 0.78587, 0.00000
27, 0.00000, 0.17076, 0.34580, 0.78587, 0.00000
28, 0.00000, 0.17103, 0.34580, 0.78589, 0.00000
29, 0.00000, 0.17130, 0.34580, 0.78594, 0.00000
30, 0.00000, 0.17157, 0.34580, 0.78600, 0.00000
31, 0.00000, 0.17185, 0.34580, 0.78609, 0.00000
32, 0.00000, 0.17213, 0.34580, 0.78620, 0.00000
33, 0.00000, 0.17241, 0.34580, 0.78634, 0.00000
34, 0.00000, 0.17269, 0.34580, 0.78650, 0.00000
35, 0.00000, 0.17297, 0.34580, 0.78667, 0.00000
36, 0.00000, 0.17325, 0.34580, 0.78688, 0.00000
37, 0.00000, 0.17354, 0.34580, 0.78710, 0.00000
38, 0.00000, 0.17383, 0.34580, 0.78735, 0.00000
39, 0.00000, 0.17412, 0.34580, 0.78762, 0.00000
40, 0.00000, 0.17441, 0.34580, 0.78791, 0.00000
41, 0.00000, 0.17470, 0.34580, 0.78822, 0.00000
42, 0.00000, 0.17500, 0.34580, 0.78856, 0.00000
43, 0.00000, 0.17529, 0.34580, 0.78892, 0.00000
44, 0.00000, 0.17559, 0.34580, 0.78930, 0.00000
45, 0.00000, 0.17589, 0.34580, 0.78971, 0.00000
46, 0.00000, 0.17620, 0.34580, 0.79013, 0.00000
47, 0.00000, 0.17650, 0.34580, 0.79058, 0.00000
48, 0.00000, 0.17681, 0.34580, 0.79106, 0.00000
49, 0.00000, 0.17711, 0.34580, 0.79155, 0.00000
50, 0.00000, 0.17742, 0.34580, 0.79207, 0.00000
51, 0.00000, 0.17774, 0.34580, 0.79261, 0.00000
52, 0.00000, 0.17805, 0.34580, 0.79317, 0.00000
53, 0.00000, 0.17836, 0.34580, 0.79375, 0.00000
54, 0.00000, 0.17868, 0.34580, 0.79436, 0.00000
55, 0.00000, 0.17900, 0.34580, 0.79499, 0.00000
56, 0.00000, 0.17932, 0.34580, 0.79564, 0.00000
57, 0.00000, 0.17964, 0.34580, 0.79632, 0.00000
58, 0.00000, 0.17997, 0.34580, 0.79701, 0.00000
59, 0.00000, 0.18029, 0.34580, 0.79773, 0.00000
60, 0.00000, 0.18062, 0.34580, 0.79847, 0.00000
61, 0.00000, 0.18095, 0.34580, 0.79924, 0.00000
62, 0.00000, 0.18128, 0.34580, 0.80003, 0.00000
63, 0.00000, 0.18161, 0.34580, 0.80084, 0.00000
64, 0.00000, 0.18195, 0.34580, 0.80167, 0.00000
65, 0.00000, 0.18228, 0.34580, 0.80252, 0.00000
66, 0.00000, 0.18262, 0.34580, 0.80340, 0.00000
67, 0.00000, 0.18296, 0.34580, 0.80430, 0.00000
68, 0.00000, 0.18330, 0.34580, 0.80522, 0.00000
69, 0.00000, 0.18365, 0.34580, 0.80617, 0.00000
70, 0.00000, 0.18399, 0.34580, 0.80713, 0.00000
71, 0.00000, 0.18434, 0.34580, 0.80812, 0.00000
72, 0.00000, 0.18469, 0.34580, 0.80913, 0.00000
73, 0.00000, 0.18504, 0.34580, 0.81017, 0.00000
74, 0.00000, 0.18539, 0.34580, 0.81123, 0.00000
75, 0.00000, 0.18575, 0.34580, 0.81230, 0.00000
76, 0.00000, 0.18610, 0.34580, 0.81341, 0.00000
77, 0.00000, 0.18646, 0.34580, 0.81453, 0.00000
78, 0.00000, 0.18682, 0.34580, 0.81568, 0.00000
79, 0.00000, 0.18718, 0.34580, 0.81685, 0.00000
80, 0.00000, 0.18755, 0.34580, 0.81804, 0.00000
