system_id,system,system_domain,time,event,stress_load,response_capacity,development_quality,resource_pressure,equity_adjusted_quality
SYS001,Urban Heat Housing and Transit System,urban development and health,0,background sustainable-development stress,0.16245,0.3458,0.72498,0.77939,0.75502
SYS001,Urban Heat Housing and Transit System,urban development and health,1,background sustainable-development stress,0.16587,0.3458,0.68891,0.77881,0.71746
SYS001,Urban Heat Housing and Transit System,urban development and health,2,background sustainable-development stress,0.16467,0.3458,0.65328,0.77824,0.68036
SYS001,Urban Heat Housing and Transit System,urban development and health,3,background sustainable-development stress,0.16559,0.3458,0.61741,0.7777,0.643
SYS001,Urban Heat Housing and Transit System,urban development and health,4,background sustainable-development stress,0.16314,0.3458,0.58238,0.77719,0.60651
SYS001,Urban Heat Housing and Transit System,urban development and health,5,background sustainable-development stress,0.16556,0.3458,0.54661,0.77669,0.56926
SYS001,Urban Heat Housing and Transit System,urban development and health,6,background sustainable-development stress,0.1658,0.3458,0.51082,0.77622,0.53198
SYS001,Urban Heat Housing and Transit System,urban development and health,7,background sustainable-development stress,0.16606,0.3458,0.47498,0.77577,0.49466
SYS001,Urban Heat Housing and Transit System,urban development and health,8,background sustainable-development stress,0.16313,0.3458,0.44011,0.77534,0.45835
SYS001,Urban Heat Housing and Transit System,urban development and health,9,background sustainable-development stress,0.16413,0.3458,0.40497,0.77493,0.42176
SYS001,Urban Heat Housing and Transit System,urban development and health,10,background sustainable-development stress,0.16872,0.3458,0.3684,0.77455,0.38366
SYS001,Urban Heat Housing and Transit System,urban development and health,11,background sustainable-development stress,0.1676,0.3458,0.33222,0.77419,0.34598
SYS001,Urban Heat Housing and Transit System,urban development and health,12,Extreme heat and housing affordability crisis,0.81434,0.3458,0.06335,0.78763,0.05356
SYS001,Urban Heat Housing and Transit System,urban development and health,13,background sustainable-development stress,0.17002,0.3458,0.02522,0.78732,0.02626
SYS001,Urban Heat Housing and Transit System,urban development and health,14,background sustainable-development stress,0.16755,0.3458,0.0,0.78702,0.0
