simulation_id,strategy_id,strategy,rank,supply_chain_resilience_value,winner
0,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.04396,Climate-Adjusted Infrastructure and Port Resilience Plan
0,SC006,Fair Supplier Finance and Labor Continuity Program,2,6.9937,Climate-Adjusted Infrastructure and Port Resilience Plan
0,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,6.94696,Climate-Adjusted Infrastructure and Port Resilience Plan
0,SC001,Supplier Diversification and Qualification Program,4,6.94305,Climate-Adjusted Infrastructure and Port Resilience Plan
0,SC004,Multi-Route Logistics and Chokepoint Redesign,5,6.87025,Climate-Adjusted Infrastructure and Port Resilience Plan
0,SC002,Regional Buffer Inventory for Critical Goods,6,6.74155,Climate-Adjusted Infrastructure and Port Resilience Plan
1,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.41959,Climate-Adjusted Infrastructure and Port Resilience Plan
1,SC001,Supplier Diversification and Qualification Program,2,7.27512,Climate-Adjusted Infrastructure and Port Resilience Plan
1,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.04841,Climate-Adjusted Infrastructure and Port Resilience Plan
1,SC004,Multi-Route Logistics and Chokepoint Redesign,4,7.00141,Climate-Adjusted Infrastructure and Port Resilience Plan
1,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.84277,Climate-Adjusted Infrastructure and Port Resilience Plan
1,SC002,Regional Buffer Inventory for Critical Goods,6,6.64472,Climate-Adjusted Infrastructure and Port Resilience Plan
2,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,1,7.33689,Digital End-to-End Visibility and Cyber Resilience Platform
2,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.2581,Digital End-to-End Visibility and Cyber Resilience Platform
2,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,3,7.20439,Digital End-to-End Visibility and Cyber Resilience Platform
2,SC006,Fair Supplier Finance and Labor Continuity Program,4,7.16678,Digital End-to-End Visibility and Cyber Resilience Platform
2,SC001,Supplier Diversification and Qualification Program,5,7.01071,Digital End-to-End Visibility and Cyber Resilience Platform
2,SC002,Regional Buffer Inventory for Critical Goods,6,6.57769,Digital End-to-End Visibility and Cyber Resilience Platform
3,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.38698,Climate-Adjusted Infrastructure and Port Resilience Plan
3,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.33706,Climate-Adjusted Infrastructure and Port Resilience Plan
3,SC001,Supplier Diversification and Qualification Program,3,7.28862,Climate-Adjusted Infrastructure and Port Resilience Plan
3,SC006,Fair Supplier Finance and Labor Continuity Program,4,6.9907,Climate-Adjusted Infrastructure and Port Resilience Plan
3,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.87515,Climate-Adjusted Infrastructure and Port Resilience Plan
3,SC002,Regional Buffer Inventory for Critical Goods,6,6.694,Climate-Adjusted Infrastructure and Port Resilience Plan
4,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.47838,Climate-Adjusted Infrastructure and Port Resilience Plan
4,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.30407,Climate-Adjusted Infrastructure and Port Resilience Plan
4,SC002,Regional Buffer Inventory for Critical Goods,3,7.01664,Climate-Adjusted Infrastructure and Port Resilience Plan
4,SC001,Supplier Diversification and Qualification Program,4,6.88964,Climate-Adjusted Infrastructure and Port Resilience Plan
4,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,5,6.76856,Climate-Adjusted Infrastructure and Port Resilience Plan
4,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.54276,Climate-Adjusted Infrastructure and Port Resilience Plan
5,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.37691,Multi-Route Logistics and Chokepoint Redesign
5,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,2,7.14067,Multi-Route Logistics and Chokepoint Redesign
5,SC006,Fair Supplier Finance and Labor Continuity Program,3,7.05126,Multi-Route Logistics and Chokepoint Redesign
5,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,4,6.97692,Multi-Route Logistics and Chokepoint Redesign
5,SC001,Supplier Diversification and Qualification Program,5,6.82956,Multi-Route Logistics and Chokepoint Redesign
5,SC002,Regional Buffer Inventory for Critical Goods,6,6.53063,Multi-Route Logistics and Chokepoint Redesign
6,SC004,Multi-Route Logistics and Chokepoint Redesign,1,7.23738,Multi-Route Logistics and Chokepoint Redesign
6,SC001,Supplier Diversification and Qualification Program,2,7.17231,Multi-Route Logistics and Chokepoint Redesign
6,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.06706,Multi-Route Logistics and Chokepoint Redesign
6,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,4,6.84329,Multi-Route Logistics and Chokepoint Redesign
6,SC002,Regional Buffer Inventory for Critical Goods,5,6.81617,Multi-Route Logistics and Chokepoint Redesign
6,SC006,Fair Supplier Finance and Labor Continuity Program,6,6.77663,Multi-Route Logistics and Chokepoint Redesign
7,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,1,7.13759,Climate-Adjusted Infrastructure and Port Resilience Plan
7,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.12773,Climate-Adjusted Infrastructure and Port Resilience Plan
7,SC001,Supplier Diversification and Qualification Program,3,6.97349,Climate-Adjusted Infrastructure and Port Resilience Plan
7,SC002,Regional Buffer Inventory for Critical Goods,4,6.9169,Climate-Adjusted Infrastructure and Port Resilience Plan
7,SC006,Fair Supplier Finance and Labor Continuity Program,5,6.88513,Climate-Adjusted Infrastructure and Port Resilience Plan
7,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,6,6.55676,Climate-Adjusted Infrastructure and Port Resilience Plan
8,SC001,Supplier Diversification and Qualification Program,1,7.27115,Supplier Diversification and Qualification Program
8,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.19947,Supplier Diversification and Qualification Program
8,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,3,7.09125,Supplier Diversification and Qualification Program
8,SC006,Fair Supplier Finance and Labor Continuity Program,4,6.93984,Supplier Diversification and Qualification Program
8,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,5,6.91695,Supplier Diversification and Qualification Program
8,SC002,Regional Buffer Inventory for Critical Goods,6,6.17123,Supplier Diversification and Qualification Program
9,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,1,7.27201,Digital End-to-End Visibility and Cyber Resilience Platform
9,SC004,Multi-Route Logistics and Chokepoint Redesign,2,7.07018,Digital End-to-End Visibility and Cyber Resilience Platform
