network_id,network,network_context,time,event,disruption_load,adaptive_response,flow_performance,inventory_thinness,supplier_concentration,equity_adjusted_flow
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,0,background supply-network stress,0.15587,0.3468,0.84402,0.77905,0.89823,0.86576
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,1,background supply-network stress,0.15658,0.34716,0.92789,0.77811,0.89645,0.95179
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,2,background supply-network stress,0.1573,0.34752,1.0,0.77718,0.89467,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,3,background supply-network stress,0.15726,0.34788,1.0,0.77626,0.89289,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,4,background supply-network stress,0.15741,0.34825,1.0,0.77534,0.8911,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,5,background supply-network stress,0.1569,0.3486,1.0,0.77444,0.88931,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,6,background supply-network stress,0.15772,0.34896,1.0,0.77354,0.88752,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,7,background supply-network stress,0.15728,0.34932,1.0,0.77265,0.88572,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,8,background supply-network stress,0.15646,0.34968,1.0,0.77177,0.88393,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,9,background supply-network stress,0.15731,0.35004,1.0,0.7709,0.88213,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,10,background supply-network stress,0.15658,0.35039,1.0,0.77003,0.88032,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,11,background supply-network stress,0.15844,0.35075,1.0,0.76918,0.87852,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,12,Port closure and inland logistics congestion,0.83853,0.35111,0.82861,0.78415,0.88191,0.72467
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,13,background supply-network stress,0.15887,0.34884,0.91212,0.78333,0.88012,0.93561
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,14,background supply-network stress,0.15774,0.34918,0.99606,0.78253,0.87832,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,15,background supply-network stress,0.15778,0.34953,1.0,0.78174,0.87653,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,16,background supply-network stress,0.15879,0.34988,1.0,0.78095,0.87473,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,17,background supply-network stress,0.15775,0.35022,1.0,0.78017,0.87293,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,18,background supply-network stress,0.1578,0.35057,1.0,0.7794,0.87112,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,19,background supply-network stress,0.15791,0.35091,1.0,0.77864,0.86932,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,20,background supply-network stress,0.15832,0.35126,1.0,0.77789,0.86751,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,21,background supply-network stress,0.15897,0.3516,1.0,0.77714,0.86569,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,22,background supply-network stress,0.15973,0.35195,1.0,0.77641,0.86388,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,23,background supply-network stress,0.15832,0.35229,1.0,0.77568,0.86206,1.0
SN001,Semiconductor-dependent manufacturing network,critical components and specialized upstream suppliers,24,background supply-network stress,0.1599,0.35263,1.0,0.77496,0.86024,1.0
