scenario,strategy_id,strategy,system_domain,rank,supply_chain_resilience_value,systemic_exposure,implementation_burden,critical_function
Balanced,SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,1,7.185,4.0,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity
Balanced,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,2,7.161,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption
Balanced,SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,3,7.014,3.8,3.0,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress
Balanced,SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,4,7.009,4.0,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs
Balanced,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,5,6.94,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response
Balanced,SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,6,6.733,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols
Redundancy-first,SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,1,7.541,4.0,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs
Redundancy-first,SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,2,7.516,4.0,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity
Redundancy-first,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,3,7.416,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption
Redundancy-first,SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,4,7.273,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols
Redundancy-first,SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,5,7.267,3.8,3.0,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress
Redundancy-first,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,6,7.035,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response
Flexibility-first,SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,1,7.806,4.0,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity
Flexibility-first,SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,2,7.6,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption
Flexibility-first,SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,3,7.523,4.0,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs
Flexibility-first,SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,4,7.484,3.8,3.0,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress
Flexibility-first,SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,5,7.405,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response
Flexibility-first,SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,6,7.129,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols
