 time,flow_performance,disruption_load,adaptive_response,inventory_thinness,supplier_concentration,equity_adjusted_flow
1, 0.84992, 0.16081, 0.29720, 0.81956, 0.73862, 0.86991
2, 0.91987, 0.16091, 0.29745, 0.81913, 0.73724, 0.94151
3, 0.98984, 0.16101, 0.29769, 0.81871, 0.73586, 1.00000
4, 1.00000, 0.16111, 0.29793, 0.81830, 0.73448, 1.00000
5, 1.00000, 0.16121, 0.29818, 0.81790, 0.73309, 1.00000
6, 1.00000, 0.16131, 0.29842, 0.81750, 0.73171, 1.00000
7, 1.00000, 0.16141, 0.29866, 0.81712, 0.73032, 1.00000
8, 1.00000, 0.16151, 0.29890, 0.81675, 0.72892, 1.00000
9, 1.00000, 0.16161, 0.29914, 0.81638, 0.72753, 1.00000
10, 1.00000, 0.16171, 0.29938, 0.81603, 0.72614, 1.00000
11, 1.00000, 0.16182, 0.29962, 0.81569, 0.72474, 1.00000
12, 0.79938, 0.84278, 0.29985, 0.83117, 0.72854, 0.69731
13, 0.86890, 0.16224, 0.29746, 0.83087, 0.72716, 0.88934
14, 0.93845, 0.16234, 0.29769, 0.83058, 0.72578, 0.96052
15, 1.00000, 0.16244, 0.29792, 0.83030, 0.72440, 1.00000
16, 1.00000, 0.16254, 0.29815, 0.83003, 0.72301, 1.00000
17, 1.00000, 0.16265, 0.29837, 0.82977, 0.72162, 1.00000
18, 1.00000, 0.16275, 0.29860, 0.82952, 0.72023, 1.00000
19, 1.00000, 0.16285, 0.29882, 0.82928, 0.71884, 1.00000
20, 1.00000, 0.16295, 0.29905, 0.82905, 0.71745, 1.00000
21, 1.00000, 0.16305, 0.29927, 0.82883, 0.71606, 1.00000
22, 1.00000, 0.16316, 0.29949, 0.82862, 0.71466, 1.00000
23, 1.00000, 0.16326, 0.29971, 0.82842, 0.71326, 1.00000
24, 1.00000, 0.16336, 0.29993, 0.82823, 0.71186, 1.00000
25, 1.00000, 0.16346, 0.30015, 0.82805, 0.71046, 1.00000
26, 1.00000, 0.16356, 0.30037, 0.82787, 0.70906, 1.00000
27, 1.00000, 0.16367, 0.30059, 0.82771, 0.70766, 1.00000
28, 1.00000, 0.16377, 0.30080, 0.82756, 0.70625, 1.00000
29, 1.00000, 0.16387, 0.30102, 0.82742, 0.70484, 1.00000
30, 1.00000, 0.16398, 0.30123, 0.82729, 0.70343, 1.00000
31, 1.00000, 0.16408, 0.30145, 0.82716, 0.70202, 1.00000
32, 1.00000, 0.16418, 0.30166, 0.82705, 0.70061, 1.00000
33, 1.00000, 0.16428, 0.30187, 0.82695, 0.69919, 1.00000
34, 1.00000, 0.16439, 0.30208, 0.82686, 0.69777, 1.00000
35, 1.00000, 0.16449, 0.30229, 0.82677, 0.69636, 1.00000
36, 1.00000, 0.16459, 0.30250, 0.82670, 0.69494, 1.00000
37, 1.00000, 0.16470, 0.30271, 0.82664, 0.69351, 1.00000
38, 1.00000, 0.16480, 0.30291, 0.82658, 0.69209, 1.00000
39, 1.00000, 0.16490, 0.30312, 0.82654, 0.69067, 1.00000
40, 1.00000, 0.16501, 0.30332, 0.82651, 0.68924, 1.00000
41, 1.00000, 0.16511, 0.30353, 0.82648, 0.68781, 1.00000
42, 1.00000, 0.16521, 0.30373, 0.82647, 0.68638, 1.00000
43, 1.00000, 0.16532, 0.30393, 0.82647, 0.68495, 1.00000
44, 1.00000, 0.16542, 0.30413, 0.82647, 0.68352, 1.00000
