strategy_id,strategy,system_domain,redundancy,flexibility,visibility,coordination,adaptive_capacity,equity_safeguards,infrastructure_continuity,systemic_exposure,implementation_burden,critical_function,supply_chain_resilience_value,equity_gap,infrastructure_gap,adjusted_value,scenario,rank
SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,8.1,8.8,8,8.2,8.5,7.8,8.5,4,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity,7.184999999999999,0.20000000000000018,0,7.168999999999999,Balanced,1
SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,7.8,8,7.8,8.4,8.7,8.2,9,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption,7.1610000000000005,0,0,7.1610000000000005,Balanced,2
SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,7.7,8.1,7.5,8.3,8.2,9,7.6,3.8,3,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress,7.014000000000001,0,0.40000000000000036,6.990000000000001,Balanced,3
SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,8.8,8.2,7.6,8,8.4,7.9,7.6,4,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs,7.009,0.09999999999999964,0.40000000000000036,6.977,Balanced,4
SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,6.9,7.9,9.2,8.5,8.3,7.6,7.8,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response,6.94,0.40000000000000036,0.20000000000000018,6.896000000000001,Balanced,5
SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,8.6,7.5,7.1,7.8,7.7,8,7.7,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols,6.733000000000001,0,0.2999999999999998,6.715000000000002,Balanced,6
SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,7.8,8,7.8,8.4,8.7,8.2,9,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption,7.964000000000001,0,0,7.964000000000001,Climate-infrastructure,1
SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,8.1,8.8,8,8.2,8.5,7.8,8.5,4,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity,7.852,0.20000000000000018,0,7.836,Climate-infrastructure,2
SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,7.7,8.1,7.5,8.3,8.2,9,7.6,3.8,3,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress,7.492000000000001,0,0.40000000000000036,7.468000000000001,Climate-infrastructure,3
SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,8.8,8.2,7.6,8,8.4,7.9,7.6,4,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs,7.497999999999999,0.09999999999999964,0.40000000000000036,7.465999999999999,Climate-infrastructure,4
SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,6.9,7.9,9.2,8.5,8.3,7.6,7.8,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response,7.5,0.40000000000000036,0.20000000000000018,7.4559999999999995,Climate-infrastructure,5
SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,8.6,7.5,7.1,7.8,7.7,8,7.7,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols,7.297999999999999,0,0.2999999999999998,7.279999999999999,Climate-infrastructure,6
SC005,Climate-Adjusted Infrastructure and Port Resilience Plan,climate infrastructure and port resilience,7.8,8,7.8,8.4,8.7,8.2,9,4.2,3.8,adapts ports warehouses energy systems roads rail and cold chains to climate hazards and disruption,7.678,0,0,7.678,Coordination-first,1
SC004,Multi-Route Logistics and Chokepoint Redesign,logistics route diversity and chokepoint management,8.1,8.8,8,8.2,8.5,7.8,8.5,4,3.4,creates alternate routes intermodal options port diversification and emergency logistics capacity,7.652,0.20000000000000018,0,7.636,Coordination-first,2
SC003,Digital End-to-End Visibility and Cyber Resilience Platform,digital visibility and cyber-resilient coordination,6.9,7.9,9.2,8.5,8.3,7.6,7.8,4.3,3.6,improves tier mapping shipment visibility bottleneck detection cybersecurity and operational response,7.567000000000001,0.40000000000000036,0.20000000000000018,7.5230000000000015,Coordination-first,3
SC006,Fair Supplier Finance and Labor Continuity Program,supplier viability labor standards and social resilience,7.7,8.1,7.5,8.3,8.2,9,7.6,3.8,3,protects workers small suppliers community continuity fair contracts liquidity and labor rights under stress,7.518000000000001,0,0.40000000000000036,7.494000000000001,Coordination-first,4
SC001,Supplier Diversification and Qualification Program,supplier diversification and concentration-risk reduction,8.8,8.2,7.6,8,8.4,7.9,7.6,4,3.2,reduces single-source dependence by qualifying alternative suppliers and mapping upstream critical inputs,7.4590000000000005,0.09999999999999964,0.40000000000000036,7.4270000000000005,Coordination-first,5
SC002,Regional Buffer Inventory for Critical Goods,strategic inventory and critical-goods continuity,8.6,7.5,7.1,7.8,7.7,8,7.7,4.1,3.1,protects essential goods with targeted stock buffers reserve capacity and replenishment protocols,7.189,0,0.2999999999999998,7.171,Coordination-first,6
