system_id,system,system_context,time,event,disturbance,ai_support,governance_buffer,model_drift,ai_risk,fragility_gap,human_strain,equity_performance,function,ethical_adjusted_function,resilience_score
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,0,background system pressure,0.09105,0.6666,0.4964,0.2455,0.64993,0.0,0.56777,0.32546,1.0,0.70022,0.60028
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,1,background system pressure,0.09209,0.6666,0.4964,0.21106,0.63868,0.0,0.55471,0.33025,1.0,0.70361,0.60552
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,2,background system pressure,0.09314,0.6666,0.4964,0.17666,0.62625,0.0,0.5407,0.33518,1.0,0.7072,0.61094
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,3,background system pressure,0.09328,0.6666,0.4964,0.14231,0.61262,0.0,0.5255,0.34025,1.0,0.71103,0.61658
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,4,background system pressure,0.09364,0.6666,0.4964,0.10799,0.5978,0.0,0.50902,0.34546,1.0,0.71509,0.62242
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,5,background system pressure,0.09322,0.6666,0.4964,0.0737,0.58177,0.0,0.49102,0.35082,1.0,0.71942,0.62849
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,6,background system pressure,0.09439,0.6666,0.4964,0.03947,0.56457,0.0,0.47168,0.3563,1.0,0.72399,0.63476
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,7,background system pressure,0.09404,0.6666,0.4964,0.00526,0.54617,0.0,0.45062,0.36193,1.0,0.72884,0.64128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,8,background system pressure,0.09325,0.6666,0.4964,0.0,0.52756,0.0,0.42776,0.36469,1.0,0.73298,0.64526
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,9,background system pressure,0.09445,0.6666,0.4964,0.0,0.50898,0.0,0.40342,0.36692,1.0,0.73708,0.64885
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,10,Climate hazard and infrastructure stress,0.6906,0.6666,0.4964,0.0,0.51143,0.36809,0.56387,0.31383,0.99313,0.70267,0.63144
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,11,background system pressure,0.09406,0.6666,0.4964,0.0,0.49284,0.0,0.53801,0.36886,1.0,0.72819,0.64262
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,12,background system pressure,0.09648,0.6666,0.4964,0.0,0.47431,0.0,0.5109,0.37108,1.0,0.73251,0.64637
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,13,background system pressure,0.09681,0.6666,0.4964,0.0,0.45579,0.0,0.48218,0.37331,1.0,0.73695,0.65021
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,14,background system pressure,0.09563,0.6666,0.4964,0.0,0.43724,0.0,0.45159,0.37553,1.0,0.74155,0.65417
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,15,background system pressure,0.09587,0.6666,0.4964,0.0,0.4187,0.0,0.41937,0.37776,1.0,0.74628,0.65822
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,16,background system pressure,0.09726,0.6666,0.4964,0.0,0.40019,0.0,0.38572,0.37998,1.0,0.75112,0.66236
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,17,background system pressure,0.0962,0.6666,0.4964,0.0,0.38165,0.0,0.35023,0.3822,1.0,0.75611,0.66661
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,18,background system pressure,0.09644,0.6666,0.4964,0.0,0.36313,0.0,0.3131,0.38442,1.0,0.76123,0.67095
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,19,background system pressure,0.09676,0.6666,0.4964,0.0,0.3446,0.0,0.27436,0.38665,1.0,0.76648,0.6754
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,20,background system pressure,0.09743,0.6666,0.4964,0.0,0.3261,0.0,0.23408,0.38887,1.0,0.77185,0.67993
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,21,background system pressure,0.0984,0.6666,0.4964,0.0,0.30762,0.0,0.19229,0.39109,1.0,0.77733,0.68455
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,22,Data distribution shift,0.757,0.6666,0.4964,0.0,0.31281,0.36695,0.34398,0.34086,1.0,0.74972,0.66891
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,23,background system pressure,0.0998,0.6666,0.4964,0.0,0.29436,0.0,0.30123,0.39268,1.0,0.77016,0.67953
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,24,background system pressure,0.09829,0.6666,0.4964,0.0,0.27588,0.0,0.25657,0.39489,1.0,0.77587,0.68433
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,25,background system pressure,0.10037,0.6666,0.4964,0.0,0.25745,0.0,0.2106,0.39711,1.0,0.78169,0.68919
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,26,background system pressure,0.0997,0.6666,0.4964,0.0,0.239,0.0,0.16286,0.39932,1.0,0.78765,0.69417
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,27,background system pressure,0.10083,0.6666,0.4964,0.0,0.22058,0.0,0.11366,0.40153,1.0,0.79372,0.69923
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,28,background system pressure,0.10092,0.6666,0.4964,0.0,0.20216,0.0,0.06281,0.40374,1.0,0.79992,0.70439
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,29,background system pressure,0.09964,0.6666,0.4964,0.0,0.18371,0.0,0.01008,0.40595,1.0,0.80628,0.70966
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,30,background system pressure,0.10111,0.6666,0.4964,0.0,0.1653,0.0,0.0,0.40816,1.0,0.80922,0.71237
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,31,background system pressure,0.10014,0.6666,0.4964,0.0,0.14687,0.0,0.0,0.41038,1.0,0.81136,0.71448
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,32,background system pressure,0.10015,0.6666,0.4964,0.0,0.12843,0.0,0.0,0.41259,1.0,0.8135,0.71659
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,33,background system pressure,0.10138,0.6666,0.4964,0.0,0.11002,0.0,0.0,0.4148,1.0,0.81564,0.7187
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,34,Public trust and equity challenge,0.7468,0.6666,0.4964,0.0,0.11459,0.28936,0.11847,0.34545,1.0,0.78499,0.70281
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,35,background system pressure,0.10288,0.6666,0.4964,0.0,0.09623,0.0,0.05842,0.41645,1.0,0.81256,0.71677
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,36,background system pressure,0.10268,0.6666,0.4964,0.0,0.07785,0.0,0.0,0.41866,1.0,0.81937,0.72238
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,37,background system pressure,0.10208,0.6666,0.4964,0.0,0.05946,0.0,0.0,0.42086,1.0,0.8215,0.72448
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,38,background system pressure,0.10393,0.6666,0.4964,0.0,0.04112,0.0,0.0,0.42307,1.0,0.82363,0.72658
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,39,background system pressure,0.1044,0.6666,0.4964,0.0,0.02279,0.0,0.0,0.42526,1.0,0.82576,0.72867
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,40,background system pressure,0.10307,0.6666,0.4964,0.0,0.00443,0.0,0.0,0.42747,1.0,0.82789,0.73078
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,41,background system pressure,0.10387,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,42,background system pressure,0.10462,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,43,background system pressure,0.10555,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,44,background system pressure,0.10398,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,45,background system pressure,0.1053,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,46,Cyber and adversarial model stress,0.7824,0.6666,0.4964,0.0,0.01446,0.29092,0.11975,0.37346,1.0,0.8013,0.71611
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,47,background system pressure,0.10689,0.6666,0.4964,0.0,0.0,0.0,0.05172,0.428,1.0,0.82426,0.72818
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,48,background system pressure,0.10632,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,49,background system pressure,0.10688,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,50,background system pressure,0.10731,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,51,background system pressure,0.10696,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,52,background system pressure,0.10674,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,53,background system pressure,0.10775,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,54,background system pressure,0.1079,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
AIS001,AI early warning with weak governance,strong signal detection but weak accountability and community safeguards,55,background system pressure,0.10775,0.6666,0.4964,0.0,0.0,0.0,0.0,0.428,1.0,0.8284,0.73128
