simulation_id,strategy_id,strategy,rank,ai_resilience_value,winner
0,AIR006,AI Governance Audit and Drift Monitoring,1,8.42753,AI Governance Audit and Drift Monitoring
0,AIR007,AI Security and Misuse Resistance,2,8.19961,AI Governance Audit and Drift Monitoring
0,AIR004,AI Decision Support with Human Oversight,3,8.03436,AI Governance Audit and Drift Monitoring
0,AIR002,AI Scenario Modeling and Stress Testing,4,8.03215,AI Governance Audit and Drift Monitoring
0,AIR005,Participatory AI and Local Knowledge Integration,5,8.02189,AI Governance Audit and Drift Monitoring
0,AIR003,AI-Assisted Infrastructure Maintenance,6,7.98355,AI Governance Audit and Drift Monitoring
0,AIR001,AI Early Warning and Anomaly Detection,7,7.69326,AI Governance Audit and Drift Monitoring
1,AIR006,AI Governance Audit and Drift Monitoring,1,8.43883,AI Governance Audit and Drift Monitoring
1,AIR004,AI Decision Support with Human Oversight,2,8.20048,AI Governance Audit and Drift Monitoring
1,AIR007,AI Security and Misuse Resistance,3,8.14546,AI Governance Audit and Drift Monitoring
1,AIR002,AI Scenario Modeling and Stress Testing,4,8.11598,AI Governance Audit and Drift Monitoring
1,AIR005,Participatory AI and Local Knowledge Integration,5,8.06469,AI Governance Audit and Drift Monitoring
1,AIR003,AI-Assisted Infrastructure Maintenance,6,7.95861,AI Governance Audit and Drift Monitoring
1,AIR001,AI Early Warning and Anomaly Detection,7,7.50628,AI Governance Audit and Drift Monitoring
2,AIR006,AI Governance Audit and Drift Monitoring,1,8.41584,AI Governance Audit and Drift Monitoring
2,AIR005,Participatory AI and Local Knowledge Integration,2,8.24519,AI Governance Audit and Drift Monitoring
2,AIR004,AI Decision Support with Human Oversight,3,8.23413,AI Governance Audit and Drift Monitoring
2,AIR002,AI Scenario Modeling and Stress Testing,4,8.00535,AI Governance Audit and Drift Monitoring
2,AIR001,AI Early Warning and Anomaly Detection,5,8.0013,AI Governance Audit and Drift Monitoring
2,AIR007,AI Security and Misuse Resistance,6,7.90034,AI Governance Audit and Drift Monitoring
2,AIR003,AI-Assisted Infrastructure Maintenance,7,7.68275,AI Governance Audit and Drift Monitoring
3,AIR006,AI Governance Audit and Drift Monitoring,1,8.32269,AI Governance Audit and Drift Monitoring
3,AIR005,Participatory AI and Local Knowledge Integration,2,8.19307,AI Governance Audit and Drift Monitoring
3,AIR003,AI-Assisted Infrastructure Maintenance,3,8.17605,AI Governance Audit and Drift Monitoring
3,AIR007,AI Security and Misuse Resistance,4,8.15304,AI Governance Audit and Drift Monitoring
3,AIR004,AI Decision Support with Human Oversight,5,7.83243,AI Governance Audit and Drift Monitoring
3,AIR002,AI Scenario Modeling and Stress Testing,6,7.77762,AI Governance Audit and Drift Monitoring
3,AIR001,AI Early Warning and Anomaly Detection,7,7.64979,AI Governance Audit and Drift Monitoring
4,AIR006,AI Governance Audit and Drift Monitoring,1,8.4029,AI Governance Audit and Drift Monitoring
4,AIR005,Participatory AI and Local Knowledge Integration,2,8.2639,AI Governance Audit and Drift Monitoring
4,AIR004,AI Decision Support with Human Oversight,3,8.15241,AI Governance Audit and Drift Monitoring
4,AIR002,AI Scenario Modeling and Stress Testing,4,8.11893,AI Governance Audit and Drift Monitoring
4,AIR007,AI Security and Misuse Resistance,5,7.89531,AI Governance Audit and Drift Monitoring
4,AIR003,AI-Assisted Infrastructure Maintenance,6,7.79285,AI Governance Audit and Drift Monitoring
4,AIR001,AI Early Warning and Anomaly Detection,7,7.56535,AI Governance Audit and Drift Monitoring
5,AIR005,Participatory AI and Local Knowledge Integration,1,8.36687,Participatory AI and Local Knowledge Integration
5,AIR004,AI Decision Support with Human Oversight,2,8.20957,Participatory AI and Local Knowledge Integration
5,AIR001,AI Early Warning and Anomaly Detection,3,8.0026,Participatory AI and Local Knowledge Integration
5,AIR007,AI Security and Misuse Resistance,4,7.82733,Participatory AI and Local Knowledge Integration
5,AIR006,AI Governance Audit and Drift Monitoring,5,7.82633,Participatory AI and Local Knowledge Integration
5,AIR002,AI Scenario Modeling and Stress Testing,6,7.63495,Participatory AI and Local Knowledge Integration
5,AIR003,AI-Assisted Infrastructure Maintenance,7,7.60598,Participatory AI and Local Knowledge Integration
