strategy_id,strategy,system_domain,monitoring_value,forecasting_value,scenario_value,decision_support,governance_quality,equity_safeguards,human_oversight,local_knowledge,security_resilience,ai_risk,implementation_burden,critical_function,ai_resilience_value,governance_gap,equity_gap,human_gap,local_gap,adjusted_value,scenario,rank
AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,8.4,8.2,8.5,8.4,9.3,8.8,8.8,8.4,9,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time,8.294,0,0,0,0,8.294,Balanced,1
AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,8.1,8,8.4,9.1,8.7,8.4,9.2,8.2,8.4,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment,8.161000000000001,0,0.09999999999999964,0,0,8.153000000000002,Balanced,2
AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7.6,7.4,8.2,8,8.6,9.2,9.1,9.4,8,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems,8.048,0,0,0,0,8.048,Balanced,3
AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,8,8,8.1,8.2,8.8,8.2,8.5,8,9.4,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse,7.988999999999999,0,0.3000000000000007,0,0.1999999999999993,7.952999999999999,Balanced,4
AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,8,8.6,9.2,8.4,8.2,8,8.2,8,8,3,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty,7.913999999999999,0.3000000000000007,0.5,0.3000000000000007,0.1999999999999993,7.816999999999999,Balanced,5
AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,8.7,8.3,8,8.5,8.1,7.9,8.1,7.7,8.1,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention,7.7749999999999995,0.40000000000000036,0.5999999999999996,0.40000000000000036,0.4999999999999991,7.636999999999999,Balanced,6
AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,9.2,8.8,7.8,8.2,8,7.8,8,7.6,8.2,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs,7.795999999999999,0.5,0.7000000000000002,0.5,0.5999999999999996,7.629,Balanced,7
AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,8.1,8,8.4,9.1,8.7,8.4,9.2,8.2,8.4,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment,8.977999999999998,0,0.09999999999999964,0,0,8.969999999999999,Decision-support,1
AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,8.4,8.2,8.5,8.4,9.3,8.8,8.8,8.4,9,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time,8.946000000000002,0,0,0,0,8.946000000000002,Decision-support,2
AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7.6,7.4,8.2,8,8.6,9.2,9.1,9.4,8,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems,8.658000000000001,0,0,0,0,8.658000000000001,Decision-support,3
