scenario,strategy_id,strategy,system_domain,rank,ai_resilience_value,ai_risk,implementation_burden,critical_function
Balanced,AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,1,8.294,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time
Balanced,AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,2,8.161,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment
Balanced,AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,3,8.048,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems
Balanced,AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,4,7.989,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse
Balanced,AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,5,7.914,3.0,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty
Balanced,AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,6,7.796,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs
Balanced,AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,7,7.775,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention
Early-warning-first,AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,1,8.481,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time
Early-warning-first,AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,2,8.352,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs
Early-warning-first,AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,3,8.301,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment
Early-warning-first,AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,4,8.178,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention
Early-warning-first,AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,5,8.17,3.0,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty
Early-warning-first,AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,6,8.168,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse
Early-warning-first,AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,7,8.04,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems
Scenario-first,AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,1,8.856,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time
Scenario-first,AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,2,8.748,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment
Scenario-first,AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,3,8.726,3.0,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty
Scenario-first,AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,4,8.561,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems
Scenario-first,AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,5,8.517,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse
Scenario-first,AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,6,8.36,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention
Scenario-first,AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,7,8.356,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs
Decision-support,AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,1,8.978,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment
Decision-support,AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,2,8.946,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time
Decision-support,AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,3,8.658,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems
Decision-support,AIR002,AI Scenario Modeling and Stress Testing,scenario planning uncertainty and stress testing,4,8.633,3.0,3.5,tests plausible futures compound hazards cascading disruption and adaptation pathways under uncertainty
Decision-support,AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,5,8.632,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse
Decision-support,AIR003,AI-Assisted Infrastructure Maintenance,infrastructure monitoring and predictive maintenance,6,8.508,3.1,3.6,supports inspection prioritization repair planning asset management and failure prevention
Decision-support,AIR001,AI Early Warning and Anomaly Detection,early warning weak signals and risk detection,7,8.463,3.2,3.3,detects weak signals anomalies emerging hazards and system stress before visible failure occurs
Governance-first,AIR006,AI Governance Audit and Drift Monitoring,AI governance audit drift monitoring and corrective action,1,9.2,2.5,3.8,monitors model drift bias calibration governance incidents security performance and corrective actions over time
Governance-first,AIR004,AI Decision Support with Human Oversight,decision support accountable human judgment and override,2,8.98,2.7,3.4,supports accountable decisions while preserving human review appeal override and contextual judgment
Governance-first,AIR005,Participatory AI and Local Knowledge Integration,community participation local knowledge and data justice,3,8.928,2.6,3.7,integrates community knowledge Indigenous knowledge frontline expertise and participatory validation into AI-enabled resilience systems
Governance-first,AIR007,AI Security and Misuse Resistance,security adversarial robustness and misuse prevention,4,8.824,2.8,3.6,protects AI-enabled resilience systems against cyber risk adversarial manipulation data poisoning prompt injection and harmful reuse
