scenario,strategy_id,strategy,rank,ethical_resilience_value,adjusted_ethical_resilience_value,diagnostic,critical_function
Balanced,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.827,7.827,implementation-burden review needed,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights
Balanced,ERS005,Public Housing Climate Retrofit Program,2,7.684,7.674,promising but requires participatory validation,reduces heat flood and energy burdens for low income residents through public investment and tenant protection
Balanced,ERS007,Equity-Weighted Recovery Fund,3,7.597,7.576,promising but requires participatory validation,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone
Balanced,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.498,7.492,promising but requires participatory validation,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight
Balanced,ERS003,Community-Led Heat Resilience Network,5,7.485,7.485,promising but requires participatory validation,builds local cooling care networks trusted messengers and neighborhood-scale response capacity
Balanced,ERS002,Managed Retreat with Social Protection,6,7.407,7.375,promising but requires participatory validation,reduces exposure while pairing relocation with housing income legal and community protections
Balanced,ERS001,Targeted Flood Defense Upgrade,7,6.343,6.045,equity-performance review needed,protects high-risk infrastructure but may privilege asset value over vulnerability
Balanced,ERS004,Critical Infrastructure Hardening Only,8,5.57,5.096,burden-shifting review needed,protects technical assets while leaving distribution participation and recognition concerns unresolved
Protection-first,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.898,7.898,implementation-burden review needed,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights
Protection-first,ERS005,Public Housing Climate Retrofit Program,2,7.858,7.848,promising but requires participatory validation,reduces heat flood and energy burdens for low income residents through public investment and tenant protection
Protection-first,ERS007,Equity-Weighted Recovery Fund,3,7.682,7.661,promising but requires participatory validation,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone
Protection-first,ERS003,Community-Led Heat Resilience Network,4,7.564,7.564,promising but requires participatory validation,builds local cooling care networks trusted messengers and neighborhood-scale response capacity
Protection-first,ERS002,Managed Retreat with Social Protection,5,7.574,7.542,promising but requires participatory validation,reduces exposure while pairing relocation with housing income legal and community protections
Protection-first,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.492,7.486,promising but requires participatory validation,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight
Protection-first,ERS001,Targeted Flood Defense Upgrade,7,6.986,6.688,equity-performance review needed,protects high-risk infrastructure but may privilege asset value over vulnerability
Protection-first,ERS004,Critical Infrastructure Hardening Only,8,6.38,5.906,burden-shifting review needed,protects technical assets while leaving distribution participation and recognition concerns unresolved
Equity-first,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.07,8.07,implementation-burden review needed,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights
Equity-first,ERS005,Public Housing Climate Retrofit Program,2,8.016,8.006,promising but requires participatory validation,reduces heat flood and energy burdens for low income residents through public investment and tenant protection
Equity-first,ERS007,Equity-Weighted Recovery Fund,3,8.006,7.985,promising but requires participatory validation,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone
Equity-first,ERS003,Community-Led Heat Resilience Network,4,7.756,7.756,promising but requires participatory validation,builds local cooling care networks trusted messengers and neighborhood-scale response capacity
Equity-first,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.746,7.74,promising but requires participatory validation,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight
Equity-first,ERS002,Managed Retreat with Social Protection,6,7.76,7.728,promising but requires participatory validation,reduces exposure while pairing relocation with housing income legal and community protections
Equity-first,ERS001,Targeted Flood Defense Upgrade,7,6.412,6.114,equity-performance review needed,protects high-risk infrastructure but may privilege asset value over vulnerability
Equity-first,ERS004,Critical Infrastructure Hardening Only,8,5.588,5.114,burden-shifting review needed,protects technical assets while leaving distribution participation and recognition concerns unresolved
Participation-first,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.182,8.182,implementation-burden review needed,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights
Participation-first,ERS005,Public Housing Climate Retrofit Program,2,7.904,7.894,promising but requires participatory validation,reduces heat flood and energy burdens for low income residents through public investment and tenant protection
Participation-first,ERS003,Community-Led Heat Resilience Network,3,7.84,7.84,promising but requires participatory validation,builds local cooling care networks trusted messengers and neighborhood-scale response capacity
Participation-first,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,7.834,7.828,promising but requires participatory validation,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight
Participation-first,ERS007,Equity-Weighted Recovery Fund,5,7.8,7.779,promising but requires participatory validation,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone
Participation-first,ERS002,Managed Retreat with Social Protection,6,7.624,7.592,promising but requires participatory validation,reduces exposure while pairing relocation with housing income legal and community protections
Participation-first,ERS001,Targeted Flood Defense Upgrade,7,6.42,6.122,equity-performance review needed,protects high-risk infrastructure but may privilege asset value over vulnerability
Participation-first,ERS004,Critical Infrastructure Hardening Only,8,5.53,5.056,burden-shifting review needed,protects technical assets while leaving distribution participation and recognition concerns unresolved
Recognition-first,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.232,8.232,implementation-burden review needed,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights
Recognition-first,ERS005,Public Housing Climate Retrofit Program,2,7.854,7.844,promising but requires participatory validation,reduces heat flood and energy burdens for low income residents through public investment and tenant protection
Recognition-first,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.84,7.834,promising but requires participatory validation,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight
Recognition-first,ERS003,Community-Led Heat Resilience Network,4,7.808,7.808,promising but requires participatory validation,builds local cooling care networks trusted messengers and neighborhood-scale response capacity
Recognition-first,ERS007,Equity-Weighted Recovery Fund,5,7.77,7.749,promising but requires participatory validation,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone
Recognition-first,ERS002,Managed Retreat with Social Protection,6,7.596,7.564,promising but requires participatory validation,reduces exposure while pairing relocation with housing income legal and community protections
Recognition-first,ERS001,Targeted Flood Defense Upgrade,7,6.348,6.05,equity-performance review needed,protects high-risk infrastructure but may privilege asset value over vulnerability
Recognition-first,ERS004,Critical Infrastructure Hardening Only,8,5.496,5.022,burden-shifting review needed,protects technical assets while leaving distribution participation and recognition concerns unresolved
Accountability-first,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.375,8.375,implementation-burden review needed,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights
Accountability-first,ERS005,Public Housing Climate Retrofit Program,2,8.198,8.188,promising but requires participatory validation,reduces heat flood and energy burdens for low income residents through public investment and tenant protection
Accountability-first,ERS007,Equity-Weighted Recovery Fund,3,8.151,8.13,promising but requires participatory validation,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone
Accountability-first,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,8.13,8.124,promising but requires participatory validation,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight
Accountability-first,ERS003,Community-Led Heat Resilience Network,5,7.959,7.959,promising but requires participatory validation,builds local cooling care networks trusted messengers and neighborhood-scale response capacity
Accountability-first,ERS002,Managed Retreat with Social Protection,6,7.891,7.859,promising but requires participatory validation,reduces exposure while pairing relocation with housing income legal and community protections
Accountability-first,ERS001,Targeted Flood Defense Upgrade,7,6.635,6.337,equity-performance review needed,protects high-risk infrastructure but may privilege asset value over vulnerability
Accountability-first,ERS004,Critical Infrastructure Hardening Only,8,5.762,5.288,burden-shifting review needed,protects technical assets while leaving distribution participation and recognition concerns unresolved
Burden-sensitive,ERS006,Watershed Restoration with Indigenous Co-Governance,1,6.107,6.107,implementation-burden review needed,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights
Burden-sensitive,ERS005,Public Housing Climate Retrofit Program,2,5.968,5.958,promising but requires participatory validation,reduces heat flood and energy burdens for low income residents through public investment and tenant protection
Burden-sensitive,ERS007,Equity-Weighted Recovery Fund,3,5.88,5.859,promising but requires participatory validation,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone
Burden-sensitive,ERS008,Data Rights and Anti-Surveillance Resilience Program,4,5.851,5.845,promising but requires participatory validation,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight
Burden-sensitive,ERS003,Community-Led Heat Resilience Network,5,5.712,5.712,promising but requires participatory validation,builds local cooling care networks trusted messengers and neighborhood-scale response capacity
Burden-sensitive,ERS002,Managed Retreat with Social Protection,6,5.672,5.64,promising but requires participatory validation,reduces exposure while pairing relocation with housing income legal and community protections
Burden-sensitive,ERS001,Targeted Flood Defense Upgrade,7,4.53,4.232,equity-performance review needed,protects high-risk infrastructure but may privilege asset value over vulnerability
Burden-sensitive,ERS004,Critical Infrastructure Hardening Only,8,3.757,3.283,burden-shifting review needed,protects technical assets while leaving distribution participation and recognition concerns unresolved
Implementation-aware,ERS006,Watershed Restoration with Indigenous Co-Governance,1,6.791,6.791,implementation-burden review needed,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights
Implementation-aware,ERS005,Public Housing Climate Retrofit Program,2,6.679,6.669,promising but requires participatory validation,reduces heat flood and energy burdens for low income residents through public investment and tenant protection
Implementation-aware,ERS007,Equity-Weighted Recovery Fund,3,6.619,6.598,promising but requires participatory validation,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone
Implementation-aware,ERS003,Community-Led Heat Resilience Network,4,6.564,6.564,promising but requires participatory validation,builds local cooling care networks trusted messengers and neighborhood-scale response capacity
Implementation-aware,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,6.546,6.54,promising but requires participatory validation,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight
Implementation-aware,ERS002,Managed Retreat with Social Protection,6,6.419,6.387,promising but requires participatory validation,reduces exposure while pairing relocation with housing income legal and community protections
Implementation-aware,ERS001,Targeted Flood Defense Upgrade,7,5.495,5.197,equity-performance review needed,protects high-risk infrastructure but may privilege asset value over vulnerability
Implementation-aware,ERS004,Critical Infrastructure Hardening Only,8,4.823,4.349,burden-shifting review needed,protects technical assets while leaving distribution participation and recognition concerns unresolved
