 time,protection,equity,legitimacy,recognition,accountability,burden,ethical_resilience_value
1, 7.90000, 8.50000, 8.92000, 8.70000, 8.33000, 3.37500, 7.49405
2, 7.90000, 8.50000, 8.94000, 8.70000, 8.36000, 3.35000, 7.50310
3, 7.90000, 8.50000, 8.96000, 8.70000, 8.39000, 3.32500, 7.51215
4, 7.90000, 8.50000, 8.98000, 8.70000, 8.42000, 3.30000, 7.52120
5, 7.90000, 8.50000, 9.00000, 8.70000, 8.45000, 3.27500, 7.53025
6, 7.90000, 8.50000, 9.02000, 8.70000, 8.48000, 3.25000, 7.53930
7, 7.90000, 8.50000, 9.04000, 8.70000, 8.51000, 3.22500, 7.54835
8, 7.90000, 8.50000, 9.06000, 8.70000, 8.54000, 3.20000, 7.55740
9, 7.90000, 8.50000, 9.08000, 8.70000, 8.57000, 3.17500, 7.56645
10, 7.90000, 8.50000, 9.10000, 8.70000, 8.60000, 3.15000, 7.57550
11, 7.90000, 8.50000, 9.12000, 8.70000, 8.63000, 3.12500, 7.58455
12, 7.90000, 8.50000, 9.14001, 8.70000, 8.66000, 3.10000, 7.59360
13, 7.90000, 8.50000, 9.16001, 8.70000, 8.69000, 3.07500, 7.60265
14, 7.90000, 8.50000, 9.18001, 8.70000, 8.72000, 3.05000, 7.61170
15, 7.90000, 8.50000, 9.20001, 8.70000, 8.75000, 3.02500, 7.62075
16, 7.90000, 8.50000, 9.22001, 8.70000, 8.78000, 3.00000, 7.62980
17, 7.90000, 8.50000, 9.24001, 8.70000, 8.81000, 2.97500, 7.63885
18, 7.90000, 8.50000, 9.26001, 8.70000, 8.84000, 2.95000, 7.64790
19, 7.90000, 8.50000, 9.28001, 8.70000, 8.87000, 2.92500, 7.65695
20, 7.90000, 8.50000, 9.30001, 8.70000, 8.89999, 2.90000, 7.66600
