simulation_id,strategy_id,strategy,rank,adjusted_ethical_resilience_value
0,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.89615
0,ERS007,Equity-Weighted Recovery Fund,2,7.8669
0,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.52702
0,ERS002,Managed Retreat with Social Protection,4,7.42708
0,ERS003,Community-Led Heat Resilience Network,5,7.34207
0,ERS005,Public Housing Climate Retrofit Program,6,7.33297
0,ERS001,Targeted Flood Defense Upgrade,7,6.08742
0,ERS004,Critical Infrastructure Hardening Only,8,4.96843
1,ERS007,Equity-Weighted Recovery Fund,1,7.99425
1,ERS006,Watershed Restoration with Indigenous Co-Governance,2,7.95382
1,ERS003,Community-Led Heat Resilience Network,3,7.84316
1,ERS005,Public Housing Climate Retrofit Program,4,7.77131
1,ERS008,Data Rights and Anti-Surveillance Resilience Program,5,7.68221
1,ERS002,Managed Retreat with Social Protection,6,7.23781
1,ERS001,Targeted Flood Defense Upgrade,7,6.71088
1,ERS004,Critical Infrastructure Hardening Only,8,5.07805
2,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.99908
2,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.82162
2,ERS003,Community-Led Heat Resilience Network,3,7.80843
2,ERS007,Equity-Weighted Recovery Fund,4,7.68816
2,ERS005,Public Housing Climate Retrofit Program,5,7.64546
2,ERS002,Managed Retreat with Social Protection,6,7.05356
2,ERS001,Targeted Flood Defense Upgrade,7,6.01361
2,ERS004,Critical Infrastructure Hardening Only,8,5.34802
3,ERS005,Public Housing Climate Retrofit Program,1,7.99602
3,ERS007,Equity-Weighted Recovery Fund,2,7.82328
3,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.69925
3,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.67941
3,ERS003,Community-Led Heat Resilience Network,5,7.55436
3,ERS002,Managed Retreat with Social Protection,6,7.44273
3,ERS001,Targeted Flood Defense Upgrade,7,6.10492
3,ERS004,Critical Infrastructure Hardening Only,8,5.4113
4,ERS006,Watershed Restoration with Indigenous Co-Governance,1,8.19705
4,ERS005,Public Housing Climate Retrofit Program,2,8.17669
4,ERS008,Data Rights and Anti-Surveillance Resilience Program,3,7.42137
4,ERS002,Managed Retreat with Social Protection,4,7.14658
4,ERS007,Equity-Weighted Recovery Fund,5,7.02505
4,ERS003,Community-Led Heat Resilience Network,6,6.90756
4,ERS001,Targeted Flood Defense Upgrade,7,6.05957
4,ERS004,Critical Infrastructure Hardening Only,8,5.35606
5,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.65511
5,ERS002,Managed Retreat with Social Protection,2,7.46637
5,ERS005,Public Housing Climate Retrofit Program,3,7.45842
5,ERS007,Equity-Weighted Recovery Fund,4,7.44827
5,ERS003,Community-Led Heat Resilience Network,5,7.36212
5,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,7.12582
5,ERS001,Targeted Flood Defense Upgrade,7,5.5816
5,ERS004,Critical Infrastructure Hardening Only,8,4.99955
6,ERS005,Public Housing Climate Retrofit Program,1,7.97851
6,ERS008,Data Rights and Anti-Surveillance Resilience Program,2,7.79599
6,ERS003,Community-Led Heat Resilience Network,3,7.71328
6,ERS006,Watershed Restoration with Indigenous Co-Governance,4,7.61447
6,ERS002,Managed Retreat with Social Protection,5,7.5564
6,ERS007,Equity-Weighted Recovery Fund,6,7.47751
6,ERS001,Targeted Flood Defense Upgrade,7,6.32642
6,ERS004,Critical Infrastructure Hardening Only,8,5.26183
7,ERS005,Public Housing Climate Retrofit Program,1,7.72131
7,ERS003,Community-Led Heat Resilience Network,2,7.69303
7,ERS006,Watershed Restoration with Indigenous Co-Governance,3,7.65462
7,ERS007,Equity-Weighted Recovery Fund,4,7.57133
7,ERS002,Managed Retreat with Social Protection,5,6.98038
7,ERS008,Data Rights and Anti-Surveillance Resilience Program,6,6.6384
7,ERS001,Targeted Flood Defense Upgrade,7,6.20192
7,ERS004,Critical Infrastructure Hardening Only,8,5.14562
8,ERS006,Watershed Restoration with Indigenous Co-Governance,1,7.96257
8,ERS007,Equity-Weighted Recovery Fund,2,7.56959
