strategy_id,strategy,protection_effectiveness,equity,governance_legitimacy,recognition,accountability,burden_shift,implementation_burden,critical_function,ethical_resilience_value,equity_gap,governance_gap,recognition_gap,adjusted_value,scenario,diagnostic,rank
ERS006,Watershed Restoration with Indigenous Co-Governance,8.2,8.7,9.1,9.4,8.9,2.7,4,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights,8.375000000000002,0,0,0,8.375000000000002,Accountability-first,implementation-burden review needed,1
ERS005,Public Housing Climate Retrofit Program,8.4,9,8.6,8.3,8.8,2.8,3.8,reduces heat flood and energy burdens for low income residents through public investment and tenant protection,8.198,0,0,0.1999999999999993,8.188,Accountability-first,promising but requires participatory validation,2
ERS007,Equity-Weighted Recovery Fund,8,9.2,8.4,8.2,8.9,2.9,3.6,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone,8.151,0,0.09999999999999964,0.3000000000000007,8.129999999999999,Accountability-first,promising but requires participatory validation,3
ERS008,Data Rights and Anti-Surveillance Resilience Program,7.6,8.4,8.7,8.8,9,2.6,3.4,protects public safety monitoring from surveillance creep through data rights consent minimization and oversight,8.129999999999999,0.09999999999999964,0,0,8.123999999999999,Accountability-first,promising but requires participatory validation,4
ERS003,Community-Led Heat Resilience Network,7.9,8.5,8.9,8.7,8.3,3.4,3.1,builds local cooling care networks trusted messengers and neighborhood-scale response capacity,7.9590000000000005,0,0,0,7.9590000000000005,Accountability-first,promising but requires participatory validation,5
ERS002,Managed Retreat with Social Protection,8.1,8.8,8.3,8.1,8.4,3.2,3.9,reduces exposure while pairing relocation with housing income legal and community protections,7.891,0,0.1999999999999993,0.40000000000000036,7.859,Accountability-first,promising but requires participatory validation,6
ERS001,Targeted Flood Defense Upgrade,8.7,6.8,6.9,6.5,6.8,4.8,3.5,protects high-risk infrastructure but may privilege asset value over vulnerability,6.635,1.7000000000000002,1.5999999999999996,2,6.337,Accountability-first,equity-performance review needed,7
ERS004,Critical Infrastructure Hardening Only,8.5,5.9,5.7,5.5,5.8,5.6,3.2,protects technical assets while leaving distribution participation and recognition concerns unresolved,5.762,2.5999999999999996,2.8,3,5.287999999999999,Accountability-first,burden-shifting review needed,8
ERS006,Watershed Restoration with Indigenous Co-Governance,8.2,8.7,9.1,9.4,8.9,2.7,4,restores ecological buffers while recognizing Indigenous governance knowledge land relationships and rights,7.827000000000001,0,0,0,7.827000000000001,Balanced,implementation-burden review needed,1
ERS005,Public Housing Climate Retrofit Program,8.4,9,8.6,8.3,8.8,2.8,3.8,reduces heat flood and energy burdens for low income residents through public investment and tenant protection,7.684,0,0,0.1999999999999993,7.674,Balanced,promising but requires participatory validation,2
ERS007,Equity-Weighted Recovery Fund,8,9.2,8.4,8.2,8.9,2.9,3.6,directs recovery finance by vulnerability need and prior disinvestment rather than property value alone,7.597,0,0.09999999999999964,0.3000000000000007,7.5760000000000005,Balanced,promising but requires participatory validation,3
