criterion,definition,measurement_note
monitoring_value,AI contribution to detecting weak signals anomalies hazards system stress and emerging risks,Use lead time anomaly detection coverage missed event rate false alarm rate and field validation indicators
forecasting_value,AI contribution to forecasting demand hazards service strain infrastructure risk ecological change or disruption pathways,Use calibration uncertainty coverage forecast error stress condition performance and scenario validation indicators
scenario_value,AI contribution to scenario comparison stress testing pathway exploration and uncertainty analysis,Use scenario diversity assumption transparency sensitivity testing and usefulness for decision deliberation
decision_support,AI contribution to accountable prioritization routing resource allocation triage and planning under uncertainty,Use actionability decision latency documentation review quality and decision-outcome tracking
governance_quality,Purpose limitation auditability model documentation accountability monitoring incident response and corrective-action capacity,Use model cards audit records incident reports drift review governance board minutes and corrective-action completion
equity_safeguards,Protection against unequal error exclusion surveillance bias resource misallocation and harm to vulnerable groups,Use disaggregated performance access metrics appeal outcomes vulnerability coverage and participatory equity review
human_oversight,Human review override appeal manual fallback interpretation field validation and accountable decision authority,Use override frequency manual fallback tests training coverage appeal pathways and decision-right clarity
local_knowledge,Integration of community knowledge Indigenous knowledge frontline expertise institutional memory and contextual interpretation,Use participatory validation field review community governance representation and local knowledge documentation
security_resilience,Protection against data poisoning adversarial manipulation cyber compromise model theft prompt injection and misuse,Use red-team tests access controls anomaly detection secure deployment incident response and adversarial robustness checks
ai_risk,Risk from drift bias opacity overreliance surveillance misuse environmental burden or automation fragility,Higher values should trigger governance review participatory validation safeguards and deployment limits
implementation_burden,Administrative technical governance trust capacity and cost burden required to implement an AI-enabled resilience strategy,Higher values should trigger sequencing feasibility resource and institutional readiness review
