strategy_id,strategy,system_domain,resistance,recovery,adaptability,transformability,equity_protection,institutional_capacity,implementation_burden,critical_function,economic_resilience_value,equity_gap,institutional_gap,adjusted_value,scenario,rank
ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,7.7,7.8,8.8,9.2,8.8,8.5,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability,8.453,0,0,8.453,Adaptation-first,1
ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,7.4,7.9,8.9,8.3,8.4,8.1,3,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change,8.261000000000001,0,0.09999999999999964,8.255,Adaptation-first,2
ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,8,8,8.5,8.4,8.1,8.2,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply,8.175,0.20000000000000107,0,8.159,Adaptation-first,3
ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,8.5,8.8,8,8,8.3,8.8,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns,8.152,0,0,8.152,Adaptation-first,4
ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,8.1,8.5,8.1,7.9,8.7,8.2,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise,8.078,0,0,8.078,Adaptation-first,5
ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,8.6,8.2,7.8,7.4,7.6,8,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity,7.774,0.7000000000000011,0.1999999999999993,7.706,Adaptation-first,6
ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,7.7,7.8,8.8,9.2,8.8,8.5,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability,8.407,0,0,8.407,Balanced,1
ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,8.5,8.8,8,8,8.3,8.8,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns,8.327000000000002,0,0,8.327000000000002,Balanced,2
ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,8.1,8.5,8.1,7.9,8.7,8.2,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise,8.191,0,0,8.191,Balanced,3
ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,8,8,8.5,8.4,8.1,8.2,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply,8.133999999999999,0.20000000000000107,0,8.117999999999999,Balanced,4
ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,7.4,7.9,8.9,8.3,8.4,8.1,3,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change,8.117,0,0.09999999999999964,8.111,Balanced,5
ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,8.6,8.2,7.8,7.4,7.6,8,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity,7.859999999999999,0.7000000000000011,0.1999999999999993,7.792,Balanced,6
ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,7.7,7.8,8.8,9.2,8.8,8.5,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability,8.536999999999999,0,0,8.536999999999999,Equity-first,1
ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,8.1,8.5,8.1,7.9,8.7,8.2,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise,8.329,0,0,8.329,Equity-first,2
ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,8.5,8.8,8,8,8.3,8.8,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns,8.316,0,0,8.316,Equity-first,3
ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,7.4,7.9,8.9,8.3,8.4,8.1,3,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change,8.216000000000001,0,0.09999999999999964,8.21,Equity-first,4
ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,8,8,8.5,8.4,8.1,8.2,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply,8.149000000000001,0.20000000000000107,0,8.133000000000001,Equity-first,5
ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,8.6,8.2,7.8,7.4,7.6,8,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity,7.8,0.7000000000000011,0.1999999999999993,7.732,Equity-first,6
ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,7.7,7.8,8.8,9.2,8.8,8.5,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability,7.603000000000001,0,0,7.603000000000001,Implementation-aware,1
ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,8.5,8.8,8,8,8.3,8.8,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns,7.551000000000001,0,0,7.551000000000001,Implementation-aware,2
ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,8.1,8.5,8.1,7.9,8.7,8.2,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise,7.4639999999999995,0,0,7.4639999999999995,Implementation-aware,3
ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,7.4,7.9,8.9,8.3,8.4,8.1,3,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change,7.387000000000001,0,0.09999999999999964,7.381000000000001,Implementation-aware,4
ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,8,8,8.5,8.4,8.1,8.2,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply,7.362,0.20000000000000107,0,7.346,Implementation-aware,5
ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,8.6,8.2,7.8,7.4,7.6,8,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity,7.128,0.7000000000000011,0.1999999999999993,7.0600000000000005,Implementation-aware,6
ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,8.5,8.8,8,8,8.3,8.8,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns,8.456000000000001,0,0,8.456000000000001,Institution-first,1
ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,7.7,7.8,8.8,9.2,8.8,8.5,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability,8.453,0,0,8.453,Institution-first,2
ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,8.1,8.5,8.1,7.9,8.7,8.2,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise,8.189,0,0,8.189,Institution-first,3
ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,8,8,8.5,8.4,8.1,8.2,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply,8.177,0.20000000000000107,0,8.161,Institution-first,4
ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,7.4,7.9,8.9,8.3,8.4,8.1,3,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change,8.132,0,0.09999999999999964,8.126,Institution-first,5
ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,8.6,8.2,7.8,7.4,7.6,8,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity,7.912,0.7000000000000011,0.1999999999999993,7.844,Institution-first,6
ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,8.5,8.8,8,8,8.3,8.8,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns,8.391,0,0,8.391,Recovery-first,1
ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,8.1,8.5,8.1,7.9,8.7,8.2,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise,8.196,0,0,8.196,Recovery-first,2
ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,7.7,7.8,8.8,9.2,8.8,8.5,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability,8.128,0,0,8.128,Recovery-first,3
ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,8,8,8.5,8.4,8.1,8.2,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply,8.023,0.20000000000000107,0,8.007,Recovery-first,4
ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,7.4,7.9,8.9,8.3,8.4,8.1,3,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change,7.9540000000000015,0,0.09999999999999964,7.948000000000001,Recovery-first,5
ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,8.6,8.2,7.8,7.4,7.6,8,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity,7.921999999999999,0.7000000000000011,0.1999999999999993,7.853999999999999,Recovery-first,6
ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,8.5,8.8,8,8,8.3,8.8,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns,8.316,0,0,8.316,Resistance-first,1
ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,7.7,7.8,8.8,9.2,8.8,8.5,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability,8.103,0,0,8.103,Resistance-first,2
ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,8.1,8.5,8.1,7.9,8.7,8.2,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise,8.096,0,0,8.096,Resistance-first,3
ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,8,8,8.5,8.4,8.1,8.2,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply,8.023,0.20000000000000107,0,8.007,Resistance-first,4
ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,8.6,8.2,7.8,7.4,7.6,8,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity,8.022,0.7000000000000011,0.1999999999999993,7.954000000000001,Resistance-first,5
ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,7.4,7.9,8.9,8.3,8.4,8.1,3,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change,7.8290000000000015,0,0.09999999999999964,7.823000000000001,Resistance-first,6
ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,7.7,7.8,8.8,9.2,8.8,8.5,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability,8.552999999999999,0,0,8.552999999999999,Transformation-first,1
ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,8.5,8.8,8,8,8.3,8.8,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns,8.152,0,0,8.152,Transformation-first,2
ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,8,8,8.5,8.4,8.1,8.2,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply,8.15,0.20000000000000107,0,8.134,Transformation-first,3
ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,7.4,7.9,8.9,8.3,8.4,8.1,3,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change,8.111,0,0.09999999999999964,8.105,Transformation-first,4
ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,8.1,8.5,8.1,7.9,8.7,8.2,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise,8.028,0,0,8.028,Transformation-first,5
ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,8.6,8.2,7.8,7.4,7.6,8,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity,7.674,0.7000000000000011,0.1999999999999993,7.606000000000001,Transformation-first,6
