simulation_id,strategy_id,strategy,rank,economic_resilience_value,winner
0,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.30748,Countercyclical Stabilization and Public Investment Framework
0,ER006,Community Finance and Small Business Continuity Fund,2,8.19346,Countercyclical Stabilization and Public Investment Framework
0,ER003,Workforce Retraining and Mobility Initiative,3,8.09459,Countercyclical Stabilization and Public Investment Framework
0,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.03336,Countercyclical Stabilization and Public Investment Framework
0,ER001,Industrial Diversification and Local Production Program,5,7.99408,Countercyclical Stabilization and Public Investment Framework
0,ER005,Climate Transition and Just Regional Development Plan,6,7.96057,Countercyclical Stabilization and Public Investment Framework
1,ER003,Workforce Retraining and Mobility Initiative,1,8.61708,Workforce Retraining and Mobility Initiative
1,ER005,Climate Transition and Just Regional Development Plan,2,8.53314,Workforce Retraining and Mobility Initiative
1,ER001,Industrial Diversification and Local Production Program,3,8.447,Workforce Retraining and Mobility Initiative
1,ER004,Countercyclical Stabilization and Public Investment Framework,4,8.20852,Workforce Retraining and Mobility Initiative
1,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.9393,Workforce Retraining and Mobility Initiative
1,ER006,Community Finance and Small Business Continuity Fund,6,7.9277,Workforce Retraining and Mobility Initiative
2,ER005,Climate Transition and Just Regional Development Plan,1,8.51549,Climate Transition and Just Regional Development Plan
2,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.50575,Climate Transition and Just Regional Development Plan
2,ER003,Workforce Retraining and Mobility Initiative,3,8.27833,Climate Transition and Just Regional Development Plan
2,ER001,Industrial Diversification and Local Production Program,4,8.27004,Climate Transition and Just Regional Development Plan
2,ER002,Supply Chain Buffer and Redundancy Strategy,5,8.12544,Climate Transition and Just Regional Development Plan
2,ER006,Community Finance and Small Business Continuity Fund,6,8.02811,Climate Transition and Just Regional Development Plan
3,ER005,Climate Transition and Just Regional Development Plan,1,8.61306,Climate Transition and Just Regional Development Plan
3,ER006,Community Finance and Small Business Continuity Fund,2,8.48488,Climate Transition and Just Regional Development Plan
3,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.4219,Climate Transition and Just Regional Development Plan
3,ER001,Industrial Diversification and Local Production Program,4,8.38609,Climate Transition and Just Regional Development Plan
3,ER003,Workforce Retraining and Mobility Initiative,5,8.19163,Climate Transition and Just Regional Development Plan
3,ER002,Supply Chain Buffer and Redundancy Strategy,6,8.09471,Climate Transition and Just Regional Development Plan
4,ER005,Climate Transition and Just Regional Development Plan,1,8.71576,Climate Transition and Just Regional Development Plan
4,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.428,Climate Transition and Just Regional Development Plan
4,ER003,Workforce Retraining and Mobility Initiative,3,8.11954,Climate Transition and Just Regional Development Plan
4,ER001,Industrial Diversification and Local Production Program,4,8.11658,Climate Transition and Just Regional Development Plan
4,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.89639,Climate Transition and Just Regional Development Plan
4,ER006,Community Finance and Small Business Continuity Fund,6,7.83704,Climate Transition and Just Regional Development Plan
5,ER001,Industrial Diversification and Local Production Program,1,8.46446,Industrial Diversification and Local Production Program
5,ER003,Workforce Retraining and Mobility Initiative,2,8.43036,Industrial Diversification and Local Production Program
5,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.27265,Industrial Diversification and Local Production Program
5,ER006,Community Finance and Small Business Continuity Fund,4,8.24235,Industrial Diversification and Local Production Program
5,ER005,Climate Transition and Just Regional Development Plan,5,7.89412,Industrial Diversification and Local Production Program
5,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.87081,Industrial Diversification and Local Production Program
6,ER001,Industrial Diversification and Local Production Program,1,8.62525,Industrial Diversification and Local Production Program
6,ER004,Countercyclical Stabilization and Public Investment Framework,2,8.34844,Industrial Diversification and Local Production Program
6,ER006,Community Finance and Small Business Continuity Fund,3,8.25996,Industrial Diversification and Local Production Program
6,ER002,Supply Chain Buffer and Redundancy Strategy,4,8.18321,Industrial Diversification and Local Production Program
6,ER005,Climate Transition and Just Regional Development Plan,5,8.00976,Industrial Diversification and Local Production Program
6,ER003,Workforce Retraining and Mobility Initiative,6,7.67107,Industrial Diversification and Local Production Program
7,ER004,Countercyclical Stabilization and Public Investment Framework,1,8.63428,Countercyclical Stabilization and Public Investment Framework
7,ER005,Climate Transition and Just Regional Development Plan,2,8.56822,Countercyclical Stabilization and Public Investment Framework
7,ER001,Industrial Diversification and Local Production Program,3,8.27133,Countercyclical Stabilization and Public Investment Framework
7,ER006,Community Finance and Small Business Continuity Fund,4,8.08412,Countercyclical Stabilization and Public Investment Framework
7,ER003,Workforce Retraining and Mobility Initiative,5,8.0466,Countercyclical Stabilization and Public Investment Framework
7,ER002,Supply Chain Buffer and Redundancy Strategy,6,7.71202,Countercyclical Stabilization and Public Investment Framework
8,ER005,Climate Transition and Just Regional Development Plan,1,8.7519,Climate Transition and Just Regional Development Plan
8,ER003,Workforce Retraining and Mobility Initiative,2,8.29103,Climate Transition and Just Regional Development Plan
8,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.27104,Climate Transition and Just Regional Development Plan
8,ER001,Industrial Diversification and Local Production Program,4,8.21825,Climate Transition and Just Regional Development Plan
8,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.96661,Climate Transition and Just Regional Development Plan
8,ER006,Community Finance and Small Business Continuity Fund,6,7.9614,Climate Transition and Just Regional Development Plan
9,ER005,Climate Transition and Just Regional Development Plan,1,8.35532,Climate Transition and Just Regional Development Plan
9,ER006,Community Finance and Small Business Continuity Fund,2,8.30521,Climate Transition and Just Regional Development Plan
9,ER002,Supply Chain Buffer and Redundancy Strategy,3,8.26422,Climate Transition and Just Regional Development Plan
9,ER003,Workforce Retraining and Mobility Initiative,4,8.22118,Climate Transition and Just Regional Development Plan
9,ER001,Industrial Diversification and Local Production Program,5,8.19927,Climate Transition and Just Regional Development Plan
9,ER004,Countercyclical Stabilization and Public Investment Framework,6,8.04643,Climate Transition and Just Regional Development Plan
10,ER005,Climate Transition and Just Regional Development Plan,1,8.32718,Climate Transition and Just Regional Development Plan
10,ER001,Industrial Diversification and Local Production Program,2,8.21607,Climate Transition and Just Regional Development Plan
10,ER003,Workforce Retraining and Mobility Initiative,3,8.17262,Climate Transition and Just Regional Development Plan
10,ER006,Community Finance and Small Business Continuity Fund,4,8.1699,Climate Transition and Just Regional Development Plan
10,ER002,Supply Chain Buffer and Redundancy Strategy,5,7.91679,Climate Transition and Just Regional Development Plan
10,ER004,Countercyclical Stabilization and Public Investment Framework,6,7.75546,Climate Transition and Just Regional Development Plan
11,ER005,Climate Transition and Just Regional Development Plan,1,8.53133,Climate Transition and Just Regional Development Plan
11,ER001,Industrial Diversification and Local Production Program,2,8.31371,Climate Transition and Just Regional Development Plan
11,ER004,Countercyclical Stabilization and Public Investment Framework,3,8.2051,Climate Transition and Just Regional Development Plan
11,ER006,Community Finance and Small Business Continuity Fund,4,8.03866,Climate Transition and Just Regional Development Plan
