system_id,system,system_context,time,event,stress_load,adaptive_response,economic_function,household_fragility,firm_fragility,equity_adjusted_function
ES001,Single-industry regional manufacturing economy,regional industrial concentration,0,background economic stress,0.14943,0.389,0.83376,0.70063,0.71839,0.86271
ES001,Single-industry regional manufacturing economy,regional industrial concentration,1,background economic stress,0.15048,0.38914,0.92722,0.70126,0.71679,0.95941
ES001,Single-industry regional manufacturing economy,regional industrial concentration,2,background economic stress,0.15155,0.38927,1.0,0.70189,0.7152,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,3,background economic stress,0.15164,0.38941,1.0,0.70251,0.71362,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,4,background economic stress,0.15195,0.38954,1.0,0.70314,0.71206,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,5,background economic stress,0.15143,0.38967,1.0,0.70376,0.7105,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,6,background economic stress,0.15263,0.3898,1.0,0.70438,0.70895,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,7,background economic stress,0.15219,0.38993,1.0,0.705,0.70742,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,8,background economic stress,0.15127,0.39006,1.0,0.70562,0.70589,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,9,background economic stress,0.15249,0.39019,1.0,0.70624,0.70438,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,10,background economic stress,0.15168,0.39031,1.0,0.70686,0.70288,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,11,background economic stress,0.15424,0.39044,1.0,0.70747,0.70138,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,12,Regional employer closure and supplier contraction,0.79714,0.39056,0.86239,0.73101,0.71452,0.73296
ES001,Single-industry regional manufacturing economy,regional industrial concentration,13,background economic stress,0.15521,0.38543,0.95352,0.73167,0.7131,0.98662
ES001,Single-industry regional manufacturing economy,regional industrial concentration,14,background economic stress,0.15387,0.38553,1.0,0.73234,0.71169,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,15,background economic stress,0.15405,0.38564,1.0,0.733,0.7103,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,16,background economic stress,0.1555,0.38574,1.0,0.73366,0.70891,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,17,background economic stress,0.15429,0.38584,1.0,0.73432,0.70754,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,18,background economic stress,0.15447,0.38594,1.0,0.73499,0.70617,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,19,background economic stress,0.15475,0.38604,1.0,0.73565,0.70482,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,20,background economic stress,0.15542,0.38613,1.0,0.7363,0.70348,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,21,background economic stress,0.1564,0.38623,1.0,0.73696,0.70215,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,22,background economic stress,0.15753,0.38632,1.0,0.73762,0.70083,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,23,background economic stress,0.15583,0.38642,1.0,0.73827,0.69952,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,24,background economic stress,0.15802,0.38651,1.0,0.73893,0.69823,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,25,background economic stress,0.15723,0.3866,1.0,0.73958,0.69694,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,26,background economic stress,0.15839,0.38669,1.0,0.74024,0.69566,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,27,Port disruption and critical input shortage,0.83508,0.38677,0.85684,0.75997,0.71148,0.75224
ES001,Single-industry regional manufacturing economy,regional industrial concentration,28,background economic stress,0.15909,0.3818,0.94593,0.76067,0.71027,0.97877
ES001,Single-industry regional manufacturing economy,regional industrial concentration,29,background economic stress,0.15763,0.38187,1.0,0.76137,0.70908,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,30,background economic stress,0.15916,0.38194,1.0,0.76207,0.7079,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,31,background economic stress,0.15805,0.382,1.0,0.76277,0.70674,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,32,background economic stress,0.158,0.38207,1.0,0.76347,0.70558,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,33,background economic stress,0.15927,0.38213,1.0,0.76417,0.70443,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,34,background economic stress,0.16051,0.3822,1.0,0.76487,0.7033,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,35,background economic stress,0.16022,0.38226,1.0,0.76557,0.70218,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,36,background economic stress,0.15951,0.38232,1.0,0.76626,0.70107,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,37,background economic stress,0.16145,0.38237,1.0,0.76696,0.69997,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,38,background economic stress,0.1619,0.38243,1.0,0.76765,0.69888,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,39,background economic stress,0.1604,0.38249,1.0,0.76835,0.6978,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,40,background economic stress,0.1612,0.38254,1.0,0.76904,0.69674,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,41,background economic stress,0.16195,0.38259,1.0,0.76974,0.69568,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,42,Credit tightening and small-business liquidity stress,0.79623,0.38264,0.85741,0.79087,0.71106,0.73353
ES001,Single-industry regional manufacturing economy,regional industrial concentration,43,background economic stress,0.16357,0.37753,0.94413,0.79162,0.71008,0.97691
ES001,Single-industry regional manufacturing economy,regional industrial concentration,44,background economic stress,0.16181,0.37756,1.0,0.79236,0.70911,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,45,background economic stress,0.16318,0.37759,1.0,0.79311,0.70815,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,46,background economic stress,0.16452,0.37762,1.0,0.79385,0.70721,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,47,background economic stress,0.16384,0.37765,1.0,0.79459,0.70628,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,48,background economic stress,0.16439,0.37768,1.0,0.79534,0.70536,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,49,background economic stress,0.16479,0.3777,1.0,0.79608,0.70445,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,50,background economic stress,0.16436,0.37773,1.0,0.79682,0.70355,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,51,background economic stress,0.16405,0.37775,1.0,0.79756,0.70266,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,52,background economic stress,0.16509,0.37777,1.0,0.79831,0.70179,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,53,background economic stress,0.16519,0.37779,1.0,0.79905,0.70093,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,54,background economic stress,0.16497,0.3778,1.0,0.79979,0.70008,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,55,background economic stress,0.16656,0.37782,1.0,0.80053,0.69924,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,56,Climate disaster damaging infrastructure firms and housing,0.91704,0.37783,0.79812,0.82291,0.7149,0.6694
ES001,Single-industry regional manufacturing economy,regional industrial concentration,57,background economic stress,0.16623,0.37251,0.88287,0.82371,0.71414,0.91353
ES001,Single-industry regional manufacturing economy,regional industrial concentration,58,background economic stress,0.16681,0.3725,0.96745,0.8245,0.71339,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,59,background economic stress,0.16779,0.37249,1.0,0.8253,0.71265,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,60,background economic stress,0.16819,0.37249,1.0,0.82609,0.71193,1.0
ES001,Single-industry regional manufacturing economy,regional industrial concentration,61,background economic stress,0.16865,0.37248,1.0,0.82689,0.71122,1.0
