 time,ecology,social_pressure,extraction,resilience_margin,threshold_flag
1, 0.7212, 0.5577, 0.0413, 0.7180,viable margin
2, 0.6945, 0.5665, 0.0402, 0.6825,viable margin
3, 0.6696, 0.5764, 0.0393, 0.6476,viable margin
4, 0.6461, 0.5874, 0.0386, 0.6133,viable margin
5, 0.6239, 0.5992, 0.0379, 0.5792,viable margin
6, 0.6027, 0.6120, 0.0374, 0.5452,viable margin
7, 0.5824, 0.6257, 0.0369, 0.5113,viable margin
8, 0.5629, 0.6402, 0.0364, 0.4772,viable margin
9, 0.5440, 0.6555, 0.0360, 0.4430,viable margin
10, 0.5256, 0.6716, 0.0357, 0.4085,viable margin
11, 0.5077, 0.6884, 0.0353, 0.3738,viable margin
12, 0.4902, 0.7061, 0.0350, 0.3386,viable margin
13, 0.4730, 0.7244, 0.0346, 0.3031,viable margin
14, 0.4561, 0.7435, 0.0343, 0.2671,viable margin
15, 0.4395, 0.7633, 0.0339, 0.2307,viable margin
16, 0.4231, 0.7838, 0.0335, 0.1938,threshold risk
17, 0.4069, 0.8050, 0.0332, 0.1564,threshold risk
18, 0.3909, 0.8269, 0.0328, 0.1185,threshold risk
19, 0.3751, 0.8495, 0.0323, 0.0801,threshold risk
20, 0.3594, 0.8860, 0.0319, 0.0279,threshold risk
21, 0.3434, 0.9100, 0.0318,-0.0121,threshold risk
22, 0.3276, 0.9346, 0.0312,-0.0524,threshold risk
23, 0.3121, 0.9599, 0.0306,-0.0933,threshold risk
24, 0.2967, 0.9858, 0.0300,-0.1346,threshold risk
25, 0.2816, 1.0124, 0.0293,-0.1763,threshold risk
26, 0.2667, 1.0396, 0.0285,-0.2184,threshold risk
27, 0.2521, 1.0675, 0.0277,-0.2609,threshold risk
28, 0.2377, 1.0960, 0.0269,-0.3038,threshold risk
29, 0.2236, 1.1250, 0.0261,-0.3470,threshold risk
30, 0.2098, 1.1547, 0.0252,-0.3905,threshold risk
31, 0.1962, 1.1850, 0.0242,-0.4342,threshold risk
32, 0.1830, 1.2000, 0.0233,-0.4625,threshold risk
33, 0.1705, 1.2000, 0.0220,-0.4750,threshold risk
34, 0.1588, 1.2000, 0.0205,-0.4867,threshold risk
35, 0.1478, 1.2000, 0.0191,-0.4977,threshold risk
36, 0.1376, 1.2000, 0.0177,-0.5079,threshold risk
37, 0.1280, 1.2000, 0.0165,-0.5175,threshold risk
38, 0.1191, 1.2000, 0.0154,-0.5264,threshold risk
39, 0.1106, 1.2000, 0.0143,-0.5349,threshold risk
40, 0.1026, 1.2000, 0.0133,-0.5429,threshold risk
41, 0.0951, 1.2000, 0.0123,-0.5504,threshold risk
42, 0.0880, 1.2000, 0.0114,-0.5575,threshold risk
43, 0.0813, 1.2000, 0.0106,-0.5642,threshold risk
44, 0.0750, 1.2000, 0.0098,-0.5705,threshold risk
45, 0.0690, 1.2000, 0.0090,-0.5765,threshold risk
46, 0.0633, 1.2000, 0.0083,-0.5822,threshold risk
47, 0.0579, 1.2000, 0.0076,-0.5876,threshold risk
48, 0.0527, 1.2000, 0.0069,-0.5928,threshold risk
49, 0.0478, 1.2000, 0.0063,-0.5977,threshold risk
50, 0.0432, 1.2000, 0.0057,-0.6023,threshold risk
51, 0.0387, 1.2000, 0.0052,-0.6068,threshold risk
52, 0.0345, 1.2000, 0.0046,-0.6110,threshold risk
53, 0.0305, 1.2000, 0.0041,-0.6150,threshold risk
54, 0.0266, 1.2000, 0.0037,-0.6189,threshold risk
55, 0.0229, 1.2000, 0.0032,-0.6226,threshold risk
56, 0.0194, 1.2000, 0.0028,-0.6261,threshold risk
57, 0.0161, 1.2000, 0.0023,-0.6294,threshold risk
58, 0.0128, 1.2000, 0.0019,-0.6327,threshold risk
59, 0.0100, 1.2000, 0.0015,-0.6355,threshold risk
60, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
61, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
62, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
63, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
64, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
65, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
66, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
67, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
68, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
69, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
70, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
71, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
72, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
73, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
74, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
75, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
76, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
77, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
78, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
79, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
80, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
81, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
82, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
83, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
84, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
85, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
86, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
87, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
88, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
89, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
90, 0.0100, 1.2000, 0.0012,-0.6355,threshold risk
