 time,health_system_function,stress_load,response_capacity,dependency_coupling
1, 1.00000, 0.16080, 0.41080, 0.71870
2, 1.00000, 0.16110, 0.41093, 0.71740
3, 1.00000, 0.16139, 0.41106, 0.71611
4, 1.00000, 0.16169, 0.41119, 0.71482
5, 1.00000, 0.16199, 0.41132, 0.71353
6, 1.00000, 0.16228, 0.41145, 0.71225
7, 1.00000, 0.16258, 0.41157, 0.71097
8, 1.00000, 0.16288, 0.41170, 0.70970
9, 1.00000, 0.16318, 0.41183, 0.70844
10, 1.00000, 0.16347, 0.41196, 0.70718
11, 1.00000, 0.16377, 0.41208, 0.70592
12, 1.00000, 0.83647, 0.41221, 0.71811
13, 1.00000, 0.16545, 0.41099, 0.71690
14, 1.00000, 0.16575, 0.41111, 0.71569
15, 1.00000, 0.16606, 0.41123, 0.71449
16, 1.00000, 0.16636, 0.41135, 0.71329
17, 1.00000, 0.16666, 0.41147, 0.71210
18, 1.00000, 0.16697, 0.41159, 0.71091
19, 1.00000, 0.16727, 0.41171, 0.70973
20, 1.00000, 0.16758, 0.41183, 0.70855
21, 1.00000, 0.16788, 0.41194, 0.70738
22, 1.00000, 0.16819, 0.41206, 0.70621
23, 1.00000, 0.16850, 0.41218, 0.70504
24, 1.00000, 0.16880, 0.41230, 0.70389
25, 1.00000, 0.16911, 0.41241, 0.70273
26, 1.00000, 0.16942, 0.41253, 0.70158
27, 1.00000, 0.16973, 0.41264, 0.70044
28, 1.00000, 0.17003, 0.41276, 0.69930
29, 1.00000, 0.17034, 0.41287, 0.69816
30, 1.00000, 0.17065, 0.41298, 0.69703
31, 1.00000, 0.17096, 0.41310, 0.69591
32, 1.00000, 0.17127, 0.41321, 0.69479
33, 1.00000, 0.17158, 0.41332, 0.69367
34, 1.00000, 0.17189, 0.41343, 0.69256
35, 1.00000, 0.17221, 0.41354, 0.69146
36, 1.00000, 0.17252, 0.41365, 0.69036
37, 1.00000, 0.17283, 0.41376, 0.68926
38, 1.00000, 0.17314, 0.41387, 0.68817
39, 1.00000, 0.17345, 0.41398, 0.68709
40, 1.00000, 0.17377, 0.41409, 0.68601
41, 1.00000, 0.17408, 0.41420, 0.68493
42, 1.00000, 0.17439, 0.41431, 0.68387
43, 1.00000, 0.17471, 0.41441, 0.68280
44, 1.00000, 0.17502, 0.41452, 0.68174
45, 1.00000, 0.17534, 0.41463, 0.68069
46, 1.00000, 0.17566, 0.41473, 0.67964
47, 1.00000, 0.17597, 0.41484, 0.67860
48, 1.00000, 0.17629, 0.41494, 0.67756
49, 1.00000, 0.17660, 0.41504, 0.67652
50, 1.00000, 0.17692, 0.41515, 0.67549
51, 1.00000, 0.17724, 0.41525, 0.67447
52, 1.00000, 0.17756, 0.41535, 0.67345
53, 1.00000, 0.17788, 0.41545, 0.67244
54, 1.00000, 0.17820, 0.41556, 0.67143
55, 1.00000, 0.17851, 0.41566, 0.67043
56, 1.00000, 0.17883, 0.41576, 0.66944
57, 1.00000, 0.17915, 0.41586, 0.66844
58, 1.00000, 0.17948, 0.41596, 0.66746
59, 1.00000, 0.17980, 0.41605, 0.66648
60, 1.00000, 0.18012, 0.41615, 0.66550
61, 1.00000, 0.18044, 0.41625, 0.66453
62, 1.00000, 0.18076, 0.41635, 0.66357
63, 1.00000, 0.18109, 0.41644, 0.66261
64, 1.00000, 0.18141, 0.41654, 0.66166
65, 1.00000, 0.18173, 0.41663, 0.66071
66, 1.00000, 0.18206, 0.41673, 0.65976
67, 1.00000, 0.18238, 0.41682, 0.65883
68, 1.00000, 0.18271, 0.41692, 0.65789
69, 1.00000, 0.18303, 0.41701, 0.65697
70, 1.00000, 0.18336, 0.41710, 0.65605
71, 1.00000, 0.18368, 0.41720, 0.65513
72, 1.00000, 0.18401, 0.41729, 0.65422
73, 1.00000, 0.18434, 0.41738, 0.65332
74, 1.00000, 0.18467, 0.41747, 0.65242
75, 1.00000, 0.18499, 0.41756, 0.65153
76, 1.00000, 0.18532, 0.41765, 0.65064
77, 1.00000, 0.18565, 0.41774, 0.64976
78, 1.00000, 0.18598, 0.41782, 0.64888
79, 1.00000, 0.18631, 0.41791, 0.64801
80, 1.00000, 0.18664, 0.41800, 0.64714
