system_id,system,system_domain,time,event,stress_load,response_capacity,health_system_function,dependency_coupling,equity_adjusted_function
SYS001,Local Public Health Department Network,public health operations,0,background public health stress,0.15971,0.4108,1.0,0.71868,1.0
SYS001,Local Public Health Department Network,public health operations,1,background public health stress,0.16401,0.41093,1.0,0.71744,1.0
SYS001,Local Public Health Department Network,public health operations,2,background public health stress,0.16252,0.41106,1.0,0.71616,1.0
SYS001,Local Public Health Department Network,public health operations,3,background public health stress,0.16369,0.41118,1.0,0.71492,1.0
SYS001,Local Public Health Department Network,public health operations,4,background public health stress,0.16065,0.41131,1.0,0.7136,1.0
SYS001,Local Public Health Department Network,public health operations,5,background public health stress,0.16368,0.41144,1.0,0.71235,1.0
SYS001,Local Public Health Department Network,public health operations,6,background public health stress,0.16399,0.41156,1.0,0.7111,1.0
SYS001,Local Public Health Department Network,public health operations,7,background public health stress,0.16433,0.41169,1.0,0.70986,1.0
SYS001,Local Public Health Department Network,public health operations,8,background public health stress,0.16068,0.41181,1.0,0.70855,1.0
SYS001,Local Public Health Department Network,public health operations,9,background public health stress,0.16192,0.41195,1.0,0.70725,1.0
SYS001,Local Public Health Department Network,public health operations,10,background public health stress,0.16767,0.41207,1.0,0.70607,1.0
SYS001,Local Public Health Department Network,public health operations,11,background public health stress,0.16627,0.41219,1.0,0.70486,1.0
SYS001,Local Public Health Department Network,public health operations,12,Respiratory outbreak with misinformation surge,0.83639,0.41231,1.0,0.71706,0.86112
SYS001,Local Public Health Department Network,public health operations,13,background public health stress,0.16899,0.41109,1.0,0.71591,1.0
SYS001,Local Public Health Department Network,public health operations,14,background public health stress,0.16591,0.41121,1.0,0.71471,1.0
SYS001,Local Public Health Department Network,public health operations,15,background public health stress,0.16532,0.41133,1.0,0.71349,1.0
SYS001,Local Public Health Department Network,public health operations,16,background public health stress,0.16467,0.41145,1.0,0.71226,1.0
SYS001,Local Public Health Department Network,public health operations,17,background public health stress,0.16907,0.41157,1.0,0.71111,1.0
SYS001,Local Public Health Department Network,public health operations,18,background public health stress,0.16871,0.41169,1.0,0.70996,1.0
SYS001,Local Public Health Department Network,public health operations,19,background public health stress,0.16828,0.4118,1.0,0.70879,1.0
SYS001,Local Public Health Department Network,public health operations,20,background public health stress,0.16912,0.41192,1.0,0.70765,1.0
SYS001,Local Public Health Department Network,public health operations,21,background public health stress,0.16818,0.41204,1.0,0.70648,1.0
SYS001,Local Public Health Department Network,public health operations,22,background public health stress,0.17215,0.41215,1.0,0.70539,1.0
SYS001,Local Public Health Department Network,public health operations,23,background public health stress,0.17117,0.41226,1.0,0.70427,1.0
SYS001,Local Public Health Department Network,public health operations,24,background public health stress,0.17088,0.41237,1.0,0.70316,1.0
SYS001,Local Public Health Department Network,public health operations,25,background public health stress,0.16975,0.41248,1.0,0.70201,1.0
SYS001,Local Public Health Department Network,public health operations,26,background public health stress,0.16953,0.4126,1.0,0.70087,1.0
SYS001,Local Public Health Department Network,public health operations,27,Extreme heatwave with grid and cooling stress,0.77927,0.41271,1.0,0.71191,0.84992
SYS001,Local Public Health Department Network,public health operations,28,background public health stress,0.17255,0.41161,1.0,0.71083,1.0
SYS001,Local Public Health Department Network,public health operations,29,background public health stress,0.17377,0.41172,1.0,0.70978,1.0
SYS001,Local Public Health Department Network,public health operations,30,background public health stress,0.17618,0.41182,1.0,0.70877,1.0
SYS001,Local Public Health Department Network,public health operations,31,background public health stress,0.17202,0.41192,1.0,0.70768,1.0
SYS001,Local Public Health Department Network,public health operations,32,background public health stress,0.17706,0.41203,1.0,0.70669,1.0
SYS001,Local Public Health Department Network,public health operations,33,background public health stress,0.176,0.41213,1.0,0.70568,1.0
SYS001,Local Public Health Department Network,public health operations,34,background public health stress,0.17387,0.41223,1.0,0.70462,1.0
SYS001,Local Public Health Department Network,public health operations,35,background public health stress,0.17238,0.41234,1.0,0.70353,1.0
SYS001,Local Public Health Department Network,public health operations,36,background public health stress,0.17735,0.41245,1.0,0.70254,1.0
SYS001,Local Public Health Department Network,public health operations,37,background public health stress,0.17499,0.41255,1.0,0.70151,1.0
SYS001,Local Public Health Department Network,public health operations,38,background public health stress,0.17367,0.41265,1.0,0.70044,1.0
SYS001,Local Public Health Department Network,public health operations,39,background public health stress,0.17421,0.41276,1.0,0.69938,1.0
