scenario,strategy_id,strategy,system_domain,rank,resilience_value,implementation_burden,critical_function
Balanced,PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,1,8.212,3.0,aligns emergency powers resource distribution accessible communication community authority and recovery with equity
Balanced,PH004,Community Health Trust and Outreach Network,community trust and outreach,2,8.157,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity
Balanced,PH002,Essential Health Service Continuity Program,service continuity and care access,3,7.835,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services
Balanced,PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,4,7.808,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity
Balanced,PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,5,7.801,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence
Balanced,PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,6,7.79,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress
Prevention-first,PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,1,8.213,3.0,aligns emergency powers resource distribution accessible communication community authority and recovery with equity
Prevention-first,PH004,Community Health Trust and Outreach Network,community trust and outreach,2,8.2,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity
Prevention-first,PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,3,7.879,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress
Prevention-first,PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,4,7.868,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence
Prevention-first,PH002,Essential Health Service Continuity Program,service continuity and care access,5,7.821,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services
Prevention-first,PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,6,7.736,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity
Detection-first,PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,1,8.203,3.0,aligns emergency powers resource distribution accessible communication community authority and recovery with equity
Detection-first,PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,2,8.176,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence
Detection-first,PH004,Community Health Trust and Outreach Network,community trust and outreach,3,8.137,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity
Detection-first,PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,4,7.852,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress
Detection-first,PH002,Essential Health Service Continuity Program,service continuity and care access,5,7.778,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services
Detection-first,PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,6,7.775,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity
Continuity-first,PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,1,8.255,3.0,aligns emergency powers resource distribution accessible communication community authority and recovery with equity
Continuity-first,PH002,Essential Health Service Continuity Program,service continuity and care access,2,8.194,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services
Continuity-first,PH004,Community Health Trust and Outreach Network,community trust and outreach,3,8.189,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity
Continuity-first,PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,4,8.086,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress
Continuity-first,PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,5,7.905,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity
Continuity-first,PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,6,7.89,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence
Workforce-first,PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,1,8.281,3.0,aligns emergency powers resource distribution accessible communication community authority and recovery with equity
Workforce-first,PH004,Community Health Trust and Outreach Network,community trust and outreach,2,8.215,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity
Workforce-first,PH003,Public Health Workforce Resilience Initiative,workforce and surge capacity,3,8.165,3.4,protects staffing surge cross-training worker safety mental health retention and leadership capacity
Workforce-first,PH002,Essential Health Service Continuity Program,service continuity and care access,4,7.96,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services
Workforce-first,PH005,Climate-Resilient Health Facilities Program,climate health infrastructure,5,7.878,3.6,protects hospitals clinics laboratories shelters cooling water power ventilation and facility operations under climate stress
Workforce-first,PH001,Integrated Surveillance and Laboratory Modernization,surveillance and laboratories,6,7.864,3.5,improves early warning laboratory turnaround data integration variant tracking and public health intelligence
Trust-first,PH004,Community Health Trust and Outreach Network,community trust and outreach,1,8.423,2.8,builds trusted outreach language access local knowledge health navigation and community partnership capacity
Trust-first,PH006,Equity-Centered Emergency Preparedness Framework,equity and governance,2,8.385,3.0,aligns emergency powers resource distribution accessible communication community authority and recovery with equity
Trust-first,PH002,Essential Health Service Continuity Program,service continuity and care access,3,7.908,3.2,maintains emergency care primary care maternal care medication access mental health and chronic disease services
