criterion,definition,measurement_note
monitoring_value,Sensing telemetry monitoring and early-warning capacity for asset condition hazards anomalies and service performance,Use sensor coverage data latency calibration missingness false alarm missed event and field verification indicators
predictive_maintenance,Capacity to convert condition data inspection records and analytics into timely repair renewal and backlog reduction,Use work-order completion asset condition maintenance backlog repair time inspection completion and spare-parts indicators
cyber_physical_security,Ability to protect operational technology control systems sensors communications and infrastructure operations from digital compromise,Use segmentation MFA access review incident response recovery drills OT asset inventory vendor access controls and backup tests
digital_twin_capacity,Capacity to model assets scenarios compound hazards failure modes cascading dependencies and adaptation pathways,Use model validation data lineage scenario coverage sensitivity tests and after-action comparison indicators
redundancy_and_fallback,Backup capacity alternate routes manual procedures islanding safe defaults and graceful degradation for critical services,Use critical-function fallback tests backup duration route diversity manual operations and service-priority indicators
climate_adaptation,Ability to anticipate and adapt to heat flood fire drought sea-level rise storm smoke and compound climate stress,Use climate exposure assessment adaptation investment nature-based buffers load forecasts and critical-service continuity indicators
governance_quality,Public accountability procurement oversight vendor governance data rights auditability incident review and corrective action,Use data-rights terms vendor portability public reporting audit records procurement standards and corrective-action completion
equity_performance,Protection of vulnerable communities accessibility environmental justice repair equity affordability and anti-displacement,Use disaggregated service reliability repair speed warning access affordability exposure and participation indicators
ecological_integration,Integration of watersheds wetlands green infrastructure biodiversity emissions land use and ecological buffers into infrastructure resilience,Use watershed health canopy coverage floodplain restoration emissions ecosystem service and habitat indicators
fragility_risk,Hidden fragility from lock-in deferred maintenance weak fallback cyber exposure data problems or brittle optimization,Higher values should trigger dependency review stress testing and public accountability
implementation_burden,Administrative financial technical procurement staffing legal and trust burden required to implement a strategy,Higher values should trigger sequencing feasibility funding and public-capacity review
