simulation_id,strategy_id,strategy,rank,containment_value,winner
0,CS001,Microgrid and Critical Service Islanding,1,7.14046,Microgrid and Critical Service Islanding
0,CS006,Neighborhood Resilience Hub Network,2,7.06761,Microgrid and Critical Service Islanding
0,CS005,Digital Service Isolation and Offline Fallbacks,3,6.94608,Microgrid and Critical Service Islanding
0,CS002,Regional Supply Network Diversification,4,6.89435,Microgrid and Critical Service Islanding
0,CS004,Cross-Agency Emergency Coordination Cells,5,6.88691,Microgrid and Critical Service Islanding
0,CS003,Wetland and Floodplain Buffer Network,6,6.84169,Microgrid and Critical Service Islanding
1,CS001,Microgrid and Critical Service Islanding,1,7.52742,Microgrid and Critical Service Islanding
1,CS005,Digital Service Isolation and Offline Fallbacks,2,7.42649,Microgrid and Critical Service Islanding
1,CS003,Wetland and Floodplain Buffer Network,3,7.42278,Microgrid and Critical Service Islanding
1,CS002,Regional Supply Network Diversification,4,6.87412,Microgrid and Critical Service Islanding
1,CS006,Neighborhood Resilience Hub Network,5,6.85265,Microgrid and Critical Service Islanding
1,CS004,Cross-Agency Emergency Coordination Cells,6,6.80864,Microgrid and Critical Service Islanding
2,CS005,Digital Service Isolation and Offline Fallbacks,1,7.34084,Digital Service Isolation and Offline Fallbacks
2,CS001,Microgrid and Critical Service Islanding,2,7.29514,Digital Service Isolation and Offline Fallbacks
2,CS003,Wetland and Floodplain Buffer Network,3,7.12003,Digital Service Isolation and Offline Fallbacks
2,CS004,Cross-Agency Emergency Coordination Cells,4,7.1031,Digital Service Isolation and Offline Fallbacks
2,CS002,Regional Supply Network Diversification,5,7.00633,Digital Service Isolation and Offline Fallbacks
2,CS006,Neighborhood Resilience Hub Network,6,6.83599,Digital Service Isolation and Offline Fallbacks
3,CS005,Digital Service Isolation and Offline Fallbacks,1,7.43643,Digital Service Isolation and Offline Fallbacks
3,CS001,Microgrid and Critical Service Islanding,2,7.40065,Digital Service Isolation and Offline Fallbacks
3,CS006,Neighborhood Resilience Hub Network,3,7.24698,Digital Service Isolation and Offline Fallbacks
3,CS004,Cross-Agency Emergency Coordination Cells,4,7.06714,Digital Service Isolation and Offline Fallbacks
3,CS003,Wetland and Floodplain Buffer Network,5,7.00895,Digital Service Isolation and Offline Fallbacks
3,CS002,Regional Supply Network Diversification,6,6.99996,Digital Service Isolation and Offline Fallbacks
