service_id,service,scenario_id,scenario_name,time_step,disturbance,ecosystem_condition,functional_capacity,service_flow,resilience_margin,threshold_flag
ES001,Pollination,SD001,Moderate recurring disturbance,1,0.39449,0.5773,0.51061,0.2564,1.70542,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,2,0.39695,0.5745,0.50114,0.25019,1.69069,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,3,0.39933,0.57158,0.4916,0.24396,1.67586,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,4,0.40159,0.56855,0.482,0.23772,1.66096,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,5,0.4037,0.56543,0.47232,0.23149,1.64605,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,6,0.40563,0.56222,0.46259,0.22526,1.63118,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,7,0.40735,0.55893,0.4528,0.21906,1.61638,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,8,0.62883,0.54541,0.43619,0.18854,1.36477,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,9,0.41005,0.542,0.42632,0.1998,1.57028,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,10,0.41098,0.53854,0.41643,0.19385,1.55599,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,11,0.41162,0.53505,0.40651,0.18796,1.54194,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,12,0.41195,0.53155,0.39658,0.18215,1.52818,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,13,0.41197,0.52805,0.38665,0.17641,1.51473,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,14,0.41168,0.52456,0.37673,0.17077,1.50161,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,15,0.41108,0.5211,0.36683,0.16522,1.48884,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,16,0.63019,0.50751,0.35018,0.14076,1.23951,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,17,0.40901,0.50414,0.34034,0.14842,1.44748,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,18,0.40756,0.50085,0.33055,0.14329,1.43583,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,19,0.40587,0.49762,0.32081,0.13826,1.42456,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,20,0.40397,0.49449,0.31113,0.13334,1.41365,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,21,0.40188,0.49145,0.30151,0.12853,1.40308,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,22,0.39963,0.48852,0.29196,0.12382,1.39285,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,23,0.39727,0.4857,0.28248,0.11922,1.38291,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,24,0.61482,0.47282,0.26631,0.10037,1.13631,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,25,0.39233,0.47023,0.25698,0.1052,1.34688,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,26,0.38984,0.46775,0.24774,0.10097,1.33765,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,27,0.38737,0.46538,0.23857,0.09683,1.32857,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,28,0.38498,0.46312,0.22947,0.09277,1.31961,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,29,0.3827,0.46097,0.22044,0.08878,1.31071,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,30,0.38057,0.45892,0.21148,0.08486,1.30183,viable margin
ES001,Pollination,SD001,Moderate recurring disturbance,31,0.37861,0.45696,0.20258,0.081,1.29293,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,32,0.59686,0.44491,0.18696,0.0668,1.047,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,33,0.37535,0.4431,0.17815,0.06916,1.2579,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,34,0.3741,0.44135,0.16939,0.06553,1.24864,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,35,0.37313,0.43964,0.16066,0.06194,1.23917,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,36,0.37245,0.43796,0.15195,0.05837,1.22946,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,37,0.37208,0.4363,0.14325,0.05483,1.21947,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,38,0.37201,0.43465,0.13455,0.0513,1.20918,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,39,0.37226,0.43298,0.12584,0.04779,1.19856,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,40,0.59282,0.42112,0.11035,0.03738,0.95064,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,41,0.37368,0.41938,0.1016,0.03735,1.1593,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,42,0.37482,0.4176,0.09281,0.03396,1.14759,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,43,0.37623,0.41575,0.08398,0.03058,1.1355,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,44,0.37789,0.41382,0.07511,0.0272,1.12303,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,45,0.37977,0.4118,0.06617,0.02383,1.1102,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,46,0.38183,0.40969,0.05717,0.02047,1.09703,threshold risk
ES001,Pollination,SD001,Moderate recurring disturbance,47,0.38406,0.40748,0.0481,0.01712,1.08352,threshold risk
