 time,disturbance,ecosystem_condition,functional_capacity,service_flow,resilience_margin,threshold_flag
1, 0.1685, 0.6254, 0.5772, 0.3397, 2.0661,viable margin
2, 0.1709, 0.6307, 0.5744, 0.3405, 2.0661,viable margin
3, 0.1733, 0.6358, 0.5714, 0.3413, 2.0659,viable margin
4, 0.1756, 0.6408, 0.5684, 0.3419, 2.0656,viable margin
5, 0.1777, 0.6458, 0.5653, 0.3423, 2.0653,viable margin
6, 0.1796, 0.6506, 0.5621, 0.3427, 2.0651,viable margin
7, 0.1814, 0.6553, 0.5589, 0.3430, 2.0649,viable margin
8, 0.1828, 0.6600, 0.5557, 0.3433, 2.0648,viable margin
9, 0.1840, 0.6646, 0.5524, 0.3434, 2.0649,viable margin
10, 0.1850, 0.6691, 0.5490, 0.3436, 2.0652,viable margin
11, 0.1856, 0.6737, 0.5457, 0.3437, 2.0657,viable margin
12, 0.1859, 0.6782, 0.5423, 0.3438, 2.0665,viable margin
13, 0.1860, 0.6827, 0.5389, 0.3440, 2.0676,viable margin
14, 0.1857, 0.6872, 0.5356, 0.3441, 2.0691,viable margin
15, 0.1851, 0.6918, 0.5322, 0.3443, 2.0709,viable margin
16, 0.1842, 0.6964, 0.5289, 0.3446, 2.0731,viable margin
17, 0.1830, 0.7010, 0.5257, 0.3449, 2.0757,viable margin
18, 0.1816, 0.7057, 0.5224, 0.3453, 2.0786,viable margin
19, 0.1799, 0.7106, 0.5193, 0.3457, 2.0820,viable margin
20, 0.1780, 0.7155, 0.5162, 0.3463, 2.0857,viable margin
21, 0.1759, 0.7205, 0.5131, 0.3470, 2.0897,viable margin
22, 0.4236, 0.7130, 0.5018, 0.3047, 1.8232,viable margin
23, 0.1713, 0.7183, 0.4989, 0.3369, 2.0779,viable margin
24, 0.1688, 0.7236, 0.4961, 0.3378, 2.0829,viable margin
25, 0.1663, 0.7291, 0.4934, 0.3388, 2.0882,viable margin
26, 0.1638, 0.7347, 0.4908, 0.3399, 2.0937,viable margin
27, 0.1614, 0.7405, 0.4882, 0.3411, 2.0994,viable margin
28, 0.1590, 0.7464, 0.4858, 0.3424, 2.1052,viable margin
29, 0.1567, 0.7523, 0.4834, 0.3437, 2.1110,viable margin
30, 0.1546, 0.7584, 0.4811, 0.3451, 2.1170,viable margin
31, 0.1526, 0.7646, 0.4788, 0.3466, 2.1229,viable margin
32, 0.1509, 0.7709, 0.4767, 0.3480, 2.1287,viable margin
33, 0.1494, 0.7773, 0.4745, 0.3495, 2.1344,viable margin
