time,disturbance,ecosystem_condition,functional_capacity,service_flow,resilience_margin,threshold_flag
1,0.168493,0.625388,0.577219,0.339697,2.06611,viable margin
2,0.170948,0.630652,0.574355,0.340546,2.06606,viable margin
3,0.173325,0.635797,0.571411,0.341262,2.06588,viable margin
4,0.175589,0.640827,0.568391,0.341856,2.06563,viable margin
5,0.177702,0.645751,0.5653,0.342339,2.06535,viable margin
6,0.179633,0.650577,0.562145,0.342725,2.06509,viable margin
7,0.181351,0.655317,0.558931,0.343029,2.0649,viable margin
8,0.182829,0.659983,0.555668,0.343264,2.06482,viable margin
9,0.184045,0.664587,0.552364,0.343447,2.06491,viable margin
10,0.18498,0.669144,0.549029,0.343594,2.06519,viable margin
11,0.185618,0.673669,0.545672,0.343721,2.06572,viable margin
12,0.18595,0.678177,0.542304,0.343842,2.06653,viable margin
13,0.185971,0.682684,0.538936,0.343975,2.06765,viable margin
14,0.18568,0.687205,0.535577,0.344133,2.0691,viable margin
15,0.185082,0.691757,0.532238,0.34433,2.07091,viable margin
16,0.184186,0.696354,0.52893,0.344578,2.0731,viable margin
17,0.183006,0.701011,0.525661,0.344891,2.07567,viable margin
18,0.181561,0.70574,0.52244,0.345277,2.07862,viable margin
19,0.179874,0.710555,0.519276,0.345745,2.08196,viable margin
20,0.177969,0.715465,0.516177,0.346302,2.08567,viable margin
21,0.175878,0.720481,0.513147,0.346954,2.08975,viable margin
22,0.423633,0.713009,0.501793,0.304734,1.82317,viable margin
23,0.171269,0.718258,0.498918,0.336871,2.07791,viable margin
24,0.168822,0.723629,0.496126,0.337798,2.08293,viable margin
25,0.166332,0.729126,0.493417,0.338819,2.08821,viable margin
26,0.163836,0.734748,0.490792,0.339931,2.0937,viable margin
27,0.161374,0.740495,0.48825,0.341126,2.09937,viable margin
28,0.158984,0.746362,0.485788,0.342399,2.10517,viable margin
29,0.156704,0.752344,0.483403,0.343739,2.11104,viable margin
30,0.154569,0.758434,0.481089,0.345135,2.11695,viable margin
31,0.152612,0.764623,0.478842,0.346576,2.12285,viable margin
32,0.150864,0.770899,0.476653,0.348049,2.12869,viable margin
33,0.149352,0.777252,0.474514,0.349538,2.13441,viable margin
34,0.1481,0.783667,0.472418,0.351028,2.13999,viable margin
35,0.147128,0.790132,0.470355,0.352505,2.14536,viable margin
36,0.146449,0.796631,0.468314,0.353951,2.1505,viable margin
37,0.146076,0.803149,0.466286,0.35535,2.15536,viable margin
38,0.146014,0.80967,0.46426,0.356687,2.15992,viable margin
39,0.146264,0.816178,0.462225,0.357945,2.16414,viable margin
40,0.146822,0.822658,0.460172,0.359111,2.16801,viable margin
41,0.147678,0.829095,0.45809,0.360169,2.17151,viable margin
42,0.148821,0.835475,0.45597,0.361108,2.17462,viable margin
43,0.150232,0.841783,0.453802,0.361917,2.17735,viable margin
44,0.151889,0.848008,0.451579,0.362584,2.1797,viable margin
45,0.403766,0.841538,0.440892,0.318594,1.91066,viable margin
46,0.155834,0.847564,0.438536,0.351415,2.16227,viable margin
47,0.158061,0.853478,0.436105,0.351615,2.16352,viable margin
48,0.160412,0.859273,0.433595,0.351659,2.16446,viable margin
49,0.162849,0.864945,0.431003,0.351546,2.1651,viable margin
50,0.165336,0.870492,0.428328,0.35128,2.16548,viable margin
51,0.167834,0.875913,0.425569,0.350865,2.16565,viable margin
52,0.170302,0.88121,0.422727,0.350307,2.16563,viable margin
53,0.172704,0.886386,0.419804,0.349616,2.16549,viable margin
54,0.175001,0.891446,0.416804,0.3488,2.16525,viable margin
55,0.177157,0.896397,0.413731,0.347872,2.16497,viable margin
56,0.17914,0.901249,0.410592,0.346844,2.1647,viable margin
57,0.180917,0.90601,0.407394,0.345731,2.16449,viable margin
58,0.182462,0.910694,0.404143,0.344546,2.16438,viable margin
59,0.183749,0.915313,0.400849,0.343306,2.16441,viable margin
60,0.18476,0.919881,0.397521,0.342026,2.16464,viable margin
61,0.185478,0.924413,0.394169,0.340721,2.1651,viable margin
62,0.185892,0.928924,0.390803,0.339407,2.16584,viable margin
63,0.185996,0.93343,0.387433,0.3381,2.16687,viable margin
64,0.185787,0.937946,0.384071,0.336813,2.16823,viable margin
65,0.18527,0.942489,0.380726,0.335562,2.16994,viable margin
66,0.184452,0.947072,0.377408,0.334358,2.17203,viable margin
67,0.433346,0.939112,0.365728,0.291366,1.90349,viable margin
68,0.18197,0.943821,0.362494,0.320339,2.15634,viable margin
69,0.180344,0.948611,0.359314,0.319335,2.15958,viable margin
70,0.178494,0.953495,0.356197,0.318414,2.1632,viable margin
71,0.17645,0.958482,0.353148,0.317582,2.16718,viable margin
72,0.174242,0.96358,0.350173,0.316843,2.17151,viable margin
73,0.171906,0.968796,0.347277,0.316198,2.17617,viable margin
74,0.169478,0.974134,0.344463,0.315649,2.18112,viable margin
75,0.166995,0.979598,0.341732,0.315194,2.18633,viable margin
76,0.164497,0.985187,0.339085,0.314829,2.19178,viable margin
77,0.162022,0.990901,0.336521,0.314549,2.1974,viable margin
78,0.15961,0.996737,0.334038,0.314348,2.20317,viable margin
79,0.157297,1,0.331633,0.313375,2.20634,viable margin
80,0.15512,1,0.329301,0.311422,2.20618,viable margin
81,0.153112,1,0.327036,0.309511,2.20592,viable margin
