service,dimension,value
Pollination,current_service_flow,0.72
Pollination,ecological_condition,0.58
Pollination,functional_diversity,0.52
Pollination,functional_redundancy,0.46
Pollination,threshold_distance,0.48
Pollination,governance_capacity,0.55
Pollination,disturbance_exposure,0.7
Pollination,access_equity,0.52
Pollination,ecological_memory,0.52
Pollination,service_resilience_profile,0.47620000000000007
Pollination,service_threshold_risk_index,0.5032000000000001
Flood Regulation,current_service_flow,0.68
Flood Regulation,ecological_condition,0.66
Flood Regulation,functional_diversity,0.64
Flood Regulation,functional_redundancy,0.61
Flood Regulation,threshold_distance,0.57
Flood Regulation,governance_capacity,0.63
Flood Regulation,disturbance_exposure,0.66
Flood Regulation,access_equity,0.58
Flood Regulation,ecological_memory,0.66
Flood Regulation,service_resilience_profile,0.5749000000000001
Flood Regulation,service_threshold_risk_index,0.4018
Water Purification,current_service_flow,0.74
Water Purification,ecological_condition,0.7
Water Purification,functional_diversity,0.68
Water Purification,functional_redundancy,0.63
Water Purification,threshold_distance,0.62
Water Purification,governance_capacity,0.66
Water Purification,disturbance_exposure,0.58
Water Purification,access_equity,0.61
Water Purification,ecological_memory,0.62
Water Purification,service_resilience_profile,0.6151000000000001
Water Purification,service_threshold_risk_index,0.3604
Carbon Storage,current_service_flow,0.77
Carbon Storage,ecological_condition,0.62
Carbon Storage,functional_diversity,0.6
Carbon Storage,functional_redundancy,0.58
Carbon Storage,threshold_distance,0.54
Carbon Storage,governance_capacity,0.58
Carbon Storage,disturbance_exposure,0.72
Carbon Storage,access_equity,0.49
Carbon Storage,ecological_memory,0.65
Carbon Storage,service_resilience_profile,0.5398999999999999
Carbon Storage,service_threshold_risk_index,0.4473999999999999
Food Provision,current_service_flow,0.82
Food Provision,ecological_condition,0.55
Food Provision,functional_diversity,0.5
Food Provision,functional_redundancy,0.44
Food Provision,threshold_distance,0.42
Food Provision,governance_capacity,0.5
Food Provision,disturbance_exposure,0.76
Food Provision,access_equity,0.46
Food Provision,ecological_memory,0.48
Food Provision,service_resilience_profile,0.4429
Food Provision,service_threshold_risk_index,0.5528000000000002
Urban Cooling,current_service_flow,0.64
Urban Cooling,ecological_condition,0.6
Urban Cooling,functional_diversity,0.57
Urban Cooling,functional_redundancy,0.52
Urban Cooling,threshold_distance,0.49
Urban Cooling,governance_capacity,0.54
Urban Cooling,disturbance_exposure,0.74
Urban Cooling,access_equity,0.42
Urban Cooling,ecological_memory,0.55
Urban Cooling,service_resilience_profile,0.4776
Urban Cooling,service_threshold_risk_index,0.49899999999999994
Coastal Protection,current_service_flow,0.7
Coastal Protection,ecological_condition,0.68
Coastal Protection,functional_diversity,0.66
Coastal Protection,functional_redundancy,0.62
Coastal Protection,threshold_distance,0.56
Coastal Protection,governance_capacity,0.6
Coastal Protection,disturbance_exposure,0.78
Coastal Protection,access_equity,0.5
Coastal Protection,ecological_memory,0.64
Coastal Protection,service_resilience_profile,0.5556
Coastal Protection,service_threshold_risk_index,0.43839999999999996
Cultural Recreation,current_service_flow,0.67
Cultural Recreation,ecological_condition,0.63
Cultural Recreation,functional_diversity,0.58
Cultural Recreation,functional_redundancy,0.55
Cultural Recreation,threshold_distance,0.53
Cultural Recreation,governance_capacity,0.57
Cultural Recreation,disturbance_exposure,0.62
Cultural Recreation,access_equity,0.48
Cultural Recreation,ecological_memory,0.58
Cultural Recreation,service_resilience_profile,0.5244
Cultural Recreation,service_threshold_risk_index,0.4446000000000001
