simulation_id,strategy_id,strategy,rank,drr_value,winner
0,DRR005,Integrated Preparedness and Response Training,1,6.75273,Integrated Preparedness and Response Training
0,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.4959,Integrated Preparedness and Response Training
0,DRR002,Community Early Warning Network,3,6.43372,Integrated Preparedness and Response Training
0,DRR001,Floodplain Land-Use Restriction,4,6.33724,Integrated Preparedness and Response Training
0,DRR006,Equitable Recovery and Housing Protection Program,5,6.20356,Integrated Preparedness and Response Training
0,DRR003,Critical Infrastructure Hardening,6,5.88388,Integrated Preparedness and Response Training
1,DRR006,Equitable Recovery and Housing Protection Program,1,6.78208,Equitable Recovery and Housing Protection Program
1,DRR002,Community Early Warning Network,2,6.73946,Equitable Recovery and Housing Protection Program
1,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,3,6.68321,Equitable Recovery and Housing Protection Program
1,DRR005,Integrated Preparedness and Response Training,4,6.59324,Equitable Recovery and Housing Protection Program
1,DRR001,Floodplain Land-Use Restriction,5,6.15423,Equitable Recovery and Housing Protection Program
1,DRR003,Critical Infrastructure Hardening,6,5.71956,Equitable Recovery and Housing Protection Program
2,DRR005,Integrated Preparedness and Response Training,1,6.91901,Integrated Preparedness and Response Training
2,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,6.8667,Integrated Preparedness and Response Training
2,DRR006,Equitable Recovery and Housing Protection Program,3,6.8089,Integrated Preparedness and Response Training
2,DRR002,Community Early Warning Network,4,6.34375,Integrated Preparedness and Response Training
2,DRR001,Floodplain Land-Use Restriction,5,6.21258,Integrated Preparedness and Response Training
2,DRR003,Critical Infrastructure Hardening,6,6.18614,Integrated Preparedness and Response Training
3,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.90434,Ecosystem-Based Flood and Fire Risk Reduction
3,DRR005,Integrated Preparedness and Response Training,2,6.73716,Ecosystem-Based Flood and Fire Risk Reduction
3,DRR002,Community Early Warning Network,3,6.63173,Ecosystem-Based Flood and Fire Risk Reduction
3,DRR006,Equitable Recovery and Housing Protection Program,4,6.48394,Ecosystem-Based Flood and Fire Risk Reduction
3,DRR001,Floodplain Land-Use Restriction,5,5.98779,Ecosystem-Based Flood and Fire Risk Reduction
3,DRR003,Critical Infrastructure Hardening,6,5.92766,Ecosystem-Based Flood and Fire Risk Reduction
4,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,1,6.82619,Ecosystem-Based Flood and Fire Risk Reduction
4,DRR006,Equitable Recovery and Housing Protection Program,2,6.78505,Ecosystem-Based Flood and Fire Risk Reduction
4,DRR002,Community Early Warning Network,3,6.58841,Ecosystem-Based Flood and Fire Risk Reduction
4,DRR005,Integrated Preparedness and Response Training,4,6.396,Ecosystem-Based Flood and Fire Risk Reduction
4,DRR003,Critical Infrastructure Hardening,5,6.28158,Ecosystem-Based Flood and Fire Risk Reduction
4,DRR001,Floodplain Land-Use Restriction,6,5.94837,Ecosystem-Based Flood and Fire Risk Reduction
5,DRR006,Equitable Recovery and Housing Protection Program,1,7.15089,Equitable Recovery and Housing Protection Program
5,DRR004,Ecosystem-Based Flood and Fire Risk Reduction,2,7.12616,Equitable Recovery and Housing Protection Program
