strategy_id,strategy,system_domain,hazard_reduction,exposure_reduction,vulnerability_reduction,capacity_enhancement,justice_protection,maladaptation_risk,critical_function,drr_value,scenario,rank
DRR006,Equitable Recovery and Housing Protection Program,recovery justice,6.7,7.4,8.9,8.3,9,2.4,reduces long-term harm through fair recovery renter protection repair support and anti-displacement safeguards,6.816000000000001,Balanced,1
DRR004,Ecosystem-Based Flood and Fire Risk Reduction,ecosystem-based risk reduction,8.1,8,8,7.8,7.8,2.7,uses wetlands forests floodplains soils and watersheds as living risk-reduction infrastructure,6.663,Balanced,2
DRR002,Community Early Warning Network,community preparedness,6.8,7.1,8.1,8.7,8,2.6,improves warning trust evacuation mutual aid and local communication capacity,6.499,Balanced,3
DRR005,Integrated Preparedness and Response Training,emergency management,6.5,6.8,8.4,8.8,8.1,2.8,improves emergency coordination surge capacity role clarity logistics and response continuity,6.459,Balanced,4
DRR001,Floodplain Land-Use Restriction,land use and flood risk,7.4,8.6,7.5,6.9,7.2,3.4,reduces flood exposure through land-use controls buyouts restoration and safe siting,6.217,Balanced,5
DRR003,Critical Infrastructure Hardening,infrastructure resilience,7.2,7.3,7.8,7.6,7.1,3.8,reduces service disruption through structural protection backup power and continuity planning,6.055999999999999,Balanced,6
DRR006,Equitable Recovery and Housing Protection Program,recovery justice,6.7,7.4,8.9,8.3,9,2.4,reduces long-term harm through fair recovery renter protection repair support and anti-displacement safeguards,7.280000000000001,Capacity-first,1
DRR005,Integrated Preparedness and Response Training,emergency management,6.5,6.8,8.4,8.8,8.1,2.8,improves emergency coordination surge capacity role clarity logistics and response continuity,7.190000000000001,Capacity-first,2
DRR002,Community Early Warning Network,community preparedness,6.8,7.1,8.1,8.7,8,2.6,improves warning trust evacuation mutual aid and local communication capacity,7.189999999999999,Capacity-first,3
DRR004,Ecosystem-Based Flood and Fire Risk Reduction,ecosystem-based risk reduction,8.1,8,8,7.8,7.8,2.7,uses wetlands forests floodplains soils and watersheds as living risk-reduction infrastructure,7.052,Capacity-first,4
DRR003,Critical Infrastructure Hardening,infrastructure resilience,7.2,7.3,7.8,7.6,7.1,3.8,reduces service disruption through structural protection backup power and continuity planning,6.576,Capacity-first,5
DRR001,Floodplain Land-Use Restriction,land use and flood risk,7.4,8.6,7.5,6.9,7.2,3.4,reduces flood exposure through land-use controls buyouts restoration and safe siting,6.488,Capacity-first,6
DRR004,Ecosystem-Based Flood and Fire Risk Reduction,ecosystem-based risk reduction,8.1,8,8,7.8,7.8,2.7,uses wetlands forests floodplains soils and watersheds as living risk-reduction infrastructure,7.108,Exposure-first,1
DRR006,Equitable Recovery and Housing Protection Program,recovery justice,6.7,7.4,8.9,8.3,9,2.4,reduces long-term harm through fair recovery renter protection repair support and anti-displacement safeguards,7.042,Exposure-first,2
DRR001,Floodplain Land-Use Restriction,land use and flood risk,7.4,8.6,7.5,6.9,7.2,3.4,reduces flood exposure through land-use controls buyouts restoration and safe siting,6.97,Exposure-first,3
DRR002,Community Early Warning Network,community preparedness,6.8,7.1,8.1,8.7,8,2.6,improves warning trust evacuation mutual aid and local communication capacity,6.727999999999999,Exposure-first,4
DRR005,Integrated Preparedness and Response Training,emergency management,6.5,6.8,8.4,8.8,8.1,2.8,improves emergency coordination surge capacity role clarity logistics and response continuity,6.616,Exposure-first,5
DRR003,Critical Infrastructure Hardening,infrastructure resilience,7.2,7.3,7.8,7.6,7.1,3.8,reduces service disruption through structural protection backup power and continuity planning,6.482,Exposure-first,6
DRR004,Ecosystem-Based Flood and Fire Risk Reduction,ecosystem-based risk reduction,8.1,8,8,7.8,7.8,2.7,uses wetlands forests floodplains soils and watersheds as living risk-reduction infrastructure,7.146,Hazard-first,1
DRR006,Equitable Recovery and Housing Protection Program,recovery justice,6.7,7.4,8.9,8.3,9,2.4,reduces long-term harm through fair recovery renter protection repair support and anti-displacement safeguards,6.782000000000001,Hazard-first,2
DRR001,Floodplain Land-Use Restriction,land use and flood risk,7.4,8.6,7.5,6.9,7.2,3.4,reduces flood exposure through land-use controls buyouts restoration and safe siting,6.672,Hazard-first,3
DRR002,Community Early Warning Network,community preparedness,6.8,7.1,8.1,8.7,8,2.6,improves warning trust evacuation mutual aid and local communication capacity,6.588,Hazard-first,4
DRR005,Integrated Preparedness and Response Training,emergency management,6.5,6.8,8.4,8.8,8.1,2.8,improves emergency coordination surge capacity role clarity logistics and response continuity,6.459999999999999,Hazard-first,5
DRR003,Critical Infrastructure Hardening,infrastructure resilience,7.2,7.3,7.8,7.6,7.1,3.8,reduces service disruption through structural protection backup power and continuity planning,6.45,Hazard-first,6
DRR006,Equitable Recovery and Housing Protection Program,recovery justice,6.7,7.4,8.9,8.3,9,2.4,reduces long-term harm through fair recovery renter protection repair support and anti-displacement safeguards,7.7620000000000005,Justice-first,1
DRR004,Ecosystem-Based Flood and Fire Risk Reduction,ecosystem-based risk reduction,8.1,8,8,7.8,7.8,2.7,uses wetlands forests floodplains soils and watersheds as living risk-reduction infrastructure,7.26,Justice-first,2
DRR005,Integrated Preparedness and Response Training,emergency management,6.5,6.8,8.4,8.8,8.1,2.8,improves emergency coordination surge capacity role clarity logistics and response continuity,7.236,Justice-first,3
DRR002,Community Early Warning Network,community preparedness,6.8,7.1,8.1,8.7,8,2.6,improves warning trust evacuation mutual aid and local communication capacity,7.217999999999999,Justice-first,4
DRR001,Floodplain Land-Use Restriction,land use and flood risk,7.4,8.6,7.5,6.9,7.2,3.4,reduces flood exposure through land-use controls buyouts restoration and safe siting,6.792000000000001,Justice-first,5
DRR003,Critical Infrastructure Hardening,infrastructure resilience,7.2,7.3,7.8,7.6,7.1,3.8,reduces service disruption through structural protection backup power and continuity planning,6.656000000000001,Justice-first,6
DRR006,Equitable Recovery and Housing Protection Program,recovery justice,6.7,7.4,8.9,8.3,9,2.4,reduces long-term harm through fair recovery renter protection repair support and anti-displacement safeguards,4.935000000000001,Maladaptation-sensitive,1
DRR004,Ecosystem-Based Flood and Fire Risk Reduction,ecosystem-based risk reduction,8.1,8,8,7.8,7.8,2.7,uses wetlands forests floodplains soils and watersheds as living risk-reduction infrastructure,4.7490000000000006,Maladaptation-sensitive,2
DRR002,Community Early Warning Network,community preparedness,6.8,7.1,8.1,8.7,8,2.6,improves warning trust evacuation mutual aid and local communication capacity,4.635,Maladaptation-sensitive,3
DRR005,Integrated Preparedness and Response Training,emergency management,6.5,6.8,8.4,8.8,8.1,2.8,improves emergency coordination surge capacity role clarity logistics and response continuity,4.563000000000001,Maladaptation-sensitive,4
DRR001,Floodplain Land-Use Restriction,land use and flood risk,7.4,8.6,7.5,6.9,7.2,3.4,reduces flood exposure through land-use controls buyouts restoration and safe siting,4.2620000000000005,Maladaptation-sensitive,5
DRR003,Critical Infrastructure Hardening,infrastructure resilience,7.2,7.3,7.8,7.6,7.1,3.8,reduces service disruption through structural protection backup power and continuity planning,4.043,Maladaptation-sensitive,6
DRR006,Equitable Recovery and Housing Protection Program,recovery justice,6.7,7.4,8.9,8.3,9,2.4,reduces long-term harm through fair recovery renter protection repair support and anti-displacement safeguards,7.462,Vulnerability-first,1
DRR004,Ecosystem-Based Flood and Fire Risk Reduction,ecosystem-based risk reduction,8.1,8,8,7.8,7.8,2.7,uses wetlands forests floodplains soils and watersheds as living risk-reduction infrastructure,7.108,Vulnerability-first,2
DRR005,Integrated Preparedness and Response Training,emergency management,6.5,6.8,8.4,8.8,8.1,2.8,improves emergency coordination surge capacity role clarity logistics and response continuity,7.064,Vulnerability-first,3
DRR002,Community Early Warning Network,community preparedness,6.8,7.1,8.1,8.7,8,2.6,improves warning trust evacuation mutual aid and local communication capacity,7.007999999999999,Vulnerability-first,4
DRR001,Floodplain Land-Use Restriction,land use and flood risk,7.4,8.6,7.5,6.9,7.2,3.4,reduces flood exposure through land-use controls buyouts restoration and safe siting,6.662,Vulnerability-first,5
DRR003,Critical Infrastructure Hardening,infrastructure resilience,7.2,7.3,7.8,7.6,7.1,3.8,reduces service disruption through structural protection backup power and continuity planning,6.622,Vulnerability-first,6
