 time,function_level,stress_load,response_capacity,dependency_coupling
1, 0.81035, 0.13830, 0.09900, 0.62150
2, 0.82034, 0.13892, 0.09882, 0.62301
3, 0.82997, 0.13954, 0.09864, 0.62454
4, 0.83924, 0.14016, 0.09846, 0.62608
5, 0.84815, 0.14079, 0.09827, 0.62763
6, 0.85670, 0.14141, 0.09808, 0.62919
7, 0.86488, 0.14204, 0.09790, 0.63077
8, 0.87269, 0.14266, 0.09771, 0.63236
9, 0.88014, 0.14329, 0.09752, 0.63396
10, 0.88721, 0.14392, 0.09732, 0.63558
11, 0.89392, 0.14455, 0.09713, 0.63721
12, 0.70856, 0.70898, 0.09693, 0.64900
13, 0.71324, 0.14662, 0.09552, 0.65069
14, 0.71755, 0.14726, 0.09532, 0.65239
15, 0.72148, 0.14789, 0.09511, 0.65410
16, 0.72502, 0.14853, 0.09491, 0.65582
17, 0.72818, 0.14917, 0.09470, 0.65756
18, 0.73095, 0.14980, 0.09449, 0.65931
19, 0.73333, 0.15044, 0.09428, 0.66108
20, 0.73532, 0.15109, 0.09407, 0.66285
21, 0.73692, 0.15173, 0.09386, 0.66465
22, 0.73813, 0.15237, 0.09364, 0.66645
23, 0.73894, 0.15302, 0.09343, 0.66827
24, 0.73935, 0.15366, 0.09321, 0.67011
25, 0.73937, 0.15431, 0.09299, 0.67195
26, 0.73898, 0.15496, 0.09277, 0.67382
27, 0.73819, 0.15561, 0.09254, 0.67569
28, 0.53946, 0.73726, 0.09232, 0.68804
29, 0.53656, 0.15774, 0.09084, 0.68997
30, 0.53324, 0.15840, 0.09060, 0.69192
31, 0.52952, 0.15905, 0.09037, 0.69387
32, 0.52538, 0.15971, 0.09014, 0.69585
33, 0.52082, 0.16037, 0.08990, 0.69784
34, 0.51584, 0.16103, 0.08966, 0.69984
35, 0.51045, 0.16169, 0.08942, 0.70185
36, 0.50463, 0.16235, 0.08918, 0.70388
37, 0.49839, 0.16301, 0.08893, 0.70593
38, 0.49172, 0.16367, 0.08869, 0.70799
39, 0.48463, 0.16434, 0.08844, 0.71006
40, 0.47711, 0.16500, 0.08819, 0.71215
41, 0.46915, 0.16567, 0.08794, 0.71425
42, 0.46077, 0.16634, 0.08769, 0.71637
43, 0.25608, 0.74311, 0.08744, 0.72887
44, 0.24553, 0.16851, 0.08594, 0.73105
45, 0.23454, 0.16918, 0.08567, 0.73323
46, 0.22310, 0.16986, 0.08541, 0.73544
47, 0.21123, 0.17053, 0.08515, 0.73766
48, 0.19890, 0.17121, 0.08488, 0.73989
49, 0.18613, 0.17189, 0.08461, 0.74214
50, 0.17290, 0.17257, 0.08434, 0.74440
51, 0.15922, 0.17325, 0.08407, 0.74668
52, 0.14509, 0.17393, 0.08380, 0.74897
53, 0.13051, 0.17462, 0.08352, 0.75128
54, 0.11546, 0.17530, 0.08325, 0.75360
55, 0.09995, 0.17599, 0.08297, 0.75594
56, 0.08399, 0.17668, 0.08269, 0.75829
57, 0.06756, 0.17736, 0.08240, 0.76066
58, 0.05066, 0.17805, 0.08212, 0.76304
59, 0.00000, 0.73584, 0.08183, 0.77547
60, 0.00000, 0.18024, 0.08034, 0.77791
61, 0.00000, 0.18093, 0.08005, 0.78037
62, 0.00000, 0.18163, 0.07976, 0.78284
63, 0.00000, 0.18233, 0.07946, 0.78533
64, 0.00000, 0.18303, 0.07916, 0.78783
65, 0.00000, 0.18373, 0.07886, 0.79035
66, 0.00000, 0.18443, 0.07856, 0.79288
67, 0.00000, 0.18513, 0.07825, 0.79543
68, 0.00000, 0.18583, 0.07795, 0.79800
69, 0.00000, 0.18654, 0.07764, 0.80058
70, 0.00000, 0.18725, 0.07733, 0.80318
71, 0.00000, 0.18795, 0.07702, 0.80579
72, 0.00000, 0.18866, 0.07671, 0.80842
73, 0.00000, 0.18937, 0.07639, 0.81106
74, 0.00000, 0.19009, 0.07607, 0.81372
75, 0.00000, 0.19080, 0.07575, 0.81640
76, 0.00000, 0.19151, 0.07543, 0.81909
77, 0.00000, 0.19223, 0.07511, 0.82180
78, 0.00000, 0.19294, 0.07478, 0.82453
79, 0.00000, 0.19366, 0.07446, 0.82727
80, 0.00000, 0.19438, 0.07413, 0.83003
