system_id,system,system_domain,time,event,stress_load,response_capacity,function_level,dependency_coupling,justice_adjusted_function
SYS001,Riverside Neighborhood Flood System,community flood risk,0,background risk stress,0.13511,0.099,0.81143,0.62144,0.84779
SYS001,Riverside Neighborhood Flood System,community flood risk,1,background risk stress,0.13807,0.09883,0.82172,0.62294,0.85853
SYS001,Riverside Neighborhood Flood System,community flood risk,2,background risk stress,0.14109,0.09865,0.83083,0.62449,0.86805
SYS001,Riverside Neighborhood Flood System,community flood risk,3,background risk stress,0.14122,0.09846,0.83975,0.62605,0.87737
SYS001,Riverside Neighborhood Flood System,community flood risk,4,background risk stress,0.14205,0.09827,0.84823,0.62762,0.88623
SYS001,Riverside Neighborhood Flood System,community flood risk,5,background risk stress,0.1404,0.09809,0.85712,0.62917,0.89552
SYS001,Riverside Neighborhood Flood System,community flood risk,6,background risk stress,0.14381,0.0979,0.8647,0.63078,0.90343
SYS001,Riverside Neighborhood Flood System,community flood risk,7,background risk stress,0.14241,0.09771,0.87259,0.63237,0.91169
SYS001,Riverside Neighborhood Flood System,community flood risk,8,background risk stress,0.1396,0.09752,0.88129,0.6339,0.92078
SYS001,Riverside Neighborhood Flood System,community flood risk,9,background risk stress,0.14308,0.09733,0.88866,0.63551,0.92847
SYS001,Riverside Neighborhood Flood System,community flood risk,10,background risk stress,0.1406,0.09714,0.89671,0.63707,0.93688
SYS001,Riverside Neighborhood Flood System,community flood risk,11,background risk stress,0.14796,0.09695,0.90211,0.63876,0.94253
SYS001,Riverside Neighborhood Flood System,community flood risk,12,Extreme rainfall and urban flooding,0.7091,0.09675,0.71656,0.65056,0.63229
SYS001,Riverside Neighborhood Flood System,community flood risk,13,background risk stress,0.15014,0.09533,0.7199,0.6523,0.75215
SYS001,Riverside Neighborhood Flood System,community flood risk,14,background risk stress,0.14613,0.09512,0.72443,0.65398,0.75688
SYS001,Riverside Neighborhood Flood System,community flood risk,15,background risk stress,0.14657,0.09492,0.72865,0.65567,0.76129
SYS001,Riverside Neighborhood Flood System,community flood risk,16,background risk stress,0.15069,0.09472,0.7313,0.65744,0.76406
SYS001,Riverside Neighborhood Flood System,community flood risk,17,background risk stress,0.14704,0.09451,0.73502,0.65914,0.76795
SYS001,Riverside Neighborhood Flood System,community flood risk,18,background risk stress,0.14749,0.0943,0.73842,0.66085,0.77151
SYS001,Riverside Neighborhood Flood System,community flood risk,19,background risk stress,0.1482,0.0941,0.74142,0.66258,0.77464
SYS001,Riverside Neighborhood Flood System,community flood risk,20,background risk stress,0.15004,0.09389,0.74362,0.66434,0.77693
SYS001,Riverside Neighborhood Flood System,community flood risk,21,background risk stress,0.15281,0.09368,0.74471,0.66615,0.77807
