strategy_id,strategy,system_domain,monitoring_value,predictive_maintenance,cyber_physical_security,digital_twin_capacity,redundancy_and_fallback,climate_adaptation,governance_quality,equity_performance,ecological_integration,fragility_risk,implementation_burden,critical_function,infrastructure_resilience_value,governance_gap,equity_gap,redundancy_gap,adjusted_value,scenario,rank
IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,8.2,8.1,8,8.4,8.5,9.3,8.9,9.3,9,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services,8.213,0,0,0,8.213,Balanced,1
IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,8.5,9.3,8.2,8.6,8.4,8.4,8.4,8.2,8,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction,8.011000000000001,0.09999999999999964,0.3000000000000007,0.09999999999999964,7.973000000000002,Balanced,2
IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,8.3,8.5,8.1,9.3,8.3,8.6,8.5,8.1,8.2,3,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways,7.989000000000001,0,0.40000000000000036,0.1999999999999993,7.9430000000000005,Balanced,3
IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,8.1,8,9.4,8,8.6,8,8.7,8,7.8,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure,7.877999999999998,0,0.5,0,7.837999999999998,Balanced,4
IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,8.4,7.8,8,8.2,8.7,8.1,8.8,8.2,7.8,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways,7.821999999999999,0,0.3000000000000007,0,7.797999999999999,Balanced,5
IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,8,7.8,8.6,8.2,8.4,8,8.8,8.1,7.8,3,3.6,reduces lock-in through open standards data portability contract controls and migration readiness,7.771999999999999,0,0.40000000000000036,0.09999999999999964,7.733,Balanced,6
IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,9.2,8.2,8,8,8.1,8.3,8.2,8,8.1,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure,7.796000000000001,0.3000000000000007,0.5,0.40000000000000036,7.707000000000001,Balanced,7
IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,8.2,8.1,8,8.4,8.5,9.3,8.9,9.3,9,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services,9.356000000000002,0,0,0,9.356000000000002,Climate-adaptation,1
IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,8.3,8.5,8.1,9.3,8.3,8.6,8.5,8.1,8.2,3,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways,8.996,0,0.40000000000000036,0.1999999999999993,8.950000000000001,Climate-adaptation,2
IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,8.5,9.3,8.2,8.6,8.4,8.4,8.4,8.2,8,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction,8.968,0.09999999999999964,0.3000000000000007,0.09999999999999964,8.93,Climate-adaptation,3
IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,8.4,7.8,8,8.2,8.7,8.1,8.8,8.2,7.8,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways,8.730999999999998,0,0.3000000000000007,0,8.706999999999997,Climate-adaptation,4
IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,8.1,8,9.4,8,8.6,8,8.7,8,7.8,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure,8.736999999999998,0,0.5,0,8.697,Climate-adaptation,5
IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,9.2,8.2,8,8,8.1,8.3,8.2,8,8.1,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure,8.738,0.3000000000000007,0.5,0.40000000000000036,8.649,Climate-adaptation,6
IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,8,7.8,8.6,8.2,8.4,8,8.8,8.1,7.8,3,3.6,reduces lock-in through open standards data portability contract controls and migration readiness,8.655999999999999,0,0.40000000000000036,0.09999999999999964,8.616999999999999,Climate-adaptation,7
IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,8.1,8,9.4,8,8.6,8,8.7,8,7.8,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure,8.369,0,0.5,0,8.329,Cyber-physical-first,1
IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,8.2,8.1,8,8.4,8.5,9.3,8.9,9.3,9,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services,8.286999999999999,0,0,0,8.286999999999999,Cyber-physical-first,2
IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,8.5,9.3,8.2,8.6,8.4,8.4,8.4,8.2,8,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction,8.197,0.09999999999999964,0.3000000000000007,0.09999999999999964,8.158999999999999,Cyber-physical-first,3
IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,8.3,8.5,8.1,9.3,8.3,8.6,8.5,8.1,8.2,3,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways,8.149,0,0.40000000000000036,0.1999999999999993,8.103,Cyber-physical-first,4
IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,8,7.8,8.6,8.2,8.4,8,8.8,8.1,7.8,3,3.6,reduces lock-in through open standards data portability contract controls and migration readiness,8.104,0,0.40000000000000036,0.09999999999999964,8.065,Cyber-physical-first,5
IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,8.4,7.8,8,8.2,8.7,8.1,8.8,8.2,7.8,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways,8.029,0,0.3000000000000007,0,8.004999999999999,Cyber-physical-first,6
IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,9.2,8.2,8,8,8.1,8.3,8.2,8,8.1,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure,7.964999999999999,0.3000000000000007,0.5,0.40000000000000036,7.875999999999999,Cyber-physical-first,7
