simulation_id,strategy_id,strategy,rank,infrastructure_resilience_value,winner
0,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.32187,Equity-Centered Climate Adaptation Portfolio
0,IIR003,Digital Twin and Scenario Stress Testing,2,8.17927,Equity-Centered Climate Adaptation Portfolio
0,IIR007,Interoperability and Vendor Portability Strategy,3,7.9526,Equity-Centered Climate Adaptation Portfolio
0,IIR002,Sensor Monitoring and Early Warning Network,4,7.92303,Equity-Centered Climate Adaptation Portfolio
0,IIR004,Predictive Maintenance and Asset Renewal,5,7.88073,Equity-Centered Climate Adaptation Portfolio
0,IIR005,Cyber-Physical Security and Recovery Program,6,7.87341,Equity-Centered Climate Adaptation Portfolio
0,IIR001,Critical Function and Dependency Mapping,7,7.72188,Equity-Centered Climate Adaptation Portfolio
1,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.33593,Equity-Centered Climate Adaptation Portfolio
1,IIR003,Digital Twin and Scenario Stress Testing,2,8.18914,Equity-Centered Climate Adaptation Portfolio
1,IIR004,Predictive Maintenance and Asset Renewal,3,8.05371,Equity-Centered Climate Adaptation Portfolio
1,IIR002,Sensor Monitoring and Early Warning Network,4,8.00064,Equity-Centered Climate Adaptation Portfolio
1,IIR005,Cyber-Physical Security and Recovery Program,5,7.96945,Equity-Centered Climate Adaptation Portfolio
1,IIR007,Interoperability and Vendor Portability Strategy,6,7.93314,Equity-Centered Climate Adaptation Portfolio
1,IIR001,Critical Function and Dependency Mapping,7,7.55105,Equity-Centered Climate Adaptation Portfolio
2,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.24599,Equity-Centered Climate Adaptation Portfolio
2,IIR004,Predictive Maintenance and Asset Renewal,2,8.12271,Equity-Centered Climate Adaptation Portfolio
2,IIR001,Critical Function and Dependency Mapping,3,8.03514,Equity-Centered Climate Adaptation Portfolio
2,IIR005,Cyber-Physical Security and Recovery Program,4,8.00011,Equity-Centered Climate Adaptation Portfolio
2,IIR003,Digital Twin and Scenario Stress Testing,5,7.90406,Equity-Centered Climate Adaptation Portfolio
2,IIR002,Sensor Monitoring and Early Warning Network,6,7.86348,Equity-Centered Climate Adaptation Portfolio
2,IIR007,Interoperability and Vendor Portability Strategy,7,7.69605,Equity-Centered Climate Adaptation Portfolio
3,IIR003,Digital Twin and Scenario Stress Testing,1,8.39286,Digital Twin and Scenario Stress Testing
3,IIR006,Equity-Centered Climate Adaptation Portfolio,2,8.24248,Digital Twin and Scenario Stress Testing
3,IIR005,Cyber-Physical Security and Recovery Program,3,8.00323,Digital Twin and Scenario Stress Testing
3,IIR007,Interoperability and Vendor Portability Strategy,4,7.93961,Digital Twin and Scenario Stress Testing
3,IIR004,Predictive Maintenance and Asset Renewal,5,7.66255,Digital Twin and Scenario Stress Testing
3,IIR002,Sensor Monitoring and Early Warning Network,6,7.65645,Digital Twin and Scenario Stress Testing
3,IIR001,Critical Function and Dependency Mapping,7,7.64202,Digital Twin and Scenario Stress Testing
4,IIR006,Equity-Centered Climate Adaptation Portfolio,1,8.24736,Equity-Centered Climate Adaptation Portfolio
4,IIR005,Cyber-Physical Security and Recovery Program,2,8.09047,Equity-Centered Climate Adaptation Portfolio
4,IIR003,Digital Twin and Scenario Stress Testing,3,8.02517,Equity-Centered Climate Adaptation Portfolio
4,IIR004,Predictive Maintenance and Asset Renewal,4,8.00068,Equity-Centered Climate Adaptation Portfolio
4,IIR002,Sensor Monitoring and Early Warning Network,5,7.96413,Equity-Centered Climate Adaptation Portfolio
4,IIR007,Interoperability and Vendor Portability Strategy,6,7.67596,Equity-Centered Climate Adaptation Portfolio
4,IIR001,Critical Function and Dependency Mapping,7,7.55925,Equity-Centered Climate Adaptation Portfolio
5,IIR005,Cyber-Physical Security and Recovery Program,1,8.18459,Cyber-Physical Security and Recovery Program
5,IIR004,Predictive Maintenance and Asset Renewal,2,8.04154,Cyber-Physical Security and Recovery Program
5,IIR001,Critical Function and Dependency Mapping,3,8.01922,Cyber-Physical Security and Recovery Program
5,IIR003,Digital Twin and Scenario Stress Testing,4,7.8206,Cyber-Physical Security and Recovery Program
5,IIR006,Equity-Centered Climate Adaptation Portfolio,5,7.72685,Cyber-Physical Security and Recovery Program
5,IIR007,Interoperability and Vendor Portability Strategy,6,7.60077,Cyber-Physical Security and Recovery Program
5,IIR002,Sensor Monitoring and Early Warning Network,7,7.53464,Cyber-Physical Security and Recovery Program
