system_id,system,system_context,time,event,disturbance,intelligence_value,response_capacity,fragility_gap,maintenance_backlog,data_trust,operator_strain,equity_access,function,resilience_score
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,0,background infrastructure pressure,0.07532,0.6724,0.5514,0.0,0.71217,0.9284,0.62619,0.46897,0.93288,0.63287
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,1,background infrastructure pressure,0.07634,0.68813,0.5514,0.0,0.68441,0.9968,0.61004,0.4701,1.0,0.65973
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,2,background infrastructure pressure,0.07737,0.70386,0.5514,0.0,0.65674,1.0,0.59155,0.47139,1.0,0.6669
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,3,background infrastructure pressure,0.07756,0.7046,0.5514,0.0,0.62912,1.0,0.57061,0.47286,1.0,0.67183
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,4,background infrastructure pressure,0.07795,0.7046,0.5514,0.0,0.60157,1.0,0.54724,0.47449,1.0,0.67688
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,5,background infrastructure pressure,0.07763,0.7046,0.5514,0.0,0.57406,1.0,0.52135,0.47631,1.0,0.68218
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,6,background infrastructure pressure,0.07877,0.7046,0.5514,0.0,0.54664,1.0,0.49316,0.47828,1.0,0.6877
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,7,background infrastructure pressure,0.07852,0.7046,0.5514,0.0,0.51926,1.0,0.46247,0.48043,1.0,0.69346
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,8,background infrastructure pressure,0.07786,0.7046,0.5514,0.0,0.49192,1.0,0.42923,0.48275,1.0,0.69946
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,9,background infrastructure pressure,0.07902,0.7046,0.5514,0.0,0.46466,1.0,0.3937,0.48524,1.0,0.70568
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,10,Extreme heat and demand surge,0.6538,0.7046,0.5514,0.35417,0.48423,0.971,0.56799,0.38788,0.94919,0.66373
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,11,background infrastructure pressure,0.07879,0.69793,0.5514,0.0,0.45708,1.0,0.53175,0.47558,1.0,0.69192
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,12,background infrastructure pressure,0.08107,0.7046,0.5514,0.0,0.43003,1.0,0.49341,0.47826,1.0,0.69934
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,13,background infrastructure pressure,0.08144,0.7046,0.5514,0.0,0.40305,1.0,0.4527,0.48111,1.0,0.70604
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,14,background infrastructure pressure,0.08043,0.7046,0.5514,0.0,0.37609,1.0,0.40941,0.48414,1.0,0.71299
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,15,background infrastructure pressure,0.08071,0.7046,0.5514,0.0,0.3492,1.0,0.36375,0.48734,1.0,0.72018
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,16,background infrastructure pressure,0.08205,0.7046,0.5514,0.0,0.32239,1.0,0.31587,0.49069,1.0,0.72757
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,17,background infrastructure pressure,0.08114,0.7046,0.5514,0.0,0.29562,1.0,0.26545,0.49422,1.0,0.73521
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,18,background infrastructure pressure,0.08142,0.7046,0.5514,0.0,0.26891,1.0,0.21266,0.49791,1.0,0.74307
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,19,background infrastructure pressure,0.08178,0.7046,0.5514,0.0,0.24225,1.0,0.15753,0.50177,1.0,0.75116
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,20,background infrastructure pressure,0.08246,0.7046,0.5514,0.0,0.21567,1.0,0.10011,0.50579,1.0,0.75947
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,21,background infrastructure pressure,0.08341,0.7046,0.5514,0.0,0.18917,1.0,0.04045,0.50997,1.0,0.76799
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,22,Cyber-physical intrusion attempt,0.7126,0.7046,0.5514,0.42689,0.19759,0.91,0.21602,0.41292,0.98434,0.72608
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,23,background infrastructure pressure,0.08482,0.6839,0.5514,0.0,0.17123,0.9784,0.15495,0.50195,1.0,0.75303
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,24,background infrastructure pressure,0.0835,0.69963,0.5514,0.0,0.14489,1.0,0.09132,0.50641,1.0,0.76672
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,25,background infrastructure pressure,0.08548,0.7046,0.5514,0.0,0.11865,1.0,0.02562,0.51101,1.0,0.7765
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,26,background infrastructure pressure,0.08493,0.7046,0.5514,0.0,0.09245,1.0,0.0,0.5128,1.0,0.78164
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,27,background infrastructure pressure,0.08603,0.7046,0.5514,0.0,0.06634,1.0,0.0,0.5128,1.0,0.78426
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,28,background infrastructure pressure,0.08618,0.7046,0.5514,0.0,0.04028,1.0,0.0,0.5128,1.0,0.78686
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,29,background infrastructure pressure,0.08507,0.7046,0.5514,0.0,0.01424,1.0,0.0,0.5128,1.0,0.78947
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,30,background infrastructure pressure,0.08648,0.7046,0.5514,0.0,0.0,1.0,0.0,0.5128,1.0,0.79089
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,31,background infrastructure pressure,0.08566,0.7046,0.5514,0.0,0.0,1.0,0.0,0.5128,1.0,0.79089
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,32,background infrastructure pressure,0.08573,0.7046,0.5514,0.0,0.0,1.0,0.0,0.5128,1.0,0.79089
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,33,background infrastructure pressure,0.08693,0.7046,0.5514,0.0,0.0,1.0,0.0,0.5128,1.0,0.79089
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,34,Flooding and transport disruption,0.7414,0.7046,0.5514,0.364,0.02387,0.9454,0.16468,0.41263,1.0,0.75511
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,35,background infrastructure pressure,0.08843,0.69204,0.5514,0.0,0.0,1.0,0.08874,0.50659,1.0,0.7804
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,36,background infrastructure pressure,0.08831,0.7046,0.5514,0.0,0.0,1.0,0.01279,0.5119,1.0,0.78963
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,37,background infrastructure pressure,0.08782,0.7046,0.5514,0.0,0.0,1.0,0.0,0.5128,1.0,0.79089
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,38,background infrastructure pressure,0.08958,0.7046,0.5514,0.0,0.0,1.0,0.0,0.5128,1.0,0.79089
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,39,background infrastructure pressure,0.09008,0.7046,0.5514,0.0,0.0,1.0,0.0,0.5128,1.0,0.79089
IIS001,Sensor-rich but undermaintained water system,strong sensing but weak repair capacity and high backlog,40,background infrastructure pressure,0.08892,0.7046,0.5514,0.0,0.0,1.0,0.0,0.5128,1.0,0.79089
