scenario,strategy_id,strategy,system_domain,rank,infrastructure_resilience_value,fragility_risk,implementation_burden,critical_function
Balanced,IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,1,8.213,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services
Balanced,IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,2,8.011,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction
Balanced,IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,3,7.989,3.0,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways
Balanced,IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,4,7.878,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure
Balanced,IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,5,7.822,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways
Balanced,IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,6,7.796,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure
Balanced,IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,7,7.772,3.0,3.6,reduces lock-in through open standards data portability contract controls and migration readiness
Monitoring-first,IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,1,8.347,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services
Monitoring-first,IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,2,8.298,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction
Monitoring-first,IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,3,8.257,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure
Monitoring-first,IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,4,8.239,3.0,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways
Monitoring-first,IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,5,8.102,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways
Monitoring-first,IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,6,8.083,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure
Monitoring-first,IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,7,7.972,3.0,3.6,reduces lock-in through open standards data portability contract controls and migration readiness
Maintenance-first,IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,1,8.541,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction
Maintenance-first,IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,2,8.415,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services
Maintenance-first,IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,3,8.362,3.0,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways
Maintenance-first,IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,4,8.154,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure
Maintenance-first,IIR002,Sensor Monitoring and Early Warning Network,sensing telemetry early warning and situational awareness,5,8.127,3.1,3.5,detects stress deterioration hazards and anomalies before visible infrastructure failure
Maintenance-first,IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,6,8.072,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways
Maintenance-first,IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,7,8.02,3.0,3.6,reduces lock-in through open standards data portability contract controls and migration readiness
Cyber-physical-first,IIR005,Cyber-Physical Security and Recovery Program,operational technology cyber resilience and recovery,1,8.369,2.7,3.7,protects connected infrastructure against cyber-physical compromise unsafe automation and recovery failure
Cyber-physical-first,IIR006,Equity-Centered Climate Adaptation Portfolio,climate adaptation environmental justice and community protection,2,8.287,2.6,3.9,prioritizes heat flood wildfire drought coastal risk environmental justice and vulnerable critical services
Cyber-physical-first,IIR004,Predictive Maintenance and Asset Renewal,predictive maintenance inspection prioritization and renewal planning,3,8.197,2.8,3.8,turns monitoring and inspection data into repair renewal and backlog reduction
Cyber-physical-first,IIR003,Digital Twin and Scenario Stress Testing,digital twins simulation and compound disruption scenario analysis,4,8.149,3.0,3.7,tests climate cyber physical operational and cascading infrastructure failure pathways
Cyber-physical-first,IIR007,Interoperability and Vendor Portability Strategy,open standards data rights vendor governance and portability,5,8.104,3.0,3.6,reduces lock-in through open standards data portability contract controls and migration readiness
Cyber-physical-first,IIR001,Critical Function and Dependency Mapping,critical services dependency visibility and single-point-of-failure mapping,6,8.029,2.9,3.2,maps critical services assets digital dependencies communications vendors workers and cascade pathways
