ecosystem_id,ecosystem_type,scenario_id,scenario_name,time_step,disturbance,ecological_resilience_margin,threshold_flag
E001,Temperate Forest,D001,Moderate natural disturbance,1,0.3236,1.2923,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,2,0.327,1.2955,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,3,0.3304,1.2984,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,4,0.3335,1.3012,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,5,0.5764,1.2916,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,6,0.3389,1.2941,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,7,0.341,1.2966,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,8,0.3427,1.2989,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,9,0.344,1.3012,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,10,0.5847,1.2911,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,11,0.345,1.2933,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,12,0.3447,1.2956,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,13,0.344,1.2978,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,14,0.3427,1.3002,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,15,0.581,1.2903,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,16,0.3389,1.2929,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,17,0.3364,1.2955,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,18,0.3335,1.2983,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,19,0.3304,1.3013,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,20,0.567,1.2922,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,21,0.3235,1.2955,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,22,0.32,1.299,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,23,0.3164,1.3027,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,24,0.3129,1.3065,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,25,0.5496,1.2983,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,26,0.3065,1.3025,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,27,0.3036,1.3068,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,28,0.3011,1.3113,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,29,0.2989,1.3158,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,30,0.5372,1.3082,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,31,0.296,1.313,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,32,0.2952,1.3177,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,33,0.295,1.3225,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,34,0.2953,1.3273,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,35,0.536,1.3197,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,36,0.2973,1.3244,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,37,0.299,1.3289,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,38,0.3011,1.3334,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,39,0.3037,1.3377,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,40,0.5465,1.3296,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,41,0.3097,1.3337,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,42,0.313,1.3375,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,43,0.3165,1.3412,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,44,0.3201,1.3447,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,45,0.5636,1.3357,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,46,0.3271,1.3389,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,47,0.3304,1.3418,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,48,0.3336,1.3446,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,49,0.3364,1.3473,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,50,0.5789,1.3376,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,51,0.3411,1.34,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,52,0.3428,1.3423,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,53,0.344,1.3446,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,54,0.3448,1.3468,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,55,0.585,1.3368,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,56,0.3447,1.339,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,57,0.344,1.3413,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,58,0.3427,1.3436,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,59,0.341,1.346,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,60,0.5788,1.3363,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,61,0.3363,1.3389,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,62,0.3334,1.3417,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,63,0.3303,1.3447,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,64,0.327,1.3479,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,65,0.5635,1.3389,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,66,0.3199,1.3424,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,67,0.3163,1.3461,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,68,0.3129,1.35,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,69,0.3095,1.354,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,70,0.5464,1.3459,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,71,0.3036,1.3502,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,72,0.301,1.3547,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,73,0.2989,1.3593,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,74,0.2972,1.364,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,75,0.536,1.3564,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,76,0.2952,1.3612,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,77,0.295,1.3659,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,78,0.2953,1.3707,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,79,0.296,1.3754,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,80,0.5373,1.3678,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,81,0.299,1.3724,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,82,0.3012,1.3768,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,83,0.3037,1.3812,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,84,0.3066,1.3854,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,85,0.5497,1.3771,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,86,0.3131,1.381,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,87,0.3166,1.3846,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,88,0.3201,1.3881,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,89,0.3237,1.3914,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,90,0.5672,1.3823,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,91,0.3305,1.3853,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,92,0.3336,1.3881,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,93,0.3365,1.3907,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,94,0.339,1.3932,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,95,0.5811,1.3834,viable margin
E001,Temperate Forest,D001,Moderate natural disturbance,96,0.3428,1.3857,viable margin
E001,Temperate Forest,D002,Repeated climate stress,1,0.5636,1.279,viable margin
E001,Temperate Forest,D002,Repeated climate stress,2,0.567,1.2687,viable margin
E001,Temperate Forest,D002,Repeated climate stress,3,0.5704,1.2584,viable margin
E001,Temperate Forest,D002,Repeated climate stress,4,0.5735,1.2478,viable margin
E001,Temperate Forest,D002,Repeated climate stress,5,0.5764,1.2371,viable margin
E001,Temperate Forest,D002,Repeated climate stress,6,1.1589,1.1966,viable margin
E001,Temperate Forest,D002,Repeated climate stress,7,0.581,1.1857,viable margin
E001,Temperate Forest,D002,Repeated climate stress,8,0.5827,1.1747,viable margin
E001,Temperate Forest,D002,Repeated climate stress,9,0.584,1.1636,viable margin
E001,Temperate Forest,D002,Repeated climate stress,10,0.5847,1.1525,viable margin
E001,Temperate Forest,D002,Repeated climate stress,11,0.585,1.1413,viable margin
E001,Temperate Forest,D002,Repeated climate stress,12,1.1647,1.1005,viable margin
E001,Temperate Forest,D002,Repeated climate stress,13,0.584,1.0894,viable margin
E001,Temperate Forest,D002,Repeated climate stress,14,0.5827,1.0784,viable margin
E001,Temperate Forest,D002,Repeated climate stress,15,0.581,1.0675,viable margin
E001,Temperate Forest,D002,Repeated climate stress,16,0.5789,1.0567,viable margin
E001,Temperate Forest,D002,Repeated climate stress,17,0.5764,1.046,viable margin
E001,Temperate Forest,D002,Repeated climate stress,18,1.1535,1.0058,viable margin
E001,Temperate Forest,D002,Repeated climate stress,19,0.5704,0.9954,viable margin
E001,Temperate Forest,D002,Repeated climate stress,20,0.567,0.9851,viable margin
E001,Temperate Forest,D002,Repeated climate stress,21,0.5635,0.9751,viable margin
E001,Temperate Forest,D002,Repeated climate stress,22,0.56,0.9653,viable margin
E001,Temperate Forest,D002,Repeated climate stress,23,0.5564,0.9556,viable margin
E001,Temperate Forest,D002,Repeated climate stress,24,1.1329,0.9164,viable margin
E001,Temperate Forest,D002,Repeated climate stress,25,0.5496,0.9071,viable margin
E001,Temperate Forest,D002,Repeated climate stress,26,0.5465,0.8979,viable margin
E001,Temperate Forest,D002,Repeated climate stress,27,0.5436,0.8889,viable margin
E001,Temperate Forest,D002,Repeated climate stress,28,0.5411,0.88,viable margin
E001,Temperate Forest,D002,Repeated climate stress,29,0.5389,0.8712,viable margin
E001,Temperate Forest,D002,Repeated climate stress,30,1.1172,0.8329,viable margin
E001,Temperate Forest,D002,Repeated climate stress,31,0.536,0.8242,viable margin
E001,Temperate Forest,D002,Repeated climate stress,32,0.5352,0.8157,viable margin
E001,Temperate Forest,D002,Repeated climate stress,33,0.535,0.8071,viable margin
E001,Temperate Forest,D002,Repeated climate stress,34,0.5353,0.7985,viable margin
E001,Temperate Forest,D002,Repeated climate stress,35,0.536,0.7898,viable margin
E001,Temperate Forest,D002,Repeated climate stress,36,1.1173,0.7515,viable margin
E001,Temperate Forest,D002,Repeated climate stress,37,0.539,0.7427,viable margin
E001,Temperate Forest,D002,Repeated climate stress,38,0.5411,0.7338,viable margin
E001,Temperate Forest,D002,Repeated climate stress,39,0.5437,0.7248,viable margin
E001,Temperate Forest,D002,Repeated climate stress,40,0.5465,0.7156,viable margin
E001,Temperate Forest,D002,Repeated climate stress,41,0.5497,0.7063,viable margin
E001,Temperate Forest,D002,Repeated climate stress,42,1.133,0.6671,viable margin
E001,Temperate Forest,D002,Repeated climate stress,43,0.5565,0.6574,viable margin
E001,Temperate Forest,D002,Repeated climate stress,44,0.5601,0.6476,viable margin
E001,Temperate Forest,D002,Repeated climate stress,45,0.5636,0.6375,viable margin
E001,Temperate Forest,D002,Repeated climate stress,46,0.5671,0.6273,viable margin
E001,Temperate Forest,D002,Repeated climate stress,47,0.5704,0.6169,viable margin
E001,Temperate Forest,D002,Repeated climate stress,48,1.1536,0.5767,viable margin
E001,Temperate Forest,D002,Repeated climate stress,49,0.5764,0.566,viable margin
E001,Temperate Forest,D002,Repeated climate stress,50,0.5789,0.5552,viable margin
E001,Temperate Forest,D002,Repeated climate stress,51,0.5811,0.5442,viable margin
E001,Temperate Forest,D002,Repeated climate stress,52,0.5828,0.5332,viable margin
E001,Temperate Forest,D002,Repeated climate stress,53,0.584,0.5221,viable margin
