 time,basin_width,disturbance_load,regenerative_capacity,resilience_margin,threshold_flag
1, 0.8500, 0.1000, 0.3700, 1.1200,viable margin
2, 0.8466, 0.1049, 0.3800, 1.1217,viable margin
3, 0.8432, 0.1098, 0.3899, 1.1233,viable margin
4, 0.8399, 0.1147, 0.3997, 1.1249,viable margin
5, 0.8365, 0.1196, 0.4094, 1.1263,viable margin
6, 0.8331, 0.1245, 0.4189, 1.1275,viable margin
7, 0.8297, 0.1294, 0.4282, 1.1286,viable margin
8, 0.8263, 0.1342, 0.4374, 1.1295,viable margin
9, 0.8229, 0.1391, 0.4463, 1.1301,viable margin
10, 0.8196, 0.1440, 0.4549, 1.1305,viable margin
11, 0.8162, 0.1489, 0.4633, 1.1305,viable margin
12, 0.8128, 0.1538, 0.4713, 1.1303,viable margin
13, 0.8094, 0.1587, 0.4790, 1.1297,viable margin
14, 0.8060, 0.1636, 0.4863, 1.1288,viable margin
15, 0.8027, 0.1685, 0.4932, 1.1274,viable margin
16, 0.7993, 0.1734, 0.4997, 1.1256,viable margin
17, 0.7959, 0.1783, 0.5058, 1.1235,viable margin
18, 0.7925, 0.1832, 0.5115, 1.1208,viable margin
19, 0.7891, 0.1881, 0.5166, 1.1177,viable margin
20, 0.7858, 0.1929, 0.5213, 1.1141,viable margin
21, 0.7824, 0.1978, 0.5255, 1.1100,viable margin
22, 0.7790, 0.2027, 0.5292, 1.1054,viable margin
23, 0.7756, 0.2076, 0.5323, 1.1003,viable margin
24, 0.7722, 0.2125, 0.5349, 1.0947,viable margin
25, 0.7688, 0.2174, 0.5370, 1.0885,viable margin
26, 0.7655, 0.2223, 0.5386, 1.0817,viable margin
27, 0.7621, 0.2272, 0.5395, 1.0744,viable margin
28, 0.7587, 0.2321, 0.5400, 1.0666,viable margin
29, 0.7553, 0.2370, 0.5399, 1.0582,viable margin
30, 0.7519, 0.2419, 0.5392, 1.0492,viable margin
31, 0.7486, 0.2468, 0.5379, 1.0397,viable margin
