time_step,external_pressure,ecosystem_state,basin_width,disturbance_load,regenerative_capacity,resilience_margin,threshold_flag
1,-0.6,-0.9,0.85,0.1,0.36999,1.11999,viable margin
2,-0.58957,-0.94253,0.84662,0.10489,0.37996,1.12169,viable margin
3,-0.57914,-0.98146,0.84324,0.10978,0.38986,1.12331,viable margin
4,-0.56871,-1.0166,0.83986,0.11468,0.39967,1.12485,viable margin
5,-0.55827,-1.0479,0.83647,0.11957,0.40936,1.12627,viable margin
6,-0.54784,-1.07539,0.83309,0.12446,0.4189,1.12753,viable margin
7,-0.53741,-1.09923,0.82971,0.12935,0.42825,1.12861,viable margin
8,-0.52698,-1.11962,0.82633,0.13424,0.43739,1.12948,viable margin
9,-0.51655,-1.13685,0.82295,0.13914,0.4463,1.13011,viable margin
10,-0.50612,-1.15122,0.81957,0.14403,0.45493,1.13047,viable margin
11,-0.49568,-1.16304,0.81619,0.14892,0.46328,1.13055,viable margin
12,-0.48525,-1.17261,0.81281,0.15381,0.47131,1.1303,viable margin
13,-0.47482,-1.18022,0.80942,0.15871,0.47899,1.12971,viable margin
14,-0.46439,-1.18616,0.80604,0.1636,0.48631,1.12875,viable margin
15,-0.45396,-1.19065,0.80266,0.16849,0.49323,1.1274,viable margin
16,-0.44353,-1.19392,0.79928,0.17338,0.49975,1.12565,viable margin
17,-0.43309,-1.19614,0.7959,0.17827,0.50583,1.12346,viable margin
18,-0.42266,-1.19749,0.79252,0.18317,0.51146,1.12082,viable margin
19,-0.41223,-1.19811,0.78914,0.18806,0.51663,1.11771,viable margin
20,-0.4018,-1.1981,0.78576,0.19295,0.52131,1.11412,viable margin
21,-0.39137,-1.19758,0.78237,0.19784,0.5255,1.11003,viable margin
22,-0.38094,-1.19661,0.77899,0.20273,0.52917,1.10543,viable margin
23,-0.3705,-1.19528,0.77561,0.20763,0.53233,1.10031,viable margin
24,-0.36007,-1.19364,0.77223,0.21252,0.53495,1.09466,viable margin
25,-0.34964,-1.19174,0.76885,0.21741,0.53703,1.08847,viable margin
26,-0.33921,-1.18962,0.76547,0.2223,0.53857,1.08173,viable margin
27,-0.32878,-1.18731,0.76209,0.22719,0.53955,1.07444,viable margin
28,-0.31835,-1.18484,0.75871,0.23209,0.53998,1.0666,viable margin
29,-0.30791,-1.18223,0.75532,0.23698,0.53985,1.0582,viable margin
30,-0.29748,-1.17951,0.75194,0.24187,0.53917,1.04925,viable margin
31,-0.28705,-1.17669,0.74856,0.24676,0.53794,1.03974,viable margin
32,-0.27662,-1.17378,0.74518,0.25165,0.53616,1.02968,viable margin
33,-0.26619,-1.17078,0.7418,0.25655,0.53383,1.01908,viable margin
34,-0.25576,-1.16772,0.73842,0.26144,0.53097,1.00795,viable margin
35,-0.24532,-1.1646,0.73504,0.26633,0.52758,0.99629,viable margin
36,-0.23489,-1.16142,0.73165,0.27122,0.52367,0.98411,viable margin
37,-0.22446,-1.15819,0.72827,0.27612,0.51926,0.97142,viable margin
38,-0.21403,-1.15491,0.72489,0.28101,0.51436,0.95824,viable margin
39,-0.2036,-1.15159,0.72151,0.2859,0.50898,0.94459,viable margin
40,-0.19317,-1.14823,0.71813,0.29079,0.50314,0.93048,viable margin
41,-0.18273,-1.14482,0.71475,0.29568,0.49686,0.91592,viable margin
42,-0.1723,-1.14138,0.71137,0.30058,0.49016,0.90095,viable margin
43,-0.16187,-1.1379,0.70799,0.30547,0.48305,0.88557,viable margin
