time,engineering_state,pressure,ecological_state
1,1,-0.45,-0.9
2,0.82,-0.439076,-0.935004
3,0.6724,-0.428151,-0.966966
4,0.551368,-0.417227,-0.995804
5,0.452122,-0.406303,-1.02151
6,0.37074,-0.395378,-1.04417
7,0.304007,-0.384454,-1.0639
8,0.249285,-0.373529,-1.08088
9,0.204414,-0.362605,-1.09532
10,0.16762,-0.351681,-1.10744
11,0.137448,-0.340756,-1.11748
12,0.112707,-0.329832,-1.12566
13,0.0924201,-0.318908,-1.1322
14,0.0757844,-0.307983,-1.1373
15,0.0621432,-0.297059,-1.14115
16,0.0509575,-0.286134,-1.14392
17,0.0417851,-0.27521,-1.14575
18,0.0342638,-0.264286,-1.14678
19,0.0280963,-0.253361,-1.14711
20,0.023039,-0.242437,-1.14685
21,0.018892,-0.231513,-1.14609
22,0.0154914,-0.220588,-1.14488
23,0.012703,-0.209664,-1.1433
24,0.0104164,-0.198739,-1.1414
25,0.00854147,-0.187815,-1.13921
26,0.007004,-0.176891,-1.13679
27,0.00574328,-0.165966,-1.13416
28,0.00470949,-0.155042,-1.13135
29,0.00386178,-0.144118,-1.12837
30,0.00316666,-0.133193,-1.12526
31,0.00259666,-0.122269,-1.12202
32,0.00212926,-0.111345,-1.11867
33,0.001746,-0.10042,-1.11522
34,0.00143172,-0.0894958,-1.11168
35,0.00117401,-0.0785714,-1.10806
36,0.000962686,-0.0676471,-1.10436
37,0.000789403,-0.0567227,-1.10059
38,0.00064731,-0.0457983,-1.09676
39,0.000530794,-0.0348739,-1.09286
40,0.000435251,-0.0239496,-1.0889
41,0.000356906,-0.0130252,-1.08489
42,0.000292663,-0.00210084,-1.08082
43,0.000239984,0.00882353,-1.07669
44,0.000196787,0.0197479,-1.07251
45,0.000161365,0.0306723,-1.06828
46,0.000132319,0.0415966,-1.064
47,0.000108502,0.052521,-1.05967
48,8.89715e-05,0.0634454,-1.05528
49,7.29567e-05,0.0743697,-1.05085
50,5.98245e-05,0.0852941,-1.04636
51,4.90561e-05,0.0962185,-1.04181
52,4.0226e-05,0.107143,-1.03722
53,3.29853e-05,0.118067,-1.03257
54,2.70479e-05,0.128992,-1.02786
55,2.21793e-05,0.139916,-1.0231
56,1.8187e-05,0.15084,-1.01829
57,1.49134e-05,0.161765,-1.01341
58,1.2229e-05,0.172689,-1.00848
59,1.00277e-05,0.183613,-1.00348
60,8.22275e-06,0.194538,-0.998419
61,6.74266e-06,0.205462,-0.993296
62,5.52898e-06,0.216387,-0.988107
63,4.53376e-06,0.227311,-0.98285
64,3.71769e-06,0.238235,-0.977524
65,3.0485e-06,0.24916,-0.972126
66,2.49977e-06,0.260084,-0.966654
67,2.04981e-06,0.271008,-0.961107
68,1.68085e-06,0.281933,-0.955481
69,1.37829e-06,0.292857,-0.949774
70,1.1302e-06,0.303782,-0.943985
71,9.26765e-07,0.314706,-0.938109
72,7.59947e-07,0.32563,-0.932144
73,6.23157e-07,0.336555,-0.926088
74,5.10989e-07,0.347479,-0.919936
75,4.19011e-07,0.358403,-0.913686
76,3.43589e-07,0.369328,-0.907334
77,2.81743e-07,0.380252,-0.900877
78,2.31029e-07,0.391176,-0.89431
79,1.89444e-07,0.402101,-0.887629
80,1.55344e-07,0.413025,-0.880829
81,1.27382e-07,0.42395,-0.873908
82,1.04453e-07,0.434874,-0.866858
83,8.56517e-08,0.445798,-0.859676
84,7.02344e-08,0.456723,-0.852355
85,5.75922e-08,0.467647,-0.84489
86,4.72256e-08,0.478571,-0.837274
87,3.8725e-08,0.489496,-0.829502
88,3.17545e-08,0.50042,-0.821566
89,2.60387e-08,0.511345,-0.813458
90,2.13517e-08,0.522269,-0.805171
91,1.75084e-08,0.533193,-0.796696
92,1.43569e-08,0.544118,-0.788024
93,1.17727e-08,0.555042,-0.779146
94,9.65358e-09,0.565966,-0.770051
95,7.91593e-09,0.576891,-0.760728
96,6.49107e-09,0.587815,-0.751165
97,5.32267e-09,0.598739,-0.74135
98,4.36459e-09,0.609664,-0.731269
99,3.57897e-09,0.620588,-0.720907
100,2.93475e-09,0.631513,-0.710248
101,2.4065e-09,0.642437,-0.699276
102,1.97333e-09,0.653361,-0.687971
103,1.61813e-09,0.664286,-0.676314
104,1.32687e-09,0.67521,-0.664284
105,1.08803e-09,0.686134,-0.651856
106,8.92184e-10,0.697059,-0.639006
107,7.31591e-10,0.707983,-0.625706
108,5.99905e-10,0.718908,-0.611926
109,4.91922e-10,0.729832,-0.597633
110,4.03376e-10,0.740756,-0.582793
111,3.30768e-10,0.751681,-0.567365
112,2.7123e-10,0.762605,-0.551308
113,2.22409e-10,0.773529,-0.534575
114,1.82375e-10,0.784454,-0.517116
115,1.49548e-10,0.795378,-0.498874
116,1.22629e-10,0.806303,-0.479789
117,1.00556e-10,0.817227,-0.459794
118,8.24557e-11,0.828151,-0.438815
119,6.76137e-11,0.839076,-0.416771
120,5.54432e-11,0.85,-0.393574
