time,engineering_state
1,1.000000
2,0.820000
3,0.672400
4,0.551368
5,0.452122
6,0.370740
7,0.304007
8,0.249285
9,0.204414
10,0.167620
11,0.137448
12,0.112707
13,0.092420
14,0.075784
15,0.062143
16,0.050957
17,0.041785
18,0.034264
19,0.028096
20,0.023039
21,0.018892
22,0.015491
23,0.012703
24,0.010416
25,0.008541
26,0.007004
27,0.005743
28,0.004709
29,0.003862
30,0.003167
31,0.002597
32,0.002129
33,0.001746
34,0.001432
35,0.001174
36,0.000963
37,0.000789
38,0.000647
39,0.000531
40,0.000435
41,0.000357
42,0.000293
43,0.000240
44,0.000197
45,0.000161
46,0.000132
47,0.000109
48,0.000089
49,0.000073
50,0.000060
51,0.000049
52,0.000040
53,0.000033
54,0.000027
55,0.000022
56,0.000018
57,0.000015
58,0.000012
59,0.000010
60,0.000008
61,0.000007
62,0.000006
63,0.000005
64,0.000004
65,0.000003
66,0.000002
67,0.000002
68,0.000002
69,0.000001
70,0.000001
71,0.000001
72,0.000001
73,0.000001
74,0.000001
75,0.000000
76,0.000000
77,0.000000
78,0.000000
79,0.000000
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.000000
85,0.000000
86,0.000000
87,0.000000
88,0.000000
89,0.000000
90,0.000000
91,0.000000
92,0.000000
93,0.000000
94,0.000000
95,0.000000
96,0.000000
97,0.000000
98,0.000000
99,0.000000
100,0.000000
101,0.000000
102,0.000000
103,0.000000
104,0.000000
105,0.000000
106,0.000000
107,0.000000
108,0.000000
109,0.000000
110,0.000000
111,0.000000
112,0.000000
113,0.000000
114,0.000000
115,0.000000
116,0.000000
117,0.000000
118,0.000000
119,0.000000
120,0.000000
