system_id,system_type,scenario_id,scenario_name,time_step,resilience_margin,threshold_flag
S001,Hardened Infrastructure,D001,Short operational outage,1,0.7172,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,2,0.7144,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,3,0.7116,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,4,0.7088,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,5,0.706,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,6,0.7032,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,7,0.7004,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,8,0.6976,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,9,0.6948,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,10,0.692,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,11,0.6892,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,12,0.6752,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,13,0.6724,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,14,0.6696,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,15,0.6668,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,16,0.664,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,17,0.6612,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,18,0.6584,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,19,0.6556,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,20,0.6528,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,21,0.65,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,22,0.6472,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,23,0.6444,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,24,0.6303,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,25,0.6275,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,26,0.6247,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,27,0.6219,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,28,0.6191,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,29,0.6163,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,30,0.6135,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,31,0.6107,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,32,0.6079,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,33,0.6051,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,34,0.6023,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,35,0.5995,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,36,0.5855,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,37,0.5827,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,38,0.5799,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,39,0.5771,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,40,0.5743,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,41,0.5715,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,42,0.5687,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,43,0.5659,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,44,0.5631,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,45,0.5603,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,46,0.5575,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,47,0.5547,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,48,0.5406,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,49,0.5378,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,50,0.535,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,51,0.5322,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,52,0.5294,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,53,0.5266,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,54,0.5238,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,55,0.521,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,56,0.5182,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,57,0.5154,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,58,0.5126,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,59,0.5098,viable margin
S001,Hardened Infrastructure,D001,Short operational outage,60,0.507,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,1,0.6964,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,2,0.6728,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,3,0.6492,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,4,0.6256,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,5,0.602,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,6,0.5784,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,7,0.5548,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,8,0.5312,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,9,0.5076,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,10,0.484,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,11,0.4604,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,12,0.4136,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,13,0.39,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,14,0.3664,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,15,0.3428,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,16,0.3192,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,17,0.2956,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,18,0.272,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,19,0.2484,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,20,0.2248,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,21,0.2012,viable margin
S001,Hardened Infrastructure,D002,Repeated climate stress,22,0.1776,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,23,0.154,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,24,0.1071,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,25,0.0835,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,26,0.0599,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,27,0.0363,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,28,0.0127,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,29,-0.0109,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,30,-0.0345,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,31,-0.0581,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,32,-0.0817,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,33,-0.1053,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,34,-0.1289,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,35,-0.1525,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,36,-0.1993,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,37,-0.2229,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,38,-0.2465,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,39,-0.2701,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,40,-0.2937,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,41,-0.3173,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,42,-0.3409,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,43,-0.3645,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,44,-0.3881,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,45,-0.4117,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,46,-0.4353,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,47,-0.4589,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,48,-0.5058,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,49,-0.5294,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,50,-0.553,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,51,-0.5766,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,52,-0.6002,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,53,-0.6238,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,54,-0.6474,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,55,-0.671,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,56,-0.6946,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,57,-0.7182,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,58,-0.7418,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,59,-0.7654,threshold risk
S001,Hardened Infrastructure,D002,Repeated climate stress,60,-0.789,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,1,0.6889,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,2,0.6577,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,3,0.6266,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,4,0.5955,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,5,0.5643,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,6,0.5332,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,7,0.5021,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,8,0.471,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,9,0.4398,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,10,0.4087,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,11,0.3776,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,12,0.3187,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,13,0.2876,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,14,0.2564,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,15,0.2253,viable margin
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,16,0.1942,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,17,0.163,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,18,0.1319,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,19,0.1008,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,20,0.0696,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,21,0.0385,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,22,0.0074,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,23,-0.0238,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,24,-0.0826,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,25,-0.1138,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,26,-0.1449,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,27,-0.176,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,28,-0.2071,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,29,-0.2383,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,30,-0.2694,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,31,-0.3005,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,32,-0.3317,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,33,-0.3628,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,34,-0.3939,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,35,-0.4251,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,36,-0.4839,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,37,-0.5151,threshold risk
S001,Hardened Infrastructure,D003,Compound infrastructure-ecosystem shock,38,-0.5462,threshold risk
