 time,function_level,shock,adaptive_response,delayed_erosion
1, 0.95625, 0.05000, 0.46284, 0.07964
2, 1.00000, 0.05000, 0.46568, 0.07928
3, 1.00000, 0.05000, 0.46852, 0.07891
4, 1.00000, 0.05000, 0.47137, 0.07854
5, 1.00000, 0.05000, 0.47421, 0.07817
6, 1.00000, 0.05000, 0.47706, 0.07780
7, 1.00000, 0.05000, 0.47990, 0.07742
8, 1.00000, 0.05000, 0.48275, 0.07704
9, 1.00000, 0.05000, 0.48559, 0.07666
10, 1.00000, 0.05000, 0.48844, 0.07627
11, 1.00000, 0.05000, 0.49129, 0.07588
12, 1.00000, 0.05000, 0.49414, 0.07549
13, 1.00000, 0.05000, 0.49699, 0.07510
14, 1.00000, 0.05000, 0.49984, 0.07470
15, 1.00000, 0.05000, 0.50269, 0.07430
16, 1.00000, 0.05000, 0.50554, 0.07390
17, 1.00000, 0.05000, 0.50839, 0.07349
18, 1.00000, 0.05000, 0.51125, 0.07308
19, 1.00000, 0.05000, 0.51410, 0.07267
20, 0.96531, 0.34000, 0.51696, 0.07284
21, 1.00000, 0.05000, 0.51981, 0.07242
22, 1.00000, 0.05000, 0.52267, 0.07200
23, 1.00000, 0.05000, 0.52553, 0.07158
24, 1.00000, 0.05000, 0.52838, 0.07115
25, 1.00000, 0.05000, 0.53124, 0.07073
26, 1.00000, 0.05000, 0.53410, 0.07029
27, 1.00000, 0.05000, 0.53696, 0.06986
28, 1.00000, 0.05000, 0.53982, 0.06942
29, 1.00000, 0.05000, 0.54268, 0.06898
30, 1.00000, 0.05000, 0.54555, 0.06854
31, 1.00000, 0.05000, 0.54841, 0.06810
32, 1.00000, 0.05000, 0.55128, 0.06765
33, 1.00000, 0.05000, 0.55414, 0.06720
34, 1.00000, 0.05000, 0.55701, 0.06674
35, 1.00000, 0.05000, 0.55988, 0.06628
36, 1.00000, 0.05000, 0.56274, 0.06583
37, 1.00000, 0.05000, 0.56561, 0.06536
38, 1.00000, 0.05000, 0.56848, 0.06490
39, 1.00000, 0.05000, 0.57135, 0.06443
40, 1.00000, 0.05000, 0.57423, 0.06396
41, 1.00000, 0.05000, 0.57710, 0.06348
42, 1.00000, 0.05000, 0.57997, 0.06301
43, 1.00000, 0.05000, 0.58285, 0.06253
44, 1.00000, 0.05000, 0.58573, 0.06204
45, 1.00000, 0.05000, 0.58860, 0.06156
46, 1.00000, 0.05000, 0.59148, 0.06107
47, 1.00000, 0.05000, 0.59436, 0.06058
48, 1.00000, 0.05000, 0.59724, 0.06008
49, 1.00000, 0.05000, 0.60012, 0.05959
50, 0.98238, 0.34000, 0.60300, 0.05967
51, 1.00000, 0.05000, 0.60588, 0.05916
52, 1.00000, 0.05000, 0.60876, 0.05866
53, 1.00000, 0.05000, 0.61165, 0.05815
54, 1.00000, 0.05000, 0.61453, 0.05764
55, 1.00000, 0.05000, 0.61742, 0.05712
56, 1.00000, 0.05000, 0.62031, 0.05660
57, 1.00000, 0.05000, 0.62319, 0.05608
58, 1.00000, 0.05000, 0.62608, 0.05556
59, 1.00000, 0.05000, 0.62897, 0.05503
60, 1.00000, 0.05000, 0.63186, 0.05451
61, 1.00000, 0.05000, 0.63476, 0.05397
62, 1.00000, 0.05000, 0.63765, 0.05344
63, 1.00000, 0.05000, 0.64054, 0.05290
64, 1.00000, 0.05000, 0.64344, 0.05236
65, 1.00000, 0.05000, 0.64633, 0.05182
66, 1.00000, 0.05000, 0.64923, 0.05127
67, 1.00000, 0.05000, 0.65213, 0.05072
68, 1.00000, 0.05000, 0.65503, 0.05017
69, 1.00000, 0.05000, 0.65793, 0.04961
70, 1.00000, 0.05000, 0.66083, 0.04906
71, 1.00000, 0.05000, 0.66374, 0.04850
72, 1.00000, 0.05000, 0.66664, 0.04793
73, 1.00000, 0.05000, 0.66955, 0.04737
74, 1.00000, 0.05000, 0.67245, 0.04680
75, 1.00000, 0.05000, 0.67536, 0.04622
76, 1.00000, 0.05000, 0.67827, 0.04565
77, 1.00000, 0.05000, 0.68118, 0.04507
78, 1.00000, 0.05000, 0.68409, 0.04449
79, 1.00000, 0.05000, 0.68700, 0.04390
80, 1.00000, 0.05000, 0.68991, 0.04332
