simulation_id,framework_id,framework,rank,metric_value,winner
0,RM005,Hybrid Structural and Dynamic Assessment,1,6.50364,Hybrid Structural and Dynamic Assessment
0,RM003,Scenario Stress-Test Framework,2,6.03256,Hybrid Structural and Dynamic Assessment
0,RM004,Participatory Resilience Assessment,3,5.99614,Hybrid Structural and Dynamic Assessment
0,RM002,Performance and Recovery Monitoring,4,5.93041,Hybrid Structural and Dynamic Assessment
0,RM001,Indicator Dashboard,5,5.46235,Hybrid Structural and Dynamic Assessment
1,RM005,Hybrid Structural and Dynamic Assessment,1,6.62586,Hybrid Structural and Dynamic Assessment
1,RM004,Participatory Resilience Assessment,2,6.61618,Hybrid Structural and Dynamic Assessment
1,RM003,Scenario Stress-Test Framework,3,6.24378,Hybrid Structural and Dynamic Assessment
1,RM002,Performance and Recovery Monitoring,4,6.13842,Hybrid Structural and Dynamic Assessment
1,RM001,Indicator Dashboard,5,5.61644,Hybrid Structural and Dynamic Assessment
2,RM005,Hybrid Structural and Dynamic Assessment,1,7.00205,Hybrid Structural and Dynamic Assessment
2,RM004,Participatory Resilience Assessment,2,6.25914,Hybrid Structural and Dynamic Assessment
2,RM003,Scenario Stress-Test Framework,3,6.14467,Hybrid Structural and Dynamic Assessment
2,RM002,Performance and Recovery Monitoring,4,5.72721,Hybrid Structural and Dynamic Assessment
2,RM001,Indicator Dashboard,5,5.67757,Hybrid Structural and Dynamic Assessment
3,RM005,Hybrid Structural and Dynamic Assessment,1,7.01203,Hybrid Structural and Dynamic Assessment
3,RM004,Participatory Resilience Assessment,2,6.1802,Hybrid Structural and Dynamic Assessment
3,RM003,Scenario Stress-Test Framework,3,5.94054,Hybrid Structural and Dynamic Assessment
3,RM002,Performance and Recovery Monitoring,4,5.91999,Hybrid Structural and Dynamic Assessment
3,RM001,Indicator Dashboard,5,5.77032,Hybrid Structural and Dynamic Assessment
4,RM005,Hybrid Structural and Dynamic Assessment,1,6.77488,Hybrid Structural and Dynamic Assessment
4,RM004,Participatory Resilience Assessment,2,6.23068,Hybrid Structural and Dynamic Assessment
4,RM003,Scenario Stress-Test Framework,3,6.18043,Hybrid Structural and Dynamic Assessment
4,RM002,Performance and Recovery Monitoring,4,5.9116,Hybrid Structural and Dynamic Assessment
