framework_id,framework,framework_type,resistance_coverage,recovery_insight,adaptive_capacity_visibility,buffer_visibility,justice_visibility,data_quality_transparency,threshold_blindness,critical_use,metric_value,scenario,rank
RM005,Hybrid Structural and Dynamic Assessment,hybrid-system-dynamics,8.5,8.4,8.7,8.2,8.1,8.5,3.2,connecting indicators feedback loops performance thresholds and decision triggers,7.314,Adaptation-first,1
RM004,Participatory Resilience Assessment,mixed-methods,7.2,7.5,8.3,7.5,8.8,7.1,4.3,capturing local knowledge legitimacy distribution and lived warning signals,6.669999999999999,Adaptation-first,2
RM003,Scenario Stress-Test Framework,scenario-based,8,7.6,8.1,7.9,7.2,7.4,3.9,testing future compound shocks and changing baseline conditions,6.658,Adaptation-first,3
RM002,Performance and Recovery Monitoring,performance-based,7.1,8.8,7.2,7.3,6.9,7.8,4.6,tracking actual system behavior during and after disruption,6.23,Adaptation-first,4
RM001,Indicator Dashboard,indicator-based,7.8,7,7.4,7.6,6.8,7.2,5.2,monitoring broad resilience capacity before major disturbance,6.087999999999999,Adaptation-first,5
RM005,Hybrid Structural and Dynamic Assessment,hybrid-system-dynamics,8.5,8.4,8.7,8.2,8.1,8.5,3.2,connecting indicators feedback loops performance thresholds and decision triggers,6.780999999999999,Balanced,1
RM003,Scenario Stress-Test Framework,scenario-based,8,7.6,8.1,7.9,7.2,7.4,3.9,testing future compound shocks and changing baseline conditions,6.107,Balanced,2
RM004,Participatory Resilience Assessment,mixed-methods,7.2,7.5,8.3,7.5,8.8,7.1,4.3,capturing local knowledge legitimacy distribution and lived warning signals,6.057,Balanced,3
RM002,Performance and Recovery Monitoring,performance-based,7.1,8.8,7.2,7.3,6.9,7.8,4.6,tracking actual system behavior during and after disruption,5.824000000000001,Balanced,4
RM001,Indicator Dashboard,indicator-based,7.8,7,7.4,7.6,6.8,7.2,5.2,monitoring broad resilience capacity before major disturbance,5.5680000000000005,Balanced,5
RM005,Hybrid Structural and Dynamic Assessment,hybrid-system-dynamics,8.5,8.4,8.7,8.2,8.1,8.5,3.2,connecting indicators feedback loops performance thresholds and decision triggers,6.939999999999999,Justice-visible,1
RM004,Participatory Resilience Assessment,mixed-methods,7.2,7.5,8.3,7.5,8.8,7.1,4.3,capturing local knowledge legitimacy distribution and lived warning signals,6.553,Justice-visible,2
RM003,Scenario Stress-Test Framework,scenario-based,8,7.6,8.1,7.9,7.2,7.4,3.9,testing future compound shocks and changing baseline conditions,6.203,Justice-visible,3
RM002,Performance and Recovery Monitoring,performance-based,7.1,8.8,7.2,7.3,6.9,7.8,4.6,tracking actual system behavior during and after disruption,5.912000000000001,Justice-visible,4
RM001,Indicator Dashboard,indicator-based,7.8,7,7.4,7.6,6.8,7.2,5.2,monitoring broad resilience capacity before major disturbance,5.688,Justice-visible,5
RM005,Hybrid Structural and Dynamic Assessment,hybrid-system-dynamics,8.5,8.4,8.7,8.2,8.1,8.5,3.2,connecting indicators feedback loops performance thresholds and decision triggers,7.241999999999999,Recovery-first,1
RM002,Performance and Recovery Monitoring,performance-based,7.1,8.8,7.2,7.3,6.9,7.8,4.6,tracking actual system behavior during and after disruption,6.614000000000001,Recovery-first,2
RM003,Scenario Stress-Test Framework,scenario-based,8,7.6,8.1,7.9,7.2,7.4,3.9,testing future compound shocks and changing baseline conditions,6.537999999999999,Recovery-first,3
RM004,Participatory Resilience Assessment,mixed-methods,7.2,7.5,8.3,7.5,8.8,7.1,4.3,capturing local knowledge legitimacy distribution and lived warning signals,6.477999999999999,Recovery-first,4
RM001,Indicator Dashboard,indicator-based,7.8,7,7.4,7.6,6.8,7.2,5.2,monitoring broad resilience capacity before major disturbance,5.992000000000001,Recovery-first,5
RM005,Hybrid Structural and Dynamic Assessment,hybrid-system-dynamics,8.5,8.4,8.7,8.2,8.1,8.5,3.2,connecting indicators feedback loops performance thresholds and decision triggers,7.479000000000001,Structural-balance,1
RM003,Scenario Stress-Test Framework,scenario-based,8,7.6,8.1,7.9,7.2,7.4,3.9,testing future compound shocks and changing baseline conditions,6.862999999999999,Structural-balance,2
RM004,Participatory Resilience Assessment,mixed-methods,7.2,7.5,8.3,7.5,8.8,7.1,4.3,capturing local knowledge legitimacy distribution and lived warning signals,6.724,Structural-balance,3
RM002,Performance and Recovery Monitoring,performance-based,7.1,8.8,7.2,7.3,6.9,7.8,4.6,tracking actual system behavior during and after disruption,6.481999999999999,Structural-balance,4
RM001,Indicator Dashboard,indicator-based,7.8,7,7.4,7.6,6.8,7.2,5.2,monitoring broad resilience capacity before major disturbance,6.395999999999999,Structural-balance,5
RM005,Hybrid Structural and Dynamic Assessment,hybrid-system-dynamics,8.5,8.4,8.7,8.2,8.1,8.5,3.2,connecting indicators feedback loops performance thresholds and decision triggers,4.111,Threshold-sensitive,1
RM003,Scenario Stress-Test Framework,scenario-based,8,7.6,8.1,7.9,7.2,7.4,3.9,testing future compound shocks and changing baseline conditions,3.4259999999999997,Threshold-sensitive,2
RM004,Participatory Resilience Assessment,mixed-methods,7.2,7.5,8.3,7.5,8.8,7.1,4.3,capturing local knowledge legitimacy distribution and lived warning signals,3.294999999999999,Threshold-sensitive,3
RM002,Performance and Recovery Monitoring,performance-based,7.1,8.8,7.2,7.3,6.9,7.8,4.6,tracking actual system behavior during and after disruption,3.0279999999999996,Threshold-sensitive,4
RM001,Indicator Dashboard,indicator-based,7.8,7,7.4,7.6,6.8,7.2,5.2,monitoring broad resilience capacity before major disturbance,2.6840000000000006,Threshold-sensitive,5
