 time,exposure,capacity,protection,ecology,trust,lock_in,justice_gap,justice_adjusted_resilience
1, 0.59604, 0.90040, 0.90962, 0.94841, 0.56118, 0.20419, 0.00000, 0.76870
2, 0.46521, 0.96080, 0.96165, 0.99818, 0.62445, 0.12626, 0.00000, 0.83083
3, 0.32738, 1.00000, 1.00000, 1.00000, 0.68925, 0.04696, 0.00000, 0.88037
4, 0.18574, 1.00000, 1.00000, 1.00000, 0.75405, 0.00000, 0.00000, 0.91666
5, 0.04294, 1.00000, 1.00000, 1.00000, 0.81885, 0.00000, 0.00000, 0.94842
6, 0.00000, 1.00000, 1.00000, 1.00000, 0.88365, 0.00000, 0.00000, 0.96620
7, 0.00000, 1.00000, 1.00000, 1.00000, 0.94845, 0.00000, 0.00000, 0.97797
8, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
9, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
10, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
11, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
12, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
13, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
14, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
15, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
16, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
17, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
18, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
19, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
20, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
21, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
22, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
23, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
24, 0.00000, 1.00000, 1.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.98733
