dynamic_id,pathway,time,shock,climate_pressure,exposure,institutional_capacity,social_protection,ecological_repair,governance_legitimacy,trust,burden_shift,lock_in_risk,transformation_capacity,justice_gap,justice_adjusted_resilience
JTD001,Technical decarbonization only,0,0.03134,0.18784,0.53791,0.62146,0.43163,0.61884,0.46,0.49973,0.66,0.56753,0.59907,0.2905,0.46266
JTD001,Technical decarbonization only,1,0.03651,0.19513,0.45094,0.66276,0.44481,0.65853,0.46,0.49982,0.66,0.51375,0.61408,0.25782,0.49988
JTD001,Technical decarbonization only,2,0.03007,0.19952,0.3589,0.70426,0.45978,0.69915,0.46,0.50071,0.66,0.45835,0.62958,0.22342,0.53906
JTD001,Technical decarbonization only,3,0.03566,0.20691,0.2618,0.74559,0.47629,0.74062,0.46,0.50209,0.66,0.40165,0.64542,0.18742,0.57998
JTD001,Technical decarbonization only,4,0.04505,0.21526,0.1596,0.78664,0.49426,0.7829,0.46,0.50391,0.66,0.34374,0.66157,0.14985,0.6226
JTD001,Technical decarbonization only,5,0.04388,0.22097,0.05214,0.82772,0.51389,0.82607,0.46,0.50655,0.66,0.28437,0.67815,0.11058,0.66714
JTD001,Technical decarbonization only,6,0.0394,0.22585,0.0,0.86894,0.53526,0.87015,0.46,0.51018,0.66,0.22344,0.69521,0.08168,0.70277
JTD001,Technical decarbonization only,7,0.04507,0.23327,0.0,0.90999,0.55816,0.91507,0.46,0.51455,0.66,0.16122,0.71264,0.06262,0.7299
JTD001,Technical decarbonization only,8,0.03902,0.23776,0.0,0.95122,0.58282,0.9609,0.46,0.5201,0.66,0.0974,0.73058,0.04287,0.75811
JTD001,Technical decarbonization only,9,0.04729,0.24582,0.0,0.9922,0.60897,1.0,0.46,0.52644,0.66,0.03235,0.74796,0.02255,0.78561
JTD001,Technical decarbonization only,10,0.0422,0.25055,0.0,1.0,0.63552,1.0,0.46,0.53399,0.66,0.0,0.75419,0.01001,0.79884
JTD001,Technical decarbonization only,11,0.03279,0.2542,0.0,1.0,0.66227,1.0,0.46,0.5429,0.66,0.0,0.759,0.00519,0.80719
JTD001,Technical decarbonization only,12,0.28,0.322,0.0,1.0,0.68407,1.0,0.46,0.54526,0.66,0.0,0.76248,0.00127,0.81312
JTD001,Technical decarbonization only,13,0.03954,0.26788,0.0,1.0,0.71068,1.0,0.46,0.5559,0.66,0.0,0.76743,0.0,0.82105
JTD001,Technical decarbonization only,14,0.04072,0.27418,0.0,1.0,0.73726,1.0,0.46,0.56757,0.66,0.0,0.77247,0.0,0.82891
JTD001,Technical decarbonization only,15,0.0343,0.27858,0.0,1.0,0.76398,1.0,0.46,0.5805,0.66,0.0,0.77764,0.0,0.83703
JTD001,Technical decarbonization only,16,0.04391,0.28698,0.0,1.0,0.7905,1.0,0.46,0.5942,0.66,0.0,0.78285,0.0,0.84525
JTD001,Technical decarbonization only,17,0.03378,0.29044,0.0,1.0,0.81722,1.0,0.46,0.60928,0.66,0.0,0.78822,0.0,0.85376
