scenario,pathway_id,pathway,rank,just_transformation_value,justice_gap,adjusted_value,diagnostic,critical_function
Balanced,JTR004,Participatory Retreat and Wetland Restoration,1,8.428,0.97,7.458,just transformation candidate,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration
Balanced,JTR002,Just Energy Transition with Worker Support,2,8.206,0.968,7.238,just transformation candidate,pairs decarbonization with labor protection regional investment affordability and public accountability
Balanced,JTR010,Infrastructure Repair and Public Capacity Renewal,3,8.17,0.966,7.204,just transformation candidate,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction
Balanced,JTR006,Climate Retrofit with Anti-Displacement Policy,4,8.209,1.01,7.199,just transformation candidate,combines building retrofits cooling energy affordability and anti-displacement protections
Balanced,JTR009,Ecosystem Restoration with Community Stewardship,5,8.211,1.098,7.113,just transformation candidate,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards
Balanced,JTR008,Public Digital Infrastructure with Community Oversight,6,7.906,1.004,6.902,just transformation candidate,uses accountable digital systems to support access transparency fallback capacity and public oversight
Balanced,JTR005,Green Infrastructure Without Housing Protection,7,6.412,3.778,2.634,high justice-gap review needed,improves ecological and climate function but risks green displacement without housing safeguards
Balanced,JTR001,Technical Decarbonization Only,8,6.086,4.122,1.964,high justice-gap review needed,reduces emissions through technical substitution but provides weak worker community and governance safeguards
Balanced,JTR007,Digital Modernization Without Access Safeguards,9,5.838,4.15,1.688,high justice-gap review needed,modernizes service systems but risks exclusion surveillance and digital dependency
Balanced,JTR003,Coastal Retreat Without Long-Term Support,10,5.807,4.382,1.425,high justice-gap review needed,reduces physical exposure but risks displacement cultural loss and insufficient support
Transformation-first,JTR004,Participatory Retreat and Wetland Restoration,1,8.636,0.97,7.666,just transformation candidate,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration
Transformation-first,JTR002,Just Energy Transition with Worker Support,2,8.416,0.968,7.448,just transformation candidate,pairs decarbonization with labor protection regional investment affordability and public accountability
Transformation-first,JTR006,Climate Retrofit with Anti-Displacement Policy,3,8.36,1.01,7.35,just transformation candidate,combines building retrofits cooling energy affordability and anti-displacement protections
Transformation-first,JTR010,Infrastructure Repair and Public Capacity Renewal,4,8.302,0.966,7.336,just transformation candidate,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction
Transformation-first,JTR009,Ecosystem Restoration with Community Stewardship,5,8.403,1.098,7.305,just transformation candidate,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards
Transformation-first,JTR008,Public Digital Infrastructure with Community Oversight,6,8.086,1.004,7.082,just transformation candidate,uses accountable digital systems to support access transparency fallback capacity and public oversight
Transformation-first,JTR005,Green Infrastructure Without Housing Protection,7,6.766,3.778,2.988,high justice-gap review needed,improves ecological and climate function but risks green displacement without housing safeguards
Transformation-first,JTR001,Technical Decarbonization Only,8,6.57,4.122,2.448,high justice-gap review needed,reduces emissions through technical substitution but provides weak worker community and governance safeguards
Transformation-first,JTR007,Digital Modernization Without Access Safeguards,9,6.314,4.15,2.164,high justice-gap review needed,modernizes service systems but risks exclusion surveillance and digital dependency
Transformation-first,JTR003,Coastal Retreat Without Long-Term Support,10,6.207,4.382,1.825,high justice-gap review needed,reduces physical exposure but risks displacement cultural loss and insufficient support
Equity-first,JTR004,Participatory Retreat and Wetland Restoration,1,8.671,0.97,7.701,just transformation candidate,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration
Equity-first,JTR002,Just Energy Transition with Worker Support,2,8.515,0.968,7.547,just transformation candidate,pairs decarbonization with labor protection regional investment affordability and public accountability
Equity-first,JTR006,Climate Retrofit with Anti-Displacement Policy,3,8.551,1.01,7.541,just transformation candidate,combines building retrofits cooling energy affordability and anti-displacement protections
Equity-first,JTR010,Infrastructure Repair and Public Capacity Renewal,4,8.463,0.966,7.497,just transformation candidate,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction
Equity-first,JTR009,Ecosystem Restoration with Community Stewardship,5,8.451,1.098,7.353,just transformation candidate,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards
Equity-first,JTR008,Public Digital Infrastructure with Community Oversight,6,8.229,1.004,7.225,just transformation candidate,uses accountable digital systems to support access transparency fallback capacity and public oversight
Equity-first,JTR005,Green Infrastructure Without Housing Protection,7,6.355,3.778,2.577,high justice-gap review needed,improves ecological and climate function but risks green displacement without housing safeguards
Equity-first,JTR001,Technical Decarbonization Only,8,5.986,4.122,1.864,high justice-gap review needed,reduces emissions through technical substitution but provides weak worker community and governance safeguards
Equity-first,JTR007,Digital Modernization Without Access Safeguards,9,5.83,4.15,1.68,high justice-gap review needed,modernizes service systems but risks exclusion surveillance and digital dependency
Equity-first,JTR003,Coastal Retreat Without Long-Term Support,10,5.715,4.382,1.333,high justice-gap review needed,reduces physical exposure but risks displacement cultural loss and insufficient support
Ecological-repair-first,JTR004,Participatory Retreat and Wetland Restoration,1,8.615,0.97,7.645,just transformation candidate,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration
Ecological-repair-first,JTR009,Ecosystem Restoration with Community Stewardship,2,8.472,1.098,7.374,just transformation candidate,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards
Ecological-repair-first,JTR006,Climate Retrofit with Anti-Displacement Policy,3,8.16,1.01,7.15,just transformation candidate,combines building retrofits cooling energy affordability and anti-displacement protections
Ecological-repair-first,JTR002,Just Energy Transition with Worker Support,4,8.108,0.968,7.14,just transformation candidate,pairs decarbonization with labor protection regional investment affordability and public accountability
Ecological-repair-first,JTR010,Infrastructure Repair and Public Capacity Renewal,5,8.083,0.966,7.117,just transformation candidate,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction
Ecological-repair-first,JTR008,Public Digital Infrastructure with Community Oversight,6,7.736,1.004,6.732,just transformation candidate,uses accountable digital systems to support access transparency fallback capacity and public oversight
Ecological-repair-first,JTR005,Green Infrastructure Without Housing Protection,7,6.774,3.778,2.996,high justice-gap review needed,improves ecological and climate function but risks green displacement without housing safeguards
Ecological-repair-first,JTR001,Technical Decarbonization Only,8,6.208,4.122,2.086,high justice-gap review needed,reduces emissions through technical substitution but provides weak worker community and governance safeguards
Ecological-repair-first,JTR007,Digital Modernization Without Access Safeguards,9,5.774,4.15,1.624,high justice-gap review needed,modernizes service systems but risks exclusion surveillance and digital dependency
Ecological-repair-first,JTR003,Coastal Retreat Without Long-Term Support,10,5.847,4.382,1.465,high justice-gap review needed,reduces physical exposure but risks displacement cultural loss and insufficient support
Governance-first,JTR004,Participatory Retreat and Wetland Restoration,1,8.61,0.97,7.64,just transformation candidate,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration
Governance-first,JTR010,Infrastructure Repair and Public Capacity Renewal,2,8.4,0.966,7.434,just transformation candidate,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction
Governance-first,JTR006,Climate Retrofit with Anti-Displacement Policy,3,8.411,1.01,7.401,just transformation candidate,combines building retrofits cooling energy affordability and anti-displacement protections
Governance-first,JTR002,Just Energy Transition with Worker Support,4,8.357,0.968,7.389,just transformation candidate,pairs decarbonization with labor protection regional investment affordability and public accountability
Governance-first,JTR009,Ecosystem Restoration with Community Stewardship,5,8.396,1.098,7.298,just transformation candidate,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards
Governance-first,JTR008,Public Digital Infrastructure with Community Oversight,6,8.213,1.004,7.209,just transformation candidate,uses accountable digital systems to support access transparency fallback capacity and public oversight
Governance-first,JTR005,Green Infrastructure Without Housing Protection,7,6.257,3.778,2.479,high justice-gap review needed,improves ecological and climate function but risks green displacement without housing safeguards
Governance-first,JTR001,Technical Decarbonization Only,8,6.032,4.122,1.91,high justice-gap review needed,reduces emissions through technical substitution but provides weak worker community and governance safeguards
Governance-first,JTR007,Digital Modernization Without Access Safeguards,9,5.738,4.15,1.588,high justice-gap review needed,modernizes service systems but risks exclusion surveillance and digital dependency
Governance-first,JTR003,Coastal Retreat Without Long-Term Support,10,5.623,4.382,1.241,high justice-gap review needed,reduces physical exposure but risks displacement cultural loss and insufficient support
Livelihood-first,JTR004,Participatory Retreat and Wetland Restoration,1,8.626,0.97,7.656,just transformation candidate,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration
Livelihood-first,JTR002,Just Energy Transition with Worker Support,2,8.562,0.968,7.594,just transformation candidate,pairs decarbonization with labor protection regional investment affordability and public accountability
Livelihood-first,JTR010,Infrastructure Repair and Public Capacity Renewal,3,8.44,0.966,7.474,just transformation candidate,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction
Livelihood-first,JTR006,Climate Retrofit with Anti-Displacement Policy,4,8.378,1.01,7.368,just transformation candidate,combines building retrofits cooling energy affordability and anti-displacement protections
Livelihood-first,JTR009,Ecosystem Restoration with Community Stewardship,5,8.362,1.098,7.264,just transformation candidate,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards
Livelihood-first,JTR008,Public Digital Infrastructure with Community Oversight,6,8.182,1.004,7.178,just transformation candidate,uses accountable digital systems to support access transparency fallback capacity and public oversight
Livelihood-first,JTR005,Green Infrastructure Without Housing Protection,7,6.313,3.778,2.535,high justice-gap review needed,improves ecological and climate function but risks green displacement without housing safeguards
Livelihood-first,JTR001,Technical Decarbonization Only,8,5.85,4.122,1.728,high justice-gap review needed,reduces emissions through technical substitution but provides weak worker community and governance safeguards
Livelihood-first,JTR007,Digital Modernization Without Access Safeguards,9,5.744,4.15,1.594,high justice-gap review needed,modernizes service systems but risks exclusion surveillance and digital dependency
Livelihood-first,JTR003,Coastal Retreat Without Long-Term Support,10,5.673,4.382,1.291,high justice-gap review needed,reduces physical exposure but risks displacement cultural loss and insufficient support
Exposure-reduction-first,JTR004,Participatory Retreat and Wetland Restoration,1,8.746,0.97,7.776,just transformation candidate,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration
Exposure-reduction-first,JTR006,Climate Retrofit with Anti-Displacement Policy,2,8.522,1.01,7.512,just transformation candidate,combines building retrofits cooling energy affordability and anti-displacement protections
Exposure-reduction-first,JTR010,Infrastructure Repair and Public Capacity Renewal,3,8.44,0.966,7.474,just transformation candidate,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction
Exposure-reduction-first,JTR002,Just Energy Transition with Worker Support,4,8.418,0.968,7.45,just transformation candidate,pairs decarbonization with labor protection regional investment affordability and public accountability
Exposure-reduction-first,JTR009,Ecosystem Restoration with Community Stewardship,5,8.506,1.098,7.408,just transformation candidate,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards
Exposure-reduction-first,JTR008,Public Digital Infrastructure with Community Oversight,6,8.038,1.004,7.034,just transformation candidate,uses accountable digital systems to support access transparency fallback capacity and public oversight
Exposure-reduction-first,JTR005,Green Infrastructure Without Housing Protection,7,6.745,3.778,2.967,high justice-gap review needed,improves ecological and climate function but risks green displacement without housing safeguards
Exposure-reduction-first,JTR001,Technical Decarbonization Only,8,6.378,4.122,2.256,high justice-gap review needed,reduces emissions through technical substitution but provides weak worker community and governance safeguards
Exposure-reduction-first,JTR003,Coastal Retreat Without Long-Term Support,9,6.297,4.382,1.915,high justice-gap review needed,reduces physical exposure but risks displacement cultural loss and insufficient support
Exposure-reduction-first,JTR007,Digital Modernization Without Access Safeguards,10,6.032,4.15,1.882,high justice-gap review needed,modernizes service systems but risks exclusion surveillance and digital dependency
Burden-sensitive,JTR004,Participatory Retreat and Wetland Restoration,1,7.428,0.97,6.458,just transformation candidate,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration
Burden-sensitive,JTR002,Just Energy Transition with Worker Support,2,7.23,0.968,6.262,just transformation candidate,pairs decarbonization with labor protection regional investment affordability and public accountability
Burden-sensitive,JTR010,Infrastructure Repair and Public Capacity Renewal,3,7.203,0.966,6.237,just transformation candidate,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction
Burden-sensitive,JTR006,Climate Retrofit with Anti-Displacement Policy,4,7.243,1.01,6.233,just transformation candidate,combines building retrofits cooling energy affordability and anti-displacement protections
Burden-sensitive,JTR009,Ecosystem Restoration with Community Stewardship,5,7.218,1.098,6.12,just transformation candidate,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards
Burden-sensitive,JTR008,Public Digital Infrastructure with Community Oversight,6,6.951,1.004,5.947,just transformation candidate,uses accountable digital systems to support access transparency fallback capacity and public oversight
Burden-sensitive,JTR005,Green Infrastructure Without Housing Protection,7,5.2,3.778,1.422,high justice-gap review needed,improves ecological and climate function but risks green displacement without housing safeguards
Burden-sensitive,JTR001,Technical Decarbonization Only,8,4.864,4.122,0.742,high justice-gap review needed,reduces emissions through technical substitution but provides weak worker community and governance safeguards
Burden-sensitive,JTR007,Digital Modernization Without Access Safeguards,9,4.61,4.15,0.46,high justice-gap review needed,modernizes service systems but risks exclusion surveillance and digital dependency
Burden-sensitive,JTR003,Coastal Retreat Without Long-Term Support,10,4.556,4.382,0.174,high justice-gap review needed,reduces physical exposure but risks displacement cultural loss and insufficient support
Implementation-aware,JTR004,Participatory Retreat and Wetland Restoration,1,8.165,0.97,7.195,just transformation candidate,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration
Implementation-aware,JTR002,Just Energy Transition with Worker Support,2,7.951,0.968,6.983,just transformation candidate,pairs decarbonization with labor protection regional investment affordability and public accountability
Implementation-aware,JTR010,Infrastructure Repair and Public Capacity Renewal,3,7.923,0.966,6.957,just transformation candidate,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction
Implementation-aware,JTR006,Climate Retrofit with Anti-Displacement Policy,4,7.961,1.01,6.951,just transformation candidate,combines building retrofits cooling energy affordability and anti-displacement protections
Implementation-aware,JTR009,Ecosystem Restoration with Community Stewardship,5,7.959,1.098,6.861,just transformation candidate,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards
Implementation-aware,JTR008,Public Digital Infrastructure with Community Oversight,6,7.668,1.004,6.664,just transformation candidate,uses accountable digital systems to support access transparency fallback capacity and public oversight
Implementation-aware,JTR005,Green Infrastructure Without Housing Protection,7,6.252,3.778,2.474,high justice-gap review needed,improves ecological and climate function but risks green displacement without housing safeguards
Implementation-aware,JTR001,Technical Decarbonization Only,8,5.95,4.122,1.828,high justice-gap review needed,reduces emissions through technical substitution but provides weak worker community and governance safeguards
Implementation-aware,JTR007,Digital Modernization Without Access Safeguards,9,5.706,4.15,1.556,high justice-gap review needed,modernizes service systems but risks exclusion surveillance and digital dependency
