simulation_id,pathway_id,pathway,rank,adjusted_value,justice_gap
0,JTR010,Infrastructure Repair and Public Capacity Renewal,1,7.31809,1.15027
0,JTR008,Public Digital Infrastructure with Community Oversight,2,7.11909,1.03583
0,JTR002,Just Energy Transition with Worker Support,3,7.02925,1.23281
0,JTR006,Climate Retrofit with Anti-Displacement Policy,4,6.83907,1.40812
0,JTR004,Participatory Retreat and Wetland Restoration,5,6.78523,1.30385
0,JTR009,Ecosystem Restoration with Community Stewardship,6,6.54991,1.38929
0,JTR005,Green Infrastructure Without Housing Protection,7,2.95997,3.62675
0,JTR001,Technical Decarbonization Only,8,1.72251,4.28485
0,JTR003,Coastal Retreat Without Long-Term Support,9,1.35154,4.44246
0,JTR007,Digital Modernization Without Access Safeguards,10,1.32764,4.39942
1,JTR004,Participatory Retreat and Wetland Restoration,1,7.67267,1.05194
1,JTR006,Climate Retrofit with Anti-Displacement Policy,2,7.12494,1.12273
1,JTR002,Just Energy Transition with Worker Support,3,7.03121,1.1172
1,JTR009,Ecosystem Restoration with Community Stewardship,4,7.02136,1.08768
1,JTR010,Infrastructure Repair and Public Capacity Renewal,5,6.86338,1.31756
1,JTR008,Public Digital Infrastructure with Community Oversight,6,6.57366,1.27169
1,JTR005,Green Infrastructure Without Housing Protection,7,2.49273,3.83017
1,JTR001,Technical Decarbonization Only,8,2.36579,3.8918
1,JTR007,Digital Modernization Without Access Safeguards,9,1.88256,4.28362
1,JTR003,Coastal Retreat Without Long-Term Support,10,1.46678,4.39454
2,JTR006,Climate Retrofit with Anti-Displacement Policy,1,7.62178,1.0258
2,JTR004,Participatory Retreat and Wetland Restoration,2,7.49386,0.93836
2,JTR002,Just Energy Transition with Worker Support,3,7.28024,1.03173
2,JTR010,Infrastructure Repair and Public Capacity Renewal,4,6.76297,1.30657
2,JTR009,Ecosystem Restoration with Community Stewardship,5,6.59352,1.31043
2,JTR008,Public Digital Infrastructure with Community Oversight,6,6.49425,1.20339
2,JTR005,Green Infrastructure Without Housing Protection,7,2.35007,3.93878
2,JTR001,Technical Decarbonization Only,8,2.17314,3.97499
2,JTR007,Digital Modernization Without Access Safeguards,9,1.58336,4.0533
2,JTR003,Coastal Retreat Without Long-Term Support,10,1.13061,4.52357
3,JTR006,Climate Retrofit with Anti-Displacement Policy,1,7.32852,1.08377
3,JTR010,Infrastructure Repair and Public Capacity Renewal,2,7.24153,0.97525
3,JTR004,Participatory Retreat and Wetland Restoration,3,7.10288,1.25734
