pathway_id,pathway,resilience_capacity,transformation_capacity,equity,ecological_repair,governance_legitimacy,livelihood_protection,exposure_reduction,burden_shift,lock_in_risk,implementation_burden,critical_function,just_transformation_value,justice_gap,adjusted_value,scenario,diagnostic,rank
JTR004,Participatory Retreat and Wetland Restoration,8.4,8.9,8.7,9.2,8.8,8.5,9,2.9,2.8,4,reduces exposure through participatory relocation compensation cultural continuity and ecological restoration,8.428000000000003,0.97,7.458000000000003,Balanced,just transformation candidate,1
JTR002,Just Energy Transition with Worker Support,8.5,8.8,8.8,7.8,8.5,9,8.4,2.8,2.9,3.9,pairs decarbonization with labor protection regional investment affordability and public accountability,8.206000000000001,0.968,7.238000000000001,Balanced,just transformation candidate,2
JTR010,Infrastructure Repair and Public Capacity Renewal,8.7,8.4,8.7,7.8,8.8,8.6,8.6,2.7,3,3.8,links deferred maintenance repair staffing budgeting and public accountability to exposure reduction,8.17,0.966,7.204,Balanced,just transformation candidate,3
JTR006,Climate Retrofit with Anti-Displacement Policy,8.6,8.5,9,8,8.7,8.2,8.8,2.7,2.9,3.8,combines building retrofits cooling energy affordability and anti-displacement protections,8.209,1.0100000000000002,7.199,Balanced,just transformation candidate,4
JTR009,Ecosystem Restoration with Community Stewardship,8.2,8.6,8.5,9.3,8.6,8.1,8.7,2.9,3.1,3.9,restores wetlands forests rivers or soils with community stewardship and public-benefit safeguards,8.211,1.098,7.113,Balanced,just transformation candidate,5
JTR008,Public Digital Infrastructure with Community Oversight,8.3,8.4,8.6,7.2,8.9,8.4,7.8,2.8,3,3.7,uses accountable digital systems to support access transparency fallback capacity and public oversight,7.906000000000001,1.004,6.902000000000001,Balanced,just transformation candidate,6
JTR005,Green Infrastructure Without Housing Protection,7.9,7.8,5.8,8.1,5.6,5.6,7.4,6,5.2,3.4,improves ecological and climate function but risks green displacement without housing safeguards,6.412,3.7780000000000005,2.6339999999999995,Balanced,high justice-gap review needed,7
JTR001,Technical Decarbonization Only,7.8,8.2,5.4,6.8,5.8,4.8,7,6.2,5.8,3.2,reduces emissions through technical substitution but provides weak worker community and governance safeguards,6.086,4.122,1.9640000000000004,Balanced,high justice-gap review needed,8
JTR007,Digital Modernization Without Access Safeguards,7.6,8,5.6,5.8,5.4,5.2,6.4,6.4,6,3.2,modernizes service systems but risks exclusion surveillance and digital dependency,5.837999999999999,4.15,1.6879999999999988,Balanced,high justice-gap review needed,9
JTR003,Coastal Retreat Without Long-Term Support,7.4,7.6,5.2,6.2,5,5,7.6,6.8,5.6,3.1,reduces physical exposure but risks displacement cultural loss and insufficient support,5.807,4.382,1.4250000000000007,Balanced,high justice-gap review needed,10
