scenario,strategy_id,strategy,rank,adaptive_resilience_value,maladaptive_risk,adjusted_value,diagnostic,critical_function
Balanced,MRS002,Floodplain Restoration and Housing Transition,1,8.175,0.464,7.711,adaptive resilience candidate,reduces exposure through ecological restoration housing support and planned transition
Balanced,MRS004,Housing Retrofit and Public Cooling Network,2,7.927,0.448,7.479,adaptive resilience candidate,pairs building upgrades cooling access energy affordability and public health outreach
Balanced,MRS006,Distributed Renewable Resilience Hubs,3,7.946,0.48,7.466,adaptive resilience candidate,builds community-scale energy resilience with lower emissions and local service continuity
Balanced,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.722,0.496,7.226,adaptive resilience candidate,links infrastructure repair with accountability budgeting and institutional learning
Balanced,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,7.69,0.536,7.154,adaptive resilience candidate,diversifies supply while reducing worker burden ecological damage and dependency lock-in
Balanced,MRS003,Private Cooling Expansion Only,6,4.331,4.304,0.027,high maladaptive-resilience risk,reduces heat risk for those with access while reinforcing household cost and energy dependency
Balanced,MRS009,Supply Chain Buffering Through Worker Flexibility,7,4.313,4.416,-0.103,high maladaptive-resilience risk,preserves continuity by shifting volatility and labor burden onto workers and suppliers
Balanced,MRS007,Dashboard Monitoring Without Repair,8,3.928,4.676,-0.748,high maladaptive-resilience risk,improves visibility but leaves material repair governance and exposure reduction unresolved
Balanced,MRS005,Fossil Backup Power Expansion,9,3.786,4.832,-1.046,high maladaptive-resilience risk,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in
Balanced,MRS001,Rebuild Same Floodplain Housing,10,3.652,5.136,-1.484,high maladaptive-resilience risk,rebuilds quickly but restores repeated exposure and floodplain lock-in
Persistence-first,MRS004,Housing Retrofit and Public Cooling Network,1,7.877,0.448,7.429,adaptive resilience candidate,pairs building upgrades cooling access energy affordability and public health outreach
Persistence-first,MRS002,Floodplain Restoration and Housing Transition,2,7.885,0.464,7.421,adaptive resilience candidate,reduces exposure through ecological restoration housing support and planned transition
Persistence-first,MRS006,Distributed Renewable Resilience Hubs,3,7.858,0.48,7.378,adaptive resilience candidate,builds community-scale energy resilience with lower emissions and local service continuity
Persistence-first,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.672,0.496,7.176,adaptive resilience candidate,links infrastructure repair with accountability budgeting and institutional learning
Persistence-first,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,7.648,0.536,7.112,adaptive resilience candidate,diversifies supply while reducing worker burden ecological damage and dependency lock-in
Persistence-first,MRS003,Private Cooling Expansion Only,6,5.339,4.304,1.035,high maladaptive-resilience risk,reduces heat risk for those with access while reinforcing household cost and energy dependency
Persistence-first,MRS009,Supply Chain Buffering Through Worker Flexibility,7,5.349,4.416,0.933,high maladaptive-resilience risk,preserves continuity by shifting volatility and labor burden onto workers and suppliers
Persistence-first,MRS007,Dashboard Monitoring Without Repair,8,4.918,4.676,0.242,high maladaptive-resilience risk,improves visibility but leaves material repair governance and exposure reduction unresolved
Persistence-first,MRS005,Fossil Backup Power Expansion,9,5.002,4.832,0.17,high maladaptive-resilience risk,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in
Persistence-first,MRS001,Rebuild Same Floodplain Housing,10,4.96,5.136,-0.176,high maladaptive-resilience risk,rebuilds quickly but restores repeated exposure and floodplain lock-in
Harm-reduction-first,MRS002,Floodplain Restoration and Housing Transition,1,8.725,0.464,8.261,adaptive resilience candidate,reduces exposure through ecological restoration housing support and planned transition
Harm-reduction-first,MRS004,Housing Retrofit and Public Cooling Network,2,8.497,0.448,8.049,adaptive resilience candidate,pairs building upgrades cooling access energy affordability and public health outreach
Harm-reduction-first,MRS006,Distributed Renewable Resilience Hubs,3,8.466,0.48,7.986,adaptive resilience candidate,builds community-scale energy resilience with lower emissions and local service continuity
Harm-reduction-first,MRS008,Maintenance Backlog Repair and Governance Reform,4,8.258,0.496,7.762,adaptive resilience candidate,links infrastructure repair with accountability budgeting and institutional learning
Harm-reduction-first,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,8.21,0.536,7.674,adaptive resilience candidate,diversifies supply while reducing worker burden ecological damage and dependency lock-in
Harm-reduction-first,MRS003,Private Cooling Expansion Only,6,4.545,4.304,0.241,high maladaptive-resilience risk,reduces heat risk for those with access while reinforcing household cost and energy dependency
Harm-reduction-first,MRS009,Supply Chain Buffering Through Worker Flexibility,7,4.485,4.416,0.069,high maladaptive-resilience risk,preserves continuity by shifting volatility and labor burden onto workers and suppliers
Harm-reduction-first,MRS007,Dashboard Monitoring Without Repair,8,4.038,4.676,-0.638,high maladaptive-resilience risk,improves visibility but leaves material repair governance and exposure reduction unresolved
Harm-reduction-first,MRS005,Fossil Backup Power Expansion,9,3.956,4.832,-0.876,high maladaptive-resilience risk,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in
Harm-reduction-first,MRS001,Rebuild Same Floodplain Housing,10,3.716,5.136,-1.42,high maladaptive-resilience risk,rebuilds quickly but restores repeated exposure and floodplain lock-in
Transformation-first,MRS002,Floodplain Restoration and Housing Transition,1,8.921,0.464,8.457,adaptive resilience candidate,reduces exposure through ecological restoration housing support and planned transition
Transformation-first,MRS006,Distributed Renewable Resilience Hubs,2,8.678,0.48,8.198,adaptive resilience candidate,builds community-scale energy resilience with lower emissions and local service continuity
Transformation-first,MRS004,Housing Retrofit and Public Cooling Network,3,8.585,0.448,8.137,adaptive resilience candidate,pairs building upgrades cooling access energy affordability and public health outreach
Transformation-first,MRS008,Maintenance Backlog Repair and Governance Reform,4,8.396,0.496,7.9,adaptive resilience candidate,links infrastructure repair with accountability budgeting and institutional learning
Transformation-first,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,8.344,0.536,7.808,adaptive resilience candidate,diversifies supply while reducing worker burden ecological damage and dependency lock-in
Transformation-first,MRS003,Private Cooling Expansion Only,6,4.469,4.304,0.165,high maladaptive-resilience risk,reduces heat risk for those with access while reinforcing household cost and energy dependency
Transformation-first,MRS009,Supply Chain Buffering Through Worker Flexibility,7,4.463,4.416,0.047,high maladaptive-resilience risk,preserves continuity by shifting volatility and labor burden onto workers and suppliers
Transformation-first,MRS007,Dashboard Monitoring Without Repair,8,4.074,4.676,-0.602,high maladaptive-resilience risk,improves visibility but leaves material repair governance and exposure reduction unresolved
Transformation-first,MRS005,Fossil Backup Power Expansion,9,3.87,4.832,-0.962,high maladaptive-resilience risk,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in
Transformation-first,MRS001,Rebuild Same Floodplain Housing,10,3.724,5.136,-1.412,high maladaptive-resilience risk,rebuilds quickly but restores repeated exposure and floodplain lock-in
Equity-first,MRS002,Floodplain Restoration and Housing Transition,1,8.703,0.464,8.239,adaptive resilience candidate,reduces exposure through ecological restoration housing support and planned transition
Equity-first,MRS004,Housing Retrofit and Public Cooling Network,2,8.563,0.448,8.115,adaptive resilience candidate,pairs building upgrades cooling access energy affordability and public health outreach
Equity-first,MRS006,Distributed Renewable Resilience Hubs,3,8.488,0.48,8.008,adaptive resilience candidate,builds community-scale energy resilience with lower emissions and local service continuity
Equity-first,MRS008,Maintenance Backlog Repair and Governance Reform,4,8.28,0.496,7.784,adaptive resilience candidate,links infrastructure repair with accountability budgeting and institutional learning
Equity-first,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,8.232,0.536,7.696,adaptive resilience candidate,diversifies supply while reducing worker burden ecological damage and dependency lock-in
Equity-first,MRS003,Private Cooling Expansion Only,6,4.677,4.304,0.373,high maladaptive-resilience risk,reduces heat risk for those with access while reinforcing household cost and energy dependency
Equity-first,MRS009,Supply Chain Buffering Through Worker Flexibility,7,4.573,4.416,0.157,high maladaptive-resilience risk,preserves continuity by shifting volatility and labor burden onto workers and suppliers
Equity-first,MRS007,Dashboard Monitoring Without Repair,8,4.302,4.676,-0.374,high maladaptive-resilience risk,improves visibility but leaves material repair governance and exposure reduction unresolved
