strategy_id,strategy,persistence_capacity,harm_reduction,lock_in_reduction,equity,transformation_capacity,ecological_integrity,burden_shift,implementation_burden,critical_function,adaptive_resilience_value,maladaptive_risk,adjusted_value,scenario,diagnostic,rank
MRS002,Floodplain Restoration and Housing Transition,7.6,8.8,8.6,8.7,8.9,9,2.9,4,reduces exposure through ecological restoration housing support and planned transition,8.175,0.46399999999999997,7.711,Balanced,adaptive resilience candidate,1
MRS004,Housing Retrofit and Public Cooling Network,8.2,8.7,8,9,8.4,7.8,2.8,3.7,pairs building upgrades cooling access energy affordability and public health outreach,7.9270000000000005,0.44799999999999995,7.479000000000001,Balanced,adaptive resilience candidate,2
MRS006,Distributed Renewable Resilience Hubs,8.1,8.5,8.2,8.6,8.7,8.2,3,3.8,builds community-scale energy resilience with lower emissions and local service continuity,7.946,0.48,7.465999999999999,Balanced,adaptive resilience candidate,3
MRS008,Maintenance Backlog Repair and Governance Reform,8,8.4,8.1,8.5,8.3,7.6,3.1,3.9,links infrastructure repair with accountability budgeting and institutional learning,7.722,0.49600000000000005,7.226,Balanced,adaptive resilience candidate,4
MRS010,Diversified Supply Chain with Labor and Ecological Standards,8,8.3,7.9,8.4,8.2,8,3.2,3.8,diversifies supply while reducing worker burden ecological damage and dependency lock-in,7.69,0.5359999999999999,7.154000000000001,Balanced,adaptive resilience candidate,5
MRS003,Private Cooling Expansion Only,8.4,4.4,3.4,5,3.8,4.5,6.2,2.9,reduces heat risk for those with access while reinforcing household cost and energy dependency,4.331,4.304,0.027000000000000135,Balanced,high maladaptive-resilience risk,6
MRS009,Supply Chain Buffering Through Worker Flexibility,8.5,4.2,3.7,4.6,3.8,4.8,6.7,3,preserves continuity by shifting volatility and labor burden onto workers and suppliers,4.313,4.416,-0.10300000000000065,Balanced,high maladaptive-resilience risk,7
MRS007,Dashboard Monitoring Without Repair,7.9,3.6,3,4.8,3.5,4.2,6,2.6,improves visibility but leaves material repair governance and exposure reduction unresolved,3.9280000000000004,4.676,-0.7479999999999998,Balanced,high maladaptive-resilience risk,8
MRS005,Fossil Backup Power Expansion,8.6,3.8,2.9,4.4,3.2,3.4,6.5,3.1,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in,3.7860000000000005,4.832000000000001,-1.0460000000000003,Balanced,high maladaptive-resilience risk,9
MRS001,Rebuild Same Floodplain Housing,8.8,3.2,2.8,4.2,3,3.8,6.8,3.2,rebuilds quickly but restores repeated exposure and floodplain lock-in,3.652,5.135999999999999,-1.483999999999999,Balanced,high maladaptive-resilience risk,10
