 time,persistence,harm,lock_in,equity,ecology,maladaptive_risk,adaptive_resilience
1, 0.68580, 0.37840, 0.41627, 0.86093, 0.88334, 0.19518, 0.73879
2, 0.67113, 0.33559, 0.39211, 0.88272, 0.90775, 0.17130, 0.76043
3, 0.65597, 0.29152, 0.36749, 0.90539, 0.93326, 0.14672, 0.78279
4, 0.64032, 0.24613, 0.34240, 0.92897, 0.95991, 0.12144, 0.80590
5, 0.62417, 0.19938, 0.31682, 0.95348, 0.98772, 0.09543, 0.82979
6, 0.60750, 0.15121, 0.29075, 0.97896, 1.00000, 0.06866, 0.85112
7, 0.59032, 0.10207, 0.26416, 1.00000, 1.00000, 0.04179, 0.86931
8, 0.58220, 0.05865, 0.24212, 1.00000, 1.00000, 0.02235, 0.88136
9, 0.56404, 0.00859, 0.21474, 1.00000, 1.00000, 0.00000, 0.89478
10, 0.54534, 0.00000, 0.18680, 1.00000, 1.00000, 0.00000, 0.89801
11, 0.52607, 0.00000, 0.15829, 1.00000, 1.00000, 0.00000, 0.89989
12, 0.50624, 0.00000, 0.12917, 1.00000, 1.00000, 0.00000, 0.90180
13, 0.48582, 0.00000, 0.09945, 1.00000, 1.00000, 0.00000, 0.90373
14, 0.46481, 0.00000, 0.06909, 1.00000, 1.00000, 0.00000, 0.90569
15, 0.44319, 0.00000, 0.03809, 1.00000, 1.00000, 0.00000, 0.90768
16, 0.43056, 0.00000, 0.01150, 1.00000, 1.00000, 0.00000, 0.90986
17, 0.40779, 0.00000, 0.00000, 1.00000, 1.00000, 0.00000, 0.90942
18, 0.38479, 0.00000, 0.00000, 1.00000, 1.00000, 0.00000, 0.90758
19, 0.36179, 0.00000, 0.00000, 1.00000, 1.00000, 0.00000, 0.90574
20, 0.33879, 0.00000, 0.00000, 1.00000, 1.00000, 0.00000, 0.90390
21, 0.31579, 0.00000, 0.00000, 1.00000, 1.00000, 0.00000, 0.90206
22, 0.29279, 0.00000, 0.00000, 1.00000, 1.00000, 0.00000, 0.90022
23, 0.26979, 0.00000, 0.00000, 1.00000, 1.00000, 0.00000, 0.89838
24, 0.25639, 0.00000, 0.00000, 1.00000, 1.00000, 0.00000, 0.89731
