pathway_id,pathway,time,shock,persistence,harm,lock_in,burden_shift,transformation_capacity,ecological_integrity,equity,maladaptive_risk,adaptive_resilience
MP001,Rebuild Same Floodplain Development,0,0.04162,0.82786,0.72222,0.76917,0.72,0.3,0.37394,0.39746,0.62805,0.26417
MP001,Rebuild Same Floodplain Development,1,0.0339,0.8356,0.74469,0.77841,0.72,0.3,0.36733,0.37446,0.641,0.25209
MP001,Rebuild Same Floodplain Development,2,0.04931,0.84414,0.76805,0.78822,0.72,0.3,0.36013,0.351,0.65461,0.23955
MP001,Rebuild Same Floodplain Development,3,0.04848,0.85285,0.79191,0.79828,0.72,0.3,0.35233,0.32706,0.6685,0.22665
MP001,Rebuild Same Floodplain Development,4,0.03934,0.86139,0.81607,0.80841,0.72,0.3,0.34393,0.30264,0.6825,0.21344
MP001,Rebuild Same Floodplain Development,5,0.04327,0.87029,0.84089,0.81888,0.72,0.3,0.3349,0.27772,0.69692,0.19983
MP001,Rebuild Same Floodplain Development,6,0.03429,0.87904,0.86607,0.82944,0.72,0.3,0.32525,0.2523,0.71146,0.1859
MP001,Rebuild Same Floodplain Development,7,0.03443,0.888,0.89185,0.84027,0.72,0.3,0.31496,0.22637,0.72634,0.17156
MP001,Rebuild Same Floodplain Development,8,0.03577,0.89724,0.9183,0.8514,0.72,0.3,0.304,0.1999,0.74161,0.1568
MP001,Rebuild Same Floodplain Development,9,0.04385,0.90702,0.94562,0.86299,0.72,0.3,0.29236,0.17289,0.75745,0.14156
MP001,Rebuild Same Floodplain Development,10,0.03425,0.91665,0.97339,0.87467,0.72,0.3,0.28002,0.14532,0.77344,0.12595
MP001,Rebuild Same Floodplain Development,11,0.04942,0.92712,1.0,0.88697,0.72,0.3,0.26702,0.11722,0.78955,0.11025
MP001,Rebuild Same Floodplain Development,12,0.28,0.94706,1.0,0.90449,0.72,0.3,0.25402,0.08912,0.80219,0.0995
MP001,Rebuild Same Floodplain Development,13,0.03387,0.9575,1.0,0.91739,0.72,0.3,0.24102,0.06102,0.81097,0.08917
MP001,Rebuild Same Floodplain Development,14,0.03178,0.96812,1.0,0.93057,0.72,0.3,0.22802,0.03292,0.81987,0.07879
MP001,Rebuild Same Floodplain Development,15,0.0454,0.97955,1.0,0.94436,0.72,0.3,0.21502,0.00482,0.82914,0.06835
MP001,Rebuild Same Floodplain Development,16,0.03733,0.99093,1.0,0.95834,0.72,0.3,0.20202,0.0,0.83611,0.0629
MP001,Rebuild Same Floodplain Development,17,0.03943,1.0,1.0,0.97263,0.72,0.3,0.18902,0.0,0.84198,0.05837
MP001,Rebuild Same Floodplain Development,18,0.03652,1.0,1.0,0.98686,0.72,0.3,0.17602,0.0,0.84511,0.05356
MP001,Rebuild Same Floodplain Development,19,0.04275,1.0,1.0,1.0,0.72,0.3,0.16302,0.0,0.848,0.04892
MP001,Rebuild Same Floodplain Development,20,0.03808,1.0,1.0,1.0,0.72,0.3,0.15002,0.0,0.848,0.04632
MP001,Rebuild Same Floodplain Development,21,0.03417,1.0,1.0,1.0,0.72,0.3,0.13702,0.0,0.848,0.04372
MP001,Rebuild Same Floodplain Development,22,0.0386,1.0,1.0,1.0,0.72,0.3,0.12402,0.0,0.848,0.04112
MP001,Rebuild Same Floodplain Development,23,0.03609,1.0,1.0,1.0,0.72,0.3,0.11102,0.0,0.848,0.03852
MP001,Rebuild Same Floodplain Development,24,0.03222,1.0,1.0,1.0,0.72,0.3,0.09802,0.0,0.848,0.03592
MP001,Rebuild Same Floodplain Development,25,0.32,1.0,1.0,1.0,0.72,0.3,0.08502,0.0,0.848,0.03332
MP001,Rebuild Same Floodplain Development,26,0.0436,1.0,1.0,1.0,0.72,0.3,0.07202,0.0,0.848,0.03072
MP001,Rebuild Same Floodplain Development,27,0.0433,1.0,1.0,1.0,0.72,0.3,0.05902,0.0,0.848,0.02812
MP001,Rebuild Same Floodplain Development,28,0.04765,1.0,1.0,1.0,0.72,0.3,0.04602,0.0,0.848,0.02552
MP001,Rebuild Same Floodplain Development,29,0.03789,1.0,1.0,1.0,0.72,0.3,0.03302,0.0,0.848,0.02292
MP001,Rebuild Same Floodplain Development,30,0.03759,1.0,1.0,1.0,0.72,0.3,0.02002,0.0,0.848,0.02032
MP001,Rebuild Same Floodplain Development,31,0.03846,1.0,1.0,1.0,0.72,0.3,0.00702,0.0,0.848,0.01772
MP001,Rebuild Same Floodplain Development,32,0.03809,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,33,0.04338,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,34,0.03013,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,35,0.03928,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,36,0.0407,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,37,0.03691,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,38,0.03044,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,39,0.04409,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,40,0.34,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,41,0.04129,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,42,0.03307,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,43,0.03069,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,44,0.03362,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
MP001,Rebuild Same Floodplain Development,45,0.03131,1.0,1.0,1.0,0.72,0.3,0.0,0.0,0.848,0.01632
