simulation_id,strategy_id,strategy,rank,adjusted_value,maladaptive_risk
0,MRS002,Floodplain Restoration and Housing Transition,1,8.01374,0.39312
0,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.89229,0.3594
0,MRS006,Distributed Renewable Resilience Hubs,3,7.53547,0.5424
0,MRS004,Housing Retrofit and Public Cooling Network,4,7.50828,0.50255
0,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.93934,0.64041
0,MRS003,Private Cooling Expansion Only,6,0.44627,3.9916
0,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.49089,4.7291
0,MRS007,Dashboard Monitoring Without Repair,8,-0.78948,4.7796
0,MRS005,Fossil Backup Power Expansion,9,-1.52358,5.0044
0,MRS001,Rebuild Same Floodplain Housing,10,-1.6441,5.17775
1,MRS002,Floodplain Restoration and Housing Transition,1,7.77924,0.55072
1,MRS004,Housing Retrofit and Public Cooling Network,2,7.32138,0.70647
1,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.21065,0.56447
1,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.17838,0.56738
1,MRS006,Distributed Renewable Resilience Hubs,5,6.97932,0.78284
1,MRS003,Private Cooling Expansion Only,6,0.95369,3.81289
1,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.53378,4.72426
1,MRS005,Fossil Backup Power Expansion,8,-0.78523,4.66848
1,MRS007,Dashboard Monitoring Without Repair,9,-0.85969,4.77488
1,MRS001,Rebuild Same Floodplain Housing,10,-2.4749,5.71112
2,MRS004,Housing Retrofit and Public Cooling Network,1,7.68697,0.37958
2,MRS002,Floodplain Restoration and Housing Transition,2,7.63638,0.51324
2,MRS006,Distributed Renewable Resilience Hubs,3,7.52247,0.45287
2,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.46771,0.34218
2,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,7.1239,0.47632
2,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.07638,4.50823
2,MRS003,Private Cooling Expansion Only,7,-0.10769,4.37491
2,MRS007,Dashboard Monitoring Without Repair,8,-0.63076,4.66283
2,MRS001,Rebuild Same Floodplain Housing,9,-0.77732,4.81889
2,MRS005,Fossil Backup Power Expansion,10,-1.01831,4.88872
3,MRS008,Maintenance Backlog Repair and Governance Reform,1,7.47424,0.56031
3,MRS002,Floodplain Restoration and Housing Transition,2,7.44369,0.78371
3,MRS006,Distributed Renewable Resilience Hubs,3,6.87683,0.65084
3,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,6.65795,0.83473
3,MRS004,Housing Retrofit and Public Cooling Network,5,6.55035,0.85374
3,MRS003,Private Cooling Expansion Only,6,0.76508,3.89833
3,MRS009,Supply Chain Buffering Through Worker Flexibility,7,0.10097,4.29705
3,MRS007,Dashboard Monitoring Without Repair,8,-0.42372,4.41777
3,MRS005,Fossil Backup Power Expansion,9,-1.26913,4.96036
3,MRS001,Rebuild Same Floodplain Housing,10,-1.77665,5.33773
4,MRS004,Housing Retrofit and Public Cooling Network,1,7.40835,0.56617
4,MRS010,Diversified Supply Chain with Labor and Ecological Standards,2,7.26507,0.55445
