 time,knowledge_function,knowledge_stress,protective_capacity,institutional_trust,extraction_risk,equity_adjusted_function
1, 1.00000, 0.17852, 0.72960, 0.66400, 0.75568, 0.96640
2, 1.00000, 0.17829, 0.73020, 0.66800, 0.75136, 0.96640
3, 1.00000, 0.17807, 0.73080, 0.67200, 0.74704, 0.96640
4, 1.00000, 0.17784, 0.73140, 0.67600, 0.74272, 0.96640
5, 1.00000, 0.17762, 0.73200, 0.68000, 0.73840, 0.96640
6, 1.00000, 0.17739, 0.73260, 0.68400, 0.73408, 0.96640
7, 1.00000, 0.17717, 0.73320, 0.68800, 0.72976, 0.96640
8, 1.00000, 0.17694, 0.73380, 0.69200, 0.72544, 0.96640
9, 1.00000, 0.17672, 0.73440, 0.69600, 0.72112, 0.96640
10, 1.00000, 0.17649, 0.73500, 0.70000, 0.71680, 0.96640
11, 1.00000, 0.17626, 0.73560, 0.70400, 0.71248, 0.96640
12, 1.00000, 0.92340, 0.73620, 0.69476, 0.72188, 0.96640
13, 1.00000, 0.17691, 0.73481, 0.69876, 0.71756, 0.96640
14, 1.00000, 0.17668, 0.73541, 0.70276, 0.71324, 0.96640
15, 1.00000, 0.17646, 0.73601, 0.70676, 0.70892, 0.96640
16, 1.00000, 0.17623, 0.73661, 0.71076, 0.70460, 0.96640
17, 1.00000, 0.17601, 0.73721, 0.71476, 0.70028, 0.96640
18, 1.00000, 0.17578, 0.73781, 0.71876, 0.69596, 0.96640
19, 1.00000, 0.17556, 0.73841, 0.72276, 0.69164, 0.96640
20, 1.00000, 0.17533, 0.73901, 0.72676, 0.68732, 0.96640
21, 1.00000, 0.17511, 0.73961, 0.73076, 0.68300, 0.96640
22, 1.00000, 0.17488, 0.74021, 0.73476, 0.67868, 0.96640
23, 1.00000, 0.17465, 0.74081, 0.73876, 0.67436, 0.96640
24, 1.00000, 0.17443, 0.74141, 0.74276, 0.67004, 0.96640
25, 1.00000, 0.17420, 0.74201, 0.74676, 0.66572, 0.96640
26, 1.00000, 0.17398, 0.74261, 0.75076, 0.66140, 0.96640
27, 1.00000, 0.17375, 0.74321, 0.75476, 0.65708, 0.96640
28, 1.00000, 0.17353, 0.74381, 0.75876, 0.65276, 0.96640
29, 1.00000, 0.17330, 0.74441, 0.76276, 0.64844, 0.96640
30, 1.00000, 0.17308, 0.74501, 0.76676, 0.64412, 0.96640
31, 1.00000, 0.17285, 0.74561, 0.77076, 0.63980, 0.96640
32, 1.00000, 0.17262, 0.74621, 0.77476, 0.63548, 0.96640
33, 1.00000, 0.17240, 0.74681, 0.77876, 0.63116, 0.96640
34, 1.00000, 0.17217, 0.74741, 0.78276, 0.62684, 0.96640
35, 1.00000, 0.17195, 0.74801, 0.78676, 0.62252, 0.96640
36, 1.00000, 0.17172, 0.74861, 0.79076, 0.61820, 0.96640
37, 1.00000, 0.17150, 0.74921, 0.79476, 0.61388, 0.96640
38, 1.00000, 0.17127, 0.74981, 0.79876, 0.60956, 0.96640
39, 1.00000, 0.17104, 0.75041, 0.80276, 0.60524, 0.96640
40, 1.00000, 0.17082, 0.75101, 0.80676, 0.60092, 0.96640
41, 1.00000, 0.17059, 0.75161, 0.81076, 0.59660, 0.96640
42, 1.00000, 0.17037, 0.75221, 0.81476, 0.59228, 0.96640
43, 1.00000, 0.17014, 0.75281, 0.81876, 0.58796, 0.96640
44, 1.00000, 0.16992, 0.75341, 0.82276, 0.58364, 0.96640
45, 1.00000, 0.16969, 0.75401, 0.82676, 0.57932, 0.96640
46, 1.00000, 0.16947, 0.75461, 0.83076, 0.57500, 0.96640
47, 1.00000, 0.16924, 0.75521, 0.83476, 0.57068, 0.96640
48, 1.00000, 0.16901, 0.75581, 0.83876, 0.56636, 0.96640
49, 1.00000, 0.16879, 0.75641, 0.84276, 0.56204, 0.96640
50, 1.00000, 0.16856, 0.75701, 0.84676, 0.55772, 0.96640
51, 1.00000, 0.16834, 0.75761, 0.85076, 0.55340, 0.96640
52, 1.00000, 0.16811, 0.75821, 0.85476, 0.54908, 0.96640
53, 1.00000, 0.16789, 0.75881, 0.85876, 0.54476, 0.96640
54, 1.00000, 0.16766, 0.75941, 0.86276, 0.54044, 0.96640
55, 1.00000, 0.16744, 0.76001, 0.86676, 0.53612, 0.96640
56, 1.00000, 0.16721, 0.76061, 0.87076, 0.53180, 0.96640
57, 1.00000, 0.16698, 0.76121, 0.87476, 0.52748, 0.96640
58, 1.00000, 0.16676, 0.76181, 0.87876, 0.52316, 0.96640
59, 1.00000, 0.16653, 0.76241, 0.88276, 0.51884, 0.96640
60, 1.00000, 0.16631, 0.76301, 0.88676, 0.51452, 0.96640
61, 1.00000, 0.16608, 0.76361, 0.89076, 0.51020, 0.96640
62, 1.00000, 0.16586, 0.76421, 0.89476, 0.50588, 0.96640
63, 1.00000, 0.16563, 0.76481, 0.89876, 0.50156, 0.96640
64, 1.00000, 0.16540, 0.76541, 0.90276, 0.49724, 0.96640
65, 1.00000, 0.16518, 0.76601, 0.90676, 0.49292, 0.96640
66, 1.00000, 0.16495, 0.76661, 0.91076, 0.48860, 0.96640
67, 1.00000, 0.16473, 0.76721, 0.91476, 0.48428, 0.96640
68, 1.00000, 0.16450, 0.76781, 0.91876, 0.47996, 0.96640
69, 1.00000, 0.16428, 0.76841, 0.92276, 0.47564, 0.96640
70, 1.00000, 0.16405, 0.76901, 0.92676, 0.47132, 0.96640
71, 1.00000, 0.16383, 0.76961, 0.93076, 0.46700, 0.96640
72, 1.00000, 0.16360, 0.77021, 0.93476, 0.46268, 0.96640
73, 1.00000, 0.16337, 0.77081, 0.93876, 0.45836, 0.96640
74, 1.00000, 0.16315, 0.77141, 0.94276, 0.45404, 0.96640
75, 1.00000, 0.16292, 0.77201, 0.94676, 0.44972, 0.96640
76, 1.00000, 0.16270, 0.77261, 0.95076, 0.44540, 0.96640
77, 1.00000, 0.16247, 0.77321, 0.95476, 0.44108, 0.96640
78, 1.00000, 0.16225, 0.77381, 0.95876, 0.43676, 0.96640
79, 1.00000, 0.16202, 0.77441, 0.96276, 0.43244, 0.96640
80, 1.00000, 0.16180, 0.77501, 0.96676, 0.42812, 0.96640
