scenario,strategy_id,strategy,system_domain,rank,knowledge_integration_value,implementation_burden,critical_function
Balanced,LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,1,8.841,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance
Balanced,LK004,Funded Community Resilience Advisory Council,community governance and decision influence,2,8.795,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability
Balanced,LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,3,8.442,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity
Balanced,LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,4,8.351,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers
Balanced,LK005,Trusted Messenger and Local Warning System,risk communication and early warning,5,8.308,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information
Balanced,LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,6,8.043,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance
Participation-first,LK004,Funded Community Resilience Advisory Council,community governance and decision influence,1,8.778,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability
Participation-first,LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,2,8.645,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance
Participation-first,LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,3,8.413,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity
Participation-first,LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,4,8.378,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers
Participation-first,LK005,Trusted Messenger and Local Warning System,risk communication and early warning,5,8.235,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information
Participation-first,LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,6,7.993,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance
Knowledge-diversity-first,LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,1,8.869,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance
