strategy_id,strategy,system_domain,participation_access,knowledge_diversity,decision_influence,trust_building,knowledge_protection,reciprocity,implementation_accountability,implementation_burden,critical_function,knowledge_integration_value,extraction_risk_gap,protection_gap,adjusted_value,scenario,rank
LK004,Funded Community Resilience Advisory Council,community governance and decision influence,9,8.7,9.1,8.8,8.5,8.9,9,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability,8.778,0.09999999999999964,0,8.770000000000001,Accountability-first,1
LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,8.4,9.2,8.8,8.9,9.4,9,8.7,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance,8.729000000000001,0.10000000000000142,0,8.721,Accountability-first,2
LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,8.6,8.1,8.6,8.4,8.6,8.4,8.8,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity,8.469,0,0,8.469,Accountability-first,3
LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,8.7,8.8,8.4,8.2,8,8.3,8.5,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers,8.322,0,0.40000000000000036,8.29,Accountability-first,4
LK005,Trusted Messenger and Local Warning System,risk communication and early warning,8.3,8.4,8,9,8.2,8.5,8.2,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information,8.207,0,0.20000000000000107,8.191,Accountability-first,5
LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,8.1,8.5,7.9,8,8.1,8.2,8,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance,7.965,0,0.3000000000000007,7.941,Accountability-first,6
LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,8.4,9.2,8.8,8.9,9.4,9,8.7,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance,8.841000000000001,0.10000000000000142,0,8.833,Balanced,1
LK004,Funded Community Resilience Advisory Council,community governance and decision influence,9,8.7,9.1,8.8,8.5,8.9,9,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability,8.795,0.09999999999999964,0,8.787,Balanced,2
LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,8.6,8.1,8.6,8.4,8.6,8.4,8.8,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity,8.442,0,0,8.442,Balanced,3
LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,8.7,8.8,8.4,8.2,8,8.3,8.5,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers,8.350999999999999,0,0.40000000000000036,8.318999999999999,Balanced,4
LK005,Trusted Messenger and Local Warning System,risk communication and early warning,8.3,8.4,8,9,8.2,8.5,8.2,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information,8.308,0,0.20000000000000107,8.292,Balanced,5
LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,8.1,8.5,7.9,8,8.1,8.2,8,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance,8.043000000000001,0,0.3000000000000007,8.019,Balanced,6
LK004,Funded Community Resilience Advisory Council,community governance and decision influence,9,8.7,9.1,8.8,8.5,8.9,9,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability,8.802000000000001,0.09999999999999964,0,8.794000000000002,Decision-influence-first,1
LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,8.4,9.2,8.8,8.9,9.4,9,8.7,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance,8.761000000000001,0.10000000000000142,0,8.753,Decision-influence-first,2
LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,8.6,8.1,8.6,8.4,8.6,8.4,8.8,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity,8.408,0,0,8.408,Decision-influence-first,3
LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,8.7,8.8,8.4,8.2,8,8.3,8.5,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers,8.298,0,0.40000000000000036,8.266,Decision-influence-first,4
