system_id,system,knowledge_context,time,event,knowledge_stress,protective_capacity,knowledge_function,institutional_trust,extraction_risk,equity_adjusted_function
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,0,background local-knowledge practice stress,0.17939,0.7296,1.0,0.664,0.75568,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,1,background local-knowledge practice stress,0.18184,0.7302,1.0,0.668,0.75136,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,2,background local-knowledge practice stress,0.18037,0.7308,1.0,0.672,0.74704,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,3,background local-knowledge practice stress,0.18074,0.7314,1.0,0.676,0.74272,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,4,background local-knowledge practice stress,0.17832,0.732,1.0,0.68,0.7384,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,5,background local-knowledge practice stress,0.18001,0.7326,1.0,0.684,0.73408,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,6,background local-knowledge practice stress,0.17962,0.7332,1.0,0.688,0.72976,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,7,background local-knowledge practice stress,0.17955,0.7338,1.0,0.692,0.72544,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,8,background local-knowledge practice stress,0.17657,0.7344,1.0,0.696,0.72112,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,9,background local-knowledge practice stress,0.17702,0.735,1.0,0.7,0.7168,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,10,background local-knowledge practice stress,0.18052,0.7356,1.0,0.704,0.71248,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,11,background local-knowledge practice stress,0.17918,0.7362,1.0,0.708,0.70816,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,12,Emergency planning rush with limited participation time,0.92305,0.7368,1.0,0.69876,0.71756,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,13,background local-knowledge practice stress,0.18049,0.73541,1.0,0.70276,0.71324,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,14,background local-knowledge practice stress,0.17784,0.73601,1.0,0.70676,0.70892,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,15,background local-knowledge practice stress,0.17702,0.73661,1.0,0.71076,0.7046,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,16,background local-knowledge practice stress,0.17626,0.73721,1.0,0.71476,0.70028,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,17,background local-knowledge practice stress,0.17875,0.73781,1.0,0.71876,0.69596,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,18,background local-knowledge practice stress,0.17817,0.73841,1.0,0.72276,0.69164,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,19,background local-knowledge practice stress,0.17728,0.73901,1.0,0.72676,0.68732,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,20,background local-knowledge practice stress,0.17753,0.73961,1.0,0.73076,0.683,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,21,background local-knowledge practice stress,0.17634,0.74021,1.0,0.73476,0.67868,0.9664
