simulation_id,dashboard_id,dashboard,rank,dashboard_value,winner
0,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.21466,Adaptive Learning and Decision-Trigger Dashboard
0,DB003,Threshold-Sensitive Early Warning Dashboard,2,6.98638,Adaptive Learning and Decision-Trigger Dashboard
0,DB006,Participatory Community Resilience Dashboard,3,6.96639,Adaptive Learning and Decision-Trigger Dashboard
0,DB004,Justice-Centered Resilience Dashboard,4,6.81039,Adaptive Learning and Decision-Trigger Dashboard
0,DB002,Indicator Domain Dashboard,5,6.423,Adaptive Learning and Decision-Trigger Dashboard
0,DB001,Simple Composite Resilience Score,6,4.5517,Adaptive Learning and Decision-Trigger Dashboard
1,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.71689,Adaptive Learning and Decision-Trigger Dashboard
1,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.58328,Adaptive Learning and Decision-Trigger Dashboard
1,DB006,Participatory Community Resilience Dashboard,3,6.77708,Adaptive Learning and Decision-Trigger Dashboard
1,DB004,Justice-Centered Resilience Dashboard,4,6.7326,Adaptive Learning and Decision-Trigger Dashboard
1,DB002,Indicator Domain Dashboard,5,6.39958,Adaptive Learning and Decision-Trigger Dashboard
1,DB001,Simple Composite Resilience Score,6,5.00516,Adaptive Learning and Decision-Trigger Dashboard
2,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.704,Adaptive Learning and Decision-Trigger Dashboard
2,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.21768,Adaptive Learning and Decision-Trigger Dashboard
2,DB004,Justice-Centered Resilience Dashboard,3,7.07527,Adaptive Learning and Decision-Trigger Dashboard
2,DB006,Participatory Community Resilience Dashboard,4,6.78958,Adaptive Learning and Decision-Trigger Dashboard
2,DB002,Indicator Domain Dashboard,5,6.50523,Adaptive Learning and Decision-Trigger Dashboard
2,DB001,Simple Composite Resilience Score,6,4.77947,Adaptive Learning and Decision-Trigger Dashboard
3,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.71972,Adaptive Learning and Decision-Trigger Dashboard
